SAMPLE_NAME,PI_LAST_NAME,PI_FIRST_NAME,ORGANISM,STRAIN,EXP_DATE,EXP_GROWTH_MEDIUM,EXP_MODIF_GROWTH,EXP_TEMPERATURE,EXP_SALINITY,EXP_PH,EXP_LIGHT,EXP_DAY_PORTION_OF_DAY,EXP_NIGHT_PORTION_OF_DAY,EXP_NITRATE,EXP_AMMONIUM,EXP_PHOSPHATE,EXP_SILICATE,EXP_DISSOLVED_OXYGEN,EXP_TOTAL_FE,EXP_DOC,EXP_LIST_AA_AND_CONCENTRATIONS,EXP_TRACE_ELEMENTS_TOTAL,EXP_CO2_PPM,EXP_UREA,EXP_PREY_ORGANISM,ENV_LATITUDE,ENV_LONGITUDE,ENV_DEPTH,ENV_ELEVATION,ENV_SALINITY,ENV_TEMPERATURE,ENV_PH,ENV_COLLECTION_DATE,ENV_COLLECTION_TIME,GEO_LOC_NAME,BIOME,HABITAT_DESCRIPTION,CAMERA_SAMPLE_ACC,CLONAL,AXENIC
MMETSP1329,Vaulot,Daniel,Genus nov. species nov.,RCC1024,15-JAN-12,K,,20,35,,30,12,12,,,,,,,,,,,,,-8.333333333,-141.25,60,,,,,29-OCT-04,,Pacific Ocean,Aquatic: marine,,CAM_SMPL_002902,0,0
MMETSP1325,Vaulot,Daniel,Florenciella sp.,RCC1007,15-JAN-12,K,,20,35,,80,12,12,,,,,,,,,,,,,-8.333333333,-141.25,10,,,,,29-OCT-04,,Pacific Ocean,Aquatic: marine,,CAM_SMPL_002890,0,0
MMETSP0883,Gobler,Christopher,Pelagococcus subviridis,CCMP1429,25-SEP-11,GSe media,Ammonium in place of nitrate,15,32,7.8,90,12,12,0,20,4,0,8,1100,2,none,1004,400,0,none,49.9166,-145.1166,0,0,32.6,6,8.1,01-MAY-72,12:00 PM,Pacific Ocean,Acquatic: marine,open ocean mixed layer,CAM_SMPL_002843,,0
MMETSP0169,Beszteri,Bánk,Corethron pennatum,L29A3,24-JUN-11,modified f/2 amended seawater,Using trace metal solution after Morel et al. 1979. medium set up using trace metal clean conditions and procedures.,3,33.6,8.15,35,16,8,28,0.09,28.45,60,,11000,,,7.3,,,,-47.33333,-15.65,,,,,,18-JAN-09,,Southern Ocean,Acquatic: marine,,CAM_SMPL_002448,1,0
MMETSP0158,Beszteri,Bánk,Thalassionema nitzschioides,L26-B,,modified f/2 amended seawater,Using trace metal solution after Morel et al. 1979. medium set up using trace metal clean conditions and procedures.,3,33.6,8.15,35,16,8,28,0.09,28.45,60,,0,,,7.3,,,,-47.86667,-15.8,,,,,,28-JAN-09,,Southern Ocean,Acquatic: marine,,CAM_SMPL_002429,1,0
MMETSP0397,Ashworth,Matt,Cyclophora tenuis,ECT3854,01-MAR-11,f/2 enriched seawater,,23,34,8.1,11,,,882,0,362,106,,,,,24571.2,,,,21.514,-157.8362,1,,,,,24-JUL-09,,,Acquatic: marine,shallow reef epiphyte,CAM_SMPL_002540,,0
MMETSP0909,Mock,Thomas,Fragilariopsis kerguelensis,L2-C3,18-JUL-11,f/2-R (silicate 210 µM) amended seawater,,5,35,8.1,0,0,24,100,0,6.25,210,,,,,1099.5,,,,-48.1,-24.25,20,,33.8,8.05,,24-JAN-09,,Southern Ocean,Acquatic: marine,Atlantic sector of the Southern Ocean,CAM_SMPL_002743,1,1
MMETSP0151_2,Pawlowski,Jan,Paramoeba atlantica,621/1 / CCAP 1560/9,21-JUN-11,seawater with wheat grains,,20,35,7.5,,,,,,,,,,,,0,,,bacteria,29.60806,-28.98667,267.4,,35,,,17-AUG-09,09:03 AM,Atlantic Ocean,Acquatic: marine,Sandy bottom sediment,CAM_SMPL_002439,1,0
MMETSP0186,Slamovits,Claudio,Minchinia chitonis,,16-DEC-10,,,4,0,7,,,,0,0,0,0,,,,,0,,,Lepidochitona cinerea,50.45876,-3.54072,0,,,,,20-OCT-10,,English Channel,,intertidal,CAM_SMPL_002453,,
MMETSP1317,Lynn,Denis,Undescribed Undescribed,Undescribed,28-JAN-12,- hand picked cells from environmental sample,- hand picked cells from environmental sample,7,34.25,7.7,0,,,,,,,,,,,,,,,120.06,-34.175,570,,34.25,7,7.7,08-JAN-12,09:00 AM,Pacific Ocean,Acquatic: marine,Benthic sediments top 3 cm,CAM_SMPL_002952,0,0
MMETSP0173_2,Pawlowski,Jan,Vexillifera sp.,DIVA3 564/2,10-JUN-11,seawater with wheat grains,,20,35,7.5,,,,,,,,,,,,0,,,bacteria,-26.64444,-35.24361,4527.1,,35,,,24-JUL-09,02:32 AM,Atlantic Ocean,Acquatic: marine,"abyssal plain bottom sediment, clay with rocks, aerobic",CAM_SMPL_002450,1,0
MMETSP0152,Beszteri,Bánk,Thalassiothrix antarctica,L6-D1,24-JUN-11,modified f/2 amended seawater,Using trace metal solution after Morel et al. 1979. medium set up using trace metal clean conditions and procedures.,3,33.6,8.15,35,16,8,28,0.09,28.45,60,,11000,,,7.3,,,,-51.83333,-28.66667,,,,,,20-JAN-09,,Southern Ocean,Acquatic: marine,,CAM_SMPL_002440,1,0
MMETSP0736,Marchetti,Adrian,Fragilariopsis kerguelensis,L26-C5,01-DEC-11,Aquil,Standard Aquil with 100 uM EDTA,4,32,8.1,90,24,0,300,0,10,200,,3.1,0,,384,,0,,-48,-16,,,,,,,,,,polar open ocean mixed layer,CAM_SMPL_002726,1,0
MMETSP0733,Marchetti,Adrian,Fragilariopsis kerguelensis,L26-C5,01-DEC-11,Aquil,Standard Aquil with 100 uM EDTA,4,32,8.1,10,24,0,300,0,10,200,,1370,0,,1750,,0,,-48,-16,,,,,,,,,,polar open ocean mixed layer,CAM_SMPL_002717,1,0
MMETSP0907,Mock,Thomas,Fragilariopsis kerguelensis,L2-C3,01-JUL-11,f/2 amended seawater,f/2 for all nutrients,5,35,8.1,100,24,0,800,0,36,106,,,,,2400,,,,-48.1,-24.25,20,,33.8,8.05,,24-JAN-09,,Southern Ocean,Acquatic: marine,Atlantic sector of the Southern Ocean,CAM_SMPL_002741,1,1
MMETSP0908,Mock,Thomas,Fragilariopsis kerguelensis,L2-C3,30-JUN-11,Southern Ocean seawater,,4,35,8.2,80,16,8,23.9,0.55,1.7,22.6,,0.5,,,,,,,-48.1,-24.25,20,,33.8,8.05,,24-JAN-09,,Southern Ocean,Acquatic: marine,Atlantic sector of the Southern Ocean,CAM_SMPL_002742,1,1
MMETSP0971,Jenkins,Bethany,Thalassiosira oceanica,CCMP1005,12-JUL-11,f/2 amended seawater,"f/2 for all nutrients except iron, which was not added to the medium.  Cultures were started from two successive 1:10 dilutions from f/2 with 400 nM Fe, so Fe was likely between 0 and 4 nM",25,35,8.2,120,14,10,882,0,36.2,106,,,,,1093.8,,,,33.1833,-65.25,,,36.32,22.7,,11-DEC-58,,Sargasso Sea,,,CAM_SMPL_002696,1,1
MMETSP0994,Bidle,Kay,Emiliania huxleyi,379,01-AUG-11,f/2 - Si amended seawater,"f/2 for all nutrients except silica, which was not added",18,20,8.3,200,14,10,883,0,36.2,0,,,,,1200,,,,50.1669,-4.2504,,,,,,24-JUL-57,,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002691,,0
MMETSP0996,Bidle,Kay,Emiliania huxleyi,379,01-AUG-11,f/2 - Si amended seawater,"f/2 for all nutrients except silica, which was not added",18,20,8.3,200,14,10,883,0,36.2,0,,,,,1200,,,,50.1669,-4.2504,,,,,,24-JUL-57,,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002698,,0
MMETSP0997,Bidle,Kay,Emiliania huxleyi,379,01-AUG-11,f/2 - Si amended seawater,"f/2 for all nutrients except silica, which was not added",18,20,8.3,200,14,10,883,0,36.2,0,,,,,1200,,,,50.1669,-4.2504,,,,,,24-JUL-57,,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002699,,0
MMETSP0995,Bidle,Kay,Emiliania huxleyi,379,01-AUG-11,f/2 - Si amended seawater,"f/2 for all nutrients except silica, which was not added",18,20,8.3,200,14,10,883,0,36.2,0,,,,,1200,,,,50.1669,-4.2504,,,,,,24-JUL-57,,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002692,,0
MMETSP0944,Amaral-Zettler,Linda,Isochrysis galbana,CCMP1323,01-AUG-11,f/2 amended seawater,none,21,33,8.3,100,16,8,887.8,0,36.7,0,,,,,24493.8,,,none,54.085,-4.77,,,,,,01-JAN-38,,Irish Sea,Acquatic: marine,,CAM_SMPL_002654,,
MMETSP0166,Pawlowski,Jan,Vannella robusta,DIVA3 518/3/11/1/6,04-JUL-11,seawater with wheat grains,,20,35,7.5,,,,,,,,,,,,0,,,bacteria,-35.98833,-49.0175,,,35,,,,,Atlantic Ocean,Acquatic: marine,"abyssal plain bottom sediment, clay, aerobic",CAM_SMPL_002442,1,0
MMETSP0900_2,Jenkins,Bethany,Thalassiosira weissflogii,CCMP1010,04-NOV-12,f/2 amended seawater,"f/2 for all nutrients except iron, which was added at 400nM and silica, which was added at f/20 (10.6 uM)",19,35,8.2,120,14,10,882,0,36.2,10.6,,400,,,1093.8,,,,37,-65,,,,,,01-DEC-69,,,,,CAM_SMPL_002731,1,1
MMETSP0899_2,Jenkins,Bethany,Thalassiosira weissflogii,CCMP1010,31-OCT-12,f/2 amended seawater,"f/2 for all nutrients except Fe added at 4nM. Cultures were preacclimated, so any carryover Fe should have been used up.",19,35,8.2,120,14,10,882,0,36.2,10.6,,,,,1093.8,,,,37,-65,,,,,,01-DEC-69,,,,,CAM_SMPL_002730,1,1
MMETSP1019,Greenwood,Spencer,Anophryoides haemophila,AH6,03-MAY-11,ATCC 1651 MA medium - Messick and Small 1996 made with Instant ocean,No L-?- phosphatidylcholine was added to the media,4,30,8,,,,0,0,0,0,,,,,0,,,,43.51667,-65.6,,,,5,,01-MAR-04,12:30 PM,Atlantic Ocean,,coldwater holding facility,CAM_SMPL_002585,1,1
MMETSP1009,Bidle,Kay,Emiliania huxleyi,374,01-AUG-11,f/2 - Si amended seawater,"f/2 for all nutrients except silica, which was not added",18,20,8.3,200,14,10,883,0,36.2,0,,,,,1200,,,,42.5,-69,5,,,,,23-JUN-89,,OTHER,Acquatic: marine,,CAM_SMPL_002679,,0
MMETSP1006,Bidle,Kay,Emiliania huxleyi,374,01-AUG-11,f/2 - Si amended seawater,"f/2 for all nutrients except silica, which was not added",18,20,8.3,200,14,10,883,0,36.2,0,,,,,1200,,,,42.5,-69,5,,,,,23-JUN-89,,OTHER,Acquatic: marine,,CAM_SMPL_002661,,0
MMETSP1008,Bidle,Kay,Emiliania huxleyi,374,01-AUG-11,f/2 - Si amended seawater,"f/2 for all nutrients except silica, which was not added",18,20,8.3,200,14,10,883,0,36.2,0,,,,,1200,,,,42.5,-69,5,,,,,23-JUN-89,,OTHER,Acquatic: marine,,CAM_SMPL_002673,,0
MMETSP0982,Lovejoy,Connie,non described non described,CCMP 2436,31-AUG-11,ProV 50 amended seawater,"salinity corrected with mili-Q water, antibiotic final concentrations: penicilin 25mg/L; neomycin 20mg/L; kanamycin 20 mg/L; no NH4Cl",6,32,7.5,100,24,0,882,0,36.2,0,,,,,24493,,,,76.3208,-75.8172,11,,,,,23-JUN-98,,Baffin Bay,Acquatic: marine,,CAM_SMPL_000704,,1
MMETSP1018,Greenwood,Spencer,Anophryoides haemophila,AH6,03-MAY-11,ATCC 1651 MA medium - Messick and Small 1996 made with Instant ocean,No L-?- phosphatidylcholine was added to the media,4,30,8,,,,0,0,0,0,,,,,0,,,,43.51667,-65.6,,,,5,,01-MAR-04,12:30 PM,Atlantic Ocean,,coldwater holding facility,CAM_SMPL_002700,1,1
MMETSP0972,Jenkins,Bethany,Thalassiosira oceanica,CCMP1005,24-JUL-11,f/2 amended seawater,"f/2 for all nutrients except iron, which was added at 400nM and silica, which was added at f/20 (10.6 uM)",25,35,8.2,120,14,10,882,0,36.2,10.6,,400,,,1093.8,,,,33.1833,-65.25,,,36.32,22.7,,11-DEC-58,,Sargasso Sea,,,CAM_SMPL_002697,1,1
MMETSP0970,Jenkins,Bethany,Thalassiosira oceanica,CCMP1005,19-JUN-11,f/2 amended seawater,"f/2 for all nutrients except iron, which was added at 400nM",25,35,8.2,120,14,10,882,0,36.2,106,,400,,,1093.8,,,,33.1833,-65.25,,,36.32,22.7,,11-DEC-58,,Sargasso Sea,,,CAM_SMPL_002690,1,1
MMETSP1075,Menden-Deuer,Susanne,Ceratium fusus,PA161109,17-NOV-11,f/2-Si amended seawater,f/2 for all nutrients except eliminate Si,15,29.4,,20,12,12,882,,36.2,10,,,,,,,,,41.57083,-71.40517,5,,27.87,11.3,,16-NOV-10,07:00 AM,OTHER,Acquatic: marine,Estuary,CAM_SMPL_002610,1,0
MMETSP0563,Rynearson,Tatiana,Skeletonema dohrnii,SkelB,06-SEP-11,f/2 amended seawater,f/2 for all nutrients except nitrate,14,36,7.9,180,12,12,10,,36.2,106,,,,,,,,,41.57361,-71.40861,0.5,,31.38,6.1,,22-NOV-10,10:00 AM,Atlantic Ocean,Acquatic: marine,Well mixed estuary,CAM_SMPL_002834,1,0
MMETSP1057,Armbrust,Virginia,Cyclotella meneghiniana,CCMP 338,28-SEP-11,f/2,,13,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.6634,,,,43.8442,-69.641,,,,,,01-JAN-76,,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002606,1,0
MMETSP0693,Olson,Robert,Thalassionema nitzschioides,,04-NOV-11,f/2 amended seawater,f/2 for all nutrients,7,32,6.5,90,14,10,840,,40,110,,10000,,,1000,,,,41.325,-70.5667,0,,,,,01-APR-11,,Atlantic Ocean,Acquatic: marine,mesotrophic coastal surface waters,CAM_SMPL_002808,1,1
MMETSP1013,Rynearson,Tatiana,Ditylum brightwellii,GSO104,05-NOV-11,f/2 amended seawater,f/2 for all nutrients except no nitrate added,14,36,7.9,180,12,12,2,,36.2,106,,,,,,,,,41.325,-70.57,0.5,,,,,06-OCT-08,,Pacific Ocean,Acquatic: marine,Coastal Waters,CAM_SMPL_002686,1,1
MMETSP0603,Rynearson,Tatiana,Skeletonema menzelii,CCMP793,26-SEP-11,f/2 amended seawater,f/2 for all nutrients,14,36,7.9,180,12,12,882,,36.2,106,,,,,,,,,41.566,-70.5842,,,,,,18-JUL-82,,Atlantic Ocean,Acquatic: marine,Coastal salt pond,CAM_SMPL_002864,1,0
MMETSP0604,Rynearson,Tatiana,Skeletonema menzelii,CCMP793,26-SEP-11,f/2 amended seawater,f/2 for all nutrients except nitrate,14,36,7.9,180,12,12,10,,36.2,106,,,,,,,,,41.566,-70.5842,,,,,,18-JUL-82,,Atlantic Ocean,Acquatic: marine,Coastal salt pong,CAM_SMPL_002865,1,0
MMETSP0018_2,Caron,David,Uronema sp.,Bbcil,17-NOV-10,Filtered sea water,0.001% nutritional yeast,18,18,8,150,12,12,,,,,,,,,,,,,41.745,-70.618,,,,,,01-JUL-86,,"Buzzards Bay, Massuchussetts",,,CAM_SMPL_002330,1,0
MMETSP0020_2,Caron,David,Dinobryon sp.,UTEXLB2267,20-NOV-10,DYV freshwater,,18,0,8,150,0,24,,,,,,,,,,,,,41.57595,-70.64038,,,,,,01-AUG-73,,"Sippewissett Pond, Woods Hole, Massachussetts",,,CAM_SMPL_002363,,0
MMETSP0810,Caron,David,Eutreptiella gymnastica-like,CCMP1594,03-FEB-11,marine media K,plus soil exract,18,35,8,150,0,24,,,,,,,,,,,,,41.6,-71.4,,,35,20,,01-OCT-91,,Narragansett Bay,,,CAM_SMPL_002841,,0
MMETSP0809,Caron,David,Eutreptiella gymnastica-like,CCMP1594,02-FEB-11,marine media K,plus soil exract,18,35,8,150,12,12,,,,,,,,,,,,,41.6,-71.4,,,35,20,,01-OCT-91,,Narragansett Bay,,,CAM_SMPL_002840,,0
MMETSP0414,Menden-Deuer,Susanne,Heterosigma akashiwo,NB,07-SEP-11,f/2-Si amended seawater,f/2 for all nutrients except eliminate Si,15,29.4,,75,12,12,882,,36.2,106,,,,,,,,,41.65583,-71.44778,,,25.6,21.2,,18-JUN-10,07:05 AM,Atlantic Ocean,Acquatic: marine,Estuary,CAM_SMPL_002550,1,0
MMETSP0415,Menden-Deuer,Susanne,Heterosigma akashiwo,NB,07-SEP-11,f/2-Si amended seawater,f/2 for all nutrients except eliminate Si,15,15,,,12,12,882,,36.2,106,,,,,,,,,41.65583,-71.44778,1,,25.6,21.2,,18-JUN-10,07:05 AM,Atlantic Ocean,Acquatic: marine,Estuary,CAM_SMPL_002551,1,0
MMETSP0578,Rynearson,Tatiana,Skeletonema grethea,CCMP 1804,14-JAN-12,f/2 amended seawater,,14,36,7.9,180,12,12,883,,36.3,107,,,,,,,,,41.4331,-71.455,0.5,,,,,01-AUG-95,,"Narragansett, RI",Acquatic: marine,Coastal Waters,CAM_SMPL_002845,1,0
MMETSP0436,Menden-Deuer,Susanne,Favella taraikaensis,Fe Narragansett Bay,16-DEC-11,seawater,"0.2um filtered, autoclaved",15,29.4,,8,12,12,,,,,,,,,,,,"Heterocapsa triquetra, CCMP 448",41.30051,-71.71543,1,,30.68,,,22-MAY-10,,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002572,1,0
MMETSP0416,Menden-Deuer,Susanne,Heterosigma akashiwo,NB,07-SEP-11,f/2-SI amended seawater,f/2 for all nutrients except eliminate Si,15,29.4,,75,12,12,882,,36.2,106,,,,,,,,,41.65583,-71.44778,,,25.6,21.2,,18-JUN-10,07:05 AM,Atlantic Ocean,Acquatic: marine,Estuary,CAM_SMPL_002548,1,0
MMETSP0918,Rynearson,Tatiana,Skeletonema marinoi,skelA,22-OCT-11,f/2 amended Sargasso seawater,f/2 for all nutrients,14,36,7.9,180,12,12,882,,36.2,106,,,,,,,,,41.57361,-71.40861,0.5,,31.38,6.1,,22-NOV-10,10:00 AM,Atlantic Ocean,Acquatic: marine,estuary,CAM_SMPL_002769,1,0
