assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted
/mnt/MMETSP_assemblies/MMETSP1452.cds.fa.fixed.fa,12749,150,6897,9105843,689.93317,1783,3110,0,7094,99.97442,390,771,1116,1560,2580,0.70073,0.00397,0.02593,2.16877,38295,0.00421,0.1206,11416,11416,0.89544,0.58764,10952,0.56375,5472,0.28167,5230,0.26921,4080,0.21002,3035,0.15623,1148,0.05909,0.29176,,,,
/mnt/MMETSP_assemblies/MMETSP1403.cds.fa.fixed.fa,9428,150,24816,14768559,1555.09557,610,5232,26,7328,99.93278,870,1632,2460,3486,6171,0.6591,0.03636,0.06985,2.3083,42866,0.0029,0.21774,9017,9017,0.95641,0.57233,8763,0.5562,4434,0.28143,4221,0.26791,3557,0.22577,2970,0.18851,1465,0.09299,0.30199,,,,
/mnt/MMETSP_assemblies/MMETSP1425.cds.fa.fixed.fa,23003,150,11694,20967261,894.47211,2252,8087,3,14408,99.88729,480,993,1443,1992,3123,0.59526,0.08525,0.01872,1.96122,93579,0.00446,0.16609,21537,21537,0.93627,0.49426,21011,0.48219,11504,0.26401,10802,0.2479,8453,0.19399,6388,0.1466,2277,0.05226,0.32825,,,,
/mnt/MMETSP_assemblies/MMETSP1468.cds.fa.fixed.fa,13884,150,15903,11107743,775.6519,1952,3650,9,7514,99.81979,402,870,1320,2031,4473,0.62055,0.04195,0.07296,2.17246,128482,0.01157,0.14069,12706,12706,0.91515,0.30799,12153,0.29458,6193,0.15012,5236,0.12692,3466,0.08401,2605,0.06314,1509,0.03658,0.18204,,,,
/mnt/MMETSP_assemblies/MMETSP1148.cds.fa.fixed.fa,91,150,432,19179,105.59341,54,0,0,0,99.8439,219,276,432,432,432,0.56801,0.05085,0.08874,1.96124,137,0.00714,0.04515,66,66,0.72527,0.12268,66,0.12268,28,0.05204,21,0.03903,5,0.00929,1,0.00186,1,0.00186,0.03758,,,,
/mnt/MMETSP_assemblies/MMETSP1467.cds.fa.fixed.fa,16876,150,8214,16246848,941.52341,2061,6260,0,10553,99.89549,528,1083,1563,2262,3567,0.64538,-0.02824,0.04937,2.39147,75039,0.00462,0.15502,15310,15310,0.90721,0.49909,14468,0.47164,7288,0.23758,6809,0.22197,5108,0.16651,3677,0.11987,1654,0.05392,0.26368,,,,
/mnt/MMETSP_assemblies/MMETSP1397.cds.fa.fixed.fa,11868,150,26460,15084675,1263.0728,544,5710,27,9383,99.87296,675,1215,1773,2619,5175,0.49223,-0.00136,0.10711,1.71536,17908,0.00119,0.2175,11242,11242,0.94725,0.34411,9161,0.28041,4552,0.13933,3536,0.10823,2328,0.07126,1732,0.05301,757,0.02317,0.16412,,,,
/mnt/MMETSP_assemblies/MMETSP1446.cds.fa.fixed.fa,6985,150,11694,7791717,1093.97781,868,3019,3,4601,99.87515,657,1275,1812,2580,4251,0.56984,0.05947,0.08284,1.97684,25216,0.00324,0.19455,6389,6389,0.91467,0.41794,6156,0.4027,3267,0.21371,2960,0.19363,2264,0.1481,1749,0.11441,865,0.05658,0.24433,,,,
/mnt/MMETSP_assemblies/MMETSP1438.cds.fa.fixed.fa,12731,150,14640,10864071,838.98602,1049,3683,11,8009,99.79401,438,846,1254,1803,3579,0.52067,0.07418,0.09682,1.68111,85208,0.00784,0.15975,12052,12052,0.94667,0.30699,11886,0.30276,6423,0.16361,5345,0.13615,3308,0.08426,2316,0.05899,1341,0.03416,0.20482,,,,
/mnt/MMETSP_assemblies/MMETSP1416.cds.fa.fixed.fa,15235,150,15639,20472924,1332.55412,983,7772,12,11460,99.8831,750,1380,2025,2958,4881,0.4852,0.02851,0.08806,1.93168,62790,0.00307,0.22825,14523,14523,0.95327,0.47295,13975,0.45511,7361,0.23972,6694,0.218,4797,0.15622,3410,0.11105,1362,0.04435,0.27458,,,,
/mnt/MMETSP_assemblies/MMETSP1428.cds.fa.fixed.fa,15695,150,10512,16084206,1005.29933,1760,6173,4,9847,99.86884,558,1170,1695,2406,3972,0.46397,0.07871,0.07385,1.77385,49593,0.00308,0.18411,14192,14192,0.90424,0.46115,13560,0.44062,7364,0.23929,6745,0.21917,5034,0.16357,3766,0.12237,1553,0.05046,0.27078,,,,
/mnt/MMETSP_assemblies/MMETSP1423.cds.fa.fixed.fa,13611,150,13563,17104818,1243.02579,1066,6901,5,10102,99.86949,738,1314,1839,2613,4233,0.51199,0.02318,0.11531,2.11587,53758,0.00314,0.21285,12973,12973,0.95313,0.49323,12438,0.47289,6303,0.23964,5547,0.2109,3669,0.1395,2398,0.09117,771,0.02931,0.27021,,,,
/mnt/MMETSP_assemblies/MMETSP1354.cds.fa.fixed.fa,7230,150,9759,6945606,941.82531,783,2657,0,4657,99.83267,528,1044,1515,2142,3522,0.56171,0.09354,0.03376,2.41359,17374,0.0025,0.17353,6757,6757,0.93458,0.40201,6440,0.38315,3763,0.22388,3231,0.19223,2157,0.12833,1521,0.09049,689,0.04099,0.25793,,,,
/mnt/MMETSP_assemblies/MMETSP1371.cds.fa.fixed.fa,37756,150,11547,30864879,798.27278,4184,11494,1,23053,99.84293,444,873,1266,1743,2748,0.54717,0.06894,0.04734,1.85942,219113,0.0071,0.1542,34688,34688,0.91874,0.42834,33656,0.41559,18211,0.22487,16845,0.20801,13452,0.16611,10591,0.13078,4927,0.06084,0.27626,,,,
/mnt/MMETSP_assemblies/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,14878,14878,0.94368,0.45859,14318,0.44133,7647,0.23571,6775,0.20883,4799,0.14792,3313,0.10212,1309,0.04035,0.26417,,,,
/mnt/MMETSP_assemblies/MMETSP1453.cds.fa.fixed.fa,7967,150,5481,7441248,912.36036,988,2938,0,5026,99.89983,528,1041,1506,2082,3186,0.61757,0.03295,0.07053,2.01875,19709,0.00265,0.16335,7161,7161,0.89883,0.47283,6816,0.45005,3651,0.24107,3361,0.22192,2457,0.16223,1775,0.1172,661,0.04364,0.26803,,,,
/mnt/MMETSP_assemblies/MMETSP1451.cds.fa.fixed.fa,22991,150,13956,19388448,821.31521,2915,6873,7,13298,99.84556,441,924,1374,2010,3876,0.60651,0.01065,0.08896,1.90532,117165,0.00604,0.15076,21279,21279,0.92554,0.39105,20242,0.37199,10534,0.19359,9059,0.16648,5993,0.11014,4164,0.07652,1704,0.03131,0.21404,,,,
/mnt/MMETSP_assemblies/MMETSP1404.cds.fa.fixed.fa,9687,150,26190,13627509,1393.84422,718,4873,24,7093,99.95167,780,1488,2271,3273,5706,0.65651,0.03788,0.07398,2.2921,45763,0.00336,0.20176,9240,9240,0.95386,0.56876,8907,0.54826,4508,0.27748,4259,0.26216,3539,0.21784,2883,0.17746,1301,0.08008,0.28993,,,,
/mnt/MMETSP_assemblies/MMETSP1396.cds.fa.fixed.fa,11768,150,11760,6472563,519.88129,2047,1545,2,4747,99.45232,294,543,879,1368,3126,0.47047,0.07417,0.11204,1.67684,21777,0.00336,0.10849,10787,10787,0.91664,0.24709,10434,0.239,5330,0.12209,3546,0.08122,2000,0.04581,1344,0.03079,600,0.01374,0.11579,,,,
/mnt/MMETSP_assemblies/MMETSP1322.cds.fa.fixed.fa,14799,150,7647,13880697,918.65315,1643,5496,0,9424,99.87552,528,1038,1470,2019,3291,0.56392,0.01811,0.06469,2.04038,49103,0.00354,0.17201,13656,13656,0.92277,0.48716,12948,0.4619,6594,0.23523,5926,0.2114,4384,0.15639,3257,0.11619,1271,0.04534,0.27145,,,,
/mnt/MMETSP_assemblies/MMETSP1415.cds.fa.fixed.fa,15565,150,11037,18790482,1194.29875,1152,7382,1,11347,99.87083,678,1263,1836,2601,4044,0.48591,0.02985,0.08669,1.92923,65593,0.00349,0.21226,14787,14787,0.95002,0.47794,14206,0.45916,7472,0.24151,6715,0.21704,4771,0.15421,3379,0.10921,1367,0.04418,0.27511,,,,
/mnt/MMETSP_assemblies/MMETSP1362.cds.fa.fixed.fa,13738,150,14241,15256404,1096.92779,1072,5950,7,9931,99.83286,627,1131,1605,2343,4161,0.46098,0.09897,0.05696,2.06725,51264,0.00336,0.19963,12752,12752,0.92823,0.46879,12220,0.44923,6188,0.22748,5501,0.20223,3647,0.13407,2382,0.08757,789,0.02901,0.25859,,,,
/mnt/MMETSP_assemblies/MMETSP1400.cds.fa.fixed.fa,9811,150,24696,15227706,1542.84823,519,5453,31,7785,99.95364,834,1572,2358,3378,5946,0.6576,0.03721,0.07338,2.306,40053,0.00263,0.21834,9461,9461,0.96433,0.67257,9079,0.64541,4578,0.32544,4333,0.30803,3579,0.25443,2915,0.20722,1187,0.08438,0.31884,,,,
/mnt/MMETSP_assemblies/MMETSP1409.cds.fa.fixed.fa,14960,150,15570,19899654,1318.78957,982,7720,11,11388,99.86988,753,1368,1974,2823,4566,0.48393,0.03108,0.08466,1.93205,52598,0.00264,0.22818,14201,14201,0.94926,0.47112,13644,0.45264,7254,0.24065,6510,0.21597,4595,0.15244,3158,0.10477,1143,0.03792,0.2686,,,,
/mnt/MMETSP_assemblies/MMETSP0229.cds.fa.fixed.fa,188,150,414,38895,104.05851,111,0,0,0,99.72397,222,258,414,414,414,0.5828,0.03173,0.11845,1.91926,285,0.00733,0.04507,149,149,0.79255,0.13411,147,0.13231,68,0.06121,42,0.0378,13,0.0117,6,0.0054,1,0.0009,0.04195,,,,
/mnt/MMETSP_assemblies/MMETSP1353.cds.fa.fixed.fa,7144,150,13611,7613157,1052.32643,549,3028,1,5015,99.85806,594,1110,1587,2238,3504,0.59398,0.0554,0.02192,2.64535,30952,0.00407,0.18594,6802,6802,0.95213,0.46478,6616,0.45207,3674,0.25104,3222,0.22016,2270,0.15511,1671,0.11418,665,0.04544,0.29333,,,,
/mnt/MMETSP_assemblies/MMETSP1370.cds.fa.fixed.fa,34965,150,14079,27602814,769.51815,4004,10120,1,20533,99.84456,417,849,1245,1716,2727,0.54916,0.06818,0.04626,1.86348,252990,0.00917,0.14925,31389,31389,0.89773,0.43736,30533,0.42543,16584,0.23107,15451,0.21528,12675,0.17661,10614,0.14789,6311,0.08793,0.28558,,,,
/mnt/MMETSP_assemblies/MMETSP1385.cds.fa.fixed.fa,24822,150,14850,23320083,914.12364,3624,8384,9,13754,99.88243,486,1131,1698,2517,4539,0.47214,0.07704,0.07606,2.46568,86697,0.00372,0.16175,21931,21931,0.88353,0.40134,20331,0.37206,10710,0.19599,9221,0.16874,6374,0.11664,4743,0.0868,2350,0.043,0.21736,,,,
/mnt/MMETSP_assemblies/MMETSP1444.cds.fa.fixed.fa,19582,150,10968,13912512,684.57926,2926,4363,3,10390,99.86409,375,759,1137,1686,3390,0.66397,-0.00087,0.06251,2.28806,68767,0.00494,0.12154,17124,17124,0.87448,0.47762,16296,0.45452,8040,0.22425,7304,0.20372,5336,0.14883,3773,0.10524,1642,0.0458,0.24558,,,,
/mnt/MMETSP_assemblies/MMETSP1412.cds.fa.fixed.fa,14977,150,11460,19276146,1275.263,1015,7611,2,11261,99.85631,741,1329,1923,2721,4200,0.48405,0.03246,0.08536,1.92663,49183,0.00255,0.22367,14209,14209,0.94872,0.45464,13682,0.43778,7275,0.23278,6465,0.20686,4491,0.1437,3065,0.09807,1149,0.03676,0.26182,,,,
/mnt/MMETSP_assemblies/MMETSP1406.cds.fa.fixed.fa,15298,150,15573,19367682,1253.37384,1109,7575,8,11252,99.8704,723,1314,1917,2742,4422,0.48468,0.02915,0.08662,1.92951,64868,0.00335,0.21914,14527,14527,0.9496,0.47437,13911,0.45425,7442,0.24301,6644,0.21695,4649,0.15181,3305,0.10792,1250,0.04082,0.27328,,,,
/mnt/MMETSP_assemblies/MMETSP1413.cds.fa.fixed.fa,15175,150,15624,19074420,1244.80666,1059,7353,8,11177,99.87903,702,1302,1905,2751,4389,0.485,0.02949,0.08552,1.9291,67784,0.00355,0.21789,14437,14437,0.95137,0.48328,13860,0.46396,7401,0.24775,6590,0.2206,4602,0.15405,3295,0.1103,1293,0.04328,0.27677,,,,
/mnt/MMETSP_assemblies/MMETSP1426.cds.fa.fixed.fa,35588,150,14847,33238718,915.63609,3758,12474,7,22323,99.88919,492,1014,1494,2091,3516,0.60306,0.07969,0.01293,1.95453,60001,0.00181,0.16748,34291,34291,0.96356,0.38416,31279,0.35042,16143,0.18085,14265,0.15981,10451,0.11708,7412,0.08304,2325,0.02605,0.24239,,,,
