assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff
/mnt/scratch/ljcohen/mmetsp/Symbiodinium_sp./SRR1300266/trinity/Symbiodinium_sp._SRR1300266.Trinity.fixed.fasta,62859,201,10806,38948082,619.61027,0,11304,1,27137,89.01622,274,539,870,1251,1864,0.56959,0.00785,0.00367,1.96523,0,0.0,0.12574,32488,32488,0.51684,0.9375,28862,0.83286,15670,0.45218,14972,0.43204,13883,0.40062,13288,0.38345,12520,0.36129,0.43054,,,
/mnt/scratch/ljcohen/mmetsp/Pavlova/SRR1300270/trinity/Pavlova_SRR1300270.Trinity.fixed.fasta,28163,201,7378,19792038,702.76739,0,6391,0,11774,81.14803,288,631,1088,1581,2589,0.64416,0.00458,0.00564,2.159,0,0.0,0.13088,17048,17048,0.60533,1.0647,14395,0.89901,7729,0.4827,7288,0.45516,6671,0.41663,6458,0.40332,6121,0.38228,0.48385,,,
/mnt/scratch/ljcohen/mmetsp/Gloeochaete_wittrockiana/SRR1300296/trinity/Gloeochaete_wittrockiana_SRR1300296.Trinity.fixed.fasta,52621,201,12012,39960070,759.39397,0,12676,3,20648,77.31051,308,681,1200,1814,3013,0.49834,0.02631,0.00438,1.74658,0,0.0,0.14483,24645,24645,0.46835,1.12735,19731,0.90257,10204,0.46677,9483,0.43379,8526,0.39001,8161,0.37331,7661,0.35044,0.45321,,,
/mnt/scratch/ljcohen/mmetsp/uncultured_eukaryote/SRR1300276/trinity/uncultured_eukaryote_SRR1300276.Trinity.fixed.fasta,36595,224,14072,27335236,746.96642,0,8220,3,18040,85.99343,333,639,1022,1538,2704,0.59379,0.0208,0.01911,1.85807,32,0.0,0.1384,25881,25881,0.70723,0.97568,20103,0.75786,11843,0.44647,10838,0.40858,9547,0.35991,8857,0.3339,7972,0.30054,0.38291,,,
/mnt/scratch/ljcohen/mmetsp/Rhodomonas_abbreviata/SRR1300314/trinity/Rhodomonas_abbreviata_SRR1300314.Trinity.fixed.fasta,70596,201,16300,41465129,587.35805,0,9925,13,24496,87.655,259,455,801,1339,2603,0.56796,0.02118,0.01349,1.93174,0,0.0,0.11429,28157,28157,0.39885,0.95122,23025,0.77785,13105,0.44272,12041,0.40678,10632,0.35918,9852,0.33283,8828,0.29823,0.37701,,,
/mnt/scratch/ljcohen/mmetsp/Emiliania_huxleyi/SRR1300286/trinity/Emiliania_huxleyi_SRR1300286.Trinity.fixed.fasta,48438,201,6868,33554021,692.72102,0,9738,0,25192,88.60811,322,609,922,1330,2193,0.68956,0.01056,0.00308,2.35901,0,0.0,0.12148,36533,36533,0.75422,0.89759,27985,0.68758,14798,0.36358,12586,0.30923,10010,0.24594,8879,0.21815,7427,0.18248,0.28693,,,
/mnt/scratch/ljcohen/mmetsp/Paraphysomonas_bandaiensis/SRR1300316/trinity/Paraphysomonas_bandaiensis_SRR1300316.Trinity.fixed.fasta,25520,201,12574,29793840,1167.47022,0,10943,5,15253,83.69594,534,1167,1752,2579,4395,0.43891,0.01401,0.00257,1.80253,0,0.0,0.2126,15425,15425,0.60443,1.11759,13169,0.95414,7564,0.54804,7301,0.52898,6886,0.49891,6707,0.48594,6499,0.47087,0.5409,,,
/mnt/scratch/ljcohen/mmetsp/Thalassiosira_weissflogii/SRR1296932/trinity/Thalassiosira_weissflogii_SRR1296932.Trinity.fixed.fasta,31329,224,10626,33124836,1057.32184,0,12414,1,19241,81.76581,483,1019,1515,2187,3546,0.46655,0.00534,0.0018,1.93504,0,0.0,0.19447,22851,22851,0.72939,1.49509,14115,0.92351,7605,0.49758,7024,0.45957,6223,0.40716,5849,0.38269,5356,0.35043,0.4797,,,
/mnt/scratch/ljcohen/mmetsp/Symbiodinium_kawagutii/SRR1300302/trinity/Symbiodinium_kawagutii_SRR1300302.Trinity.fixed.fasta,13955,224,1902,5251018,376.28219,0,121,0,2097,86.61303,247,305,382,498,734,0.50438,-0.00101,-0.00033,1.82045,0,0.0,0.08222,12,12,0.00086,0.00079,6,0.00039,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,
/mnt/scratch/ljcohen/mmetsp/uncultured_eukaryote/SRR1296838/trinity/uncultured_eukaryote_SRR1296838.Trinity.fixed.fasta,19337,201,7046,18872329,975.96985,0,6787,0,9515,68.49042,409,989,1570,2251,3421,0.46153,0.01656,0.00267,1.88913,0,0.0,0.18287,9489,9489,0.49072,0.84898,8540,0.76407,4870,0.43572,4696,0.42015,4440,0.39724,4292,0.384,4081,0.36512,0.41249,,,
/mnt/scratch/ljcohen/mmetsp/Thalassiosira_gravida/SRR1296986/trinity/Thalassiosira_gravida_SRR1296986.Trinity.fixed.fasta,31274,201,8794,25714592,822.23547,0,9129,0,14446,76.12109,336,806,1273,1830,2858,0.486,0.01702,0.00943,1.95429,0,0.0,0.15845,17909,17909,0.57265,1.10611,14659,0.90538,8449,0.52183,7974,0.4925,7185,0.44377,6824,0.42147,6406,0.39565,0.51118,,,
/mnt/scratch/ljcohen/mmetsp/Rhodosorus_marinus/SRR1296985/trinity/Rhodosorus_marinus_SRR1296985.Trinity.fixed.fasta,17731,201,11555,17338565,977.86729,0,5889,4,7441,64.00666,364,1045,1724,2568,4115,0.50088,0.03028,0.00634,1.90518,0,0.0,0.18167,9651,9651,0.5443,1.10969,6987,0.80338,4357,0.50098,4127,0.47453,3673,0.42233,3432,0.39462,3140,0.36104,0.53491,,,
/mnt/scratch/ljcohen/mmetsp/Karenia_brevis/SRR1296851/trinity/Karenia_brevis_SRR1296851.Trinity.fixed.fasta,151973,201,12709,92381743,607.8826,0,24362,3,58242,92.81109,261,482,873,1432,2487,0.53505,0.00848,0.00387,1.95676,0,0.0,0.12071,63638,63638,0.41875,0.91836,50183,0.72419,26859,0.3876,23920,0.34519,20500,0.29584,18873,0.27236,17002,0.24536,0.33867,,,
/mnt/scratch/ljcohen/mmetsp/Emiliania_huxleyi/SRR1300230/trinity/Emiliania_huxleyi_SRR1300230.Trinity.fixed.fasta,39561,201,13590,24373967,616.11099,0,6209,1,16845,89.53368,279,507,825,1271,2188,0.68081,0.01033,0.00378,2.34398,0,0.0,0.11132,22046,22046,0.55727,1.09709,17730,0.88231,9710,0.4832,8898,0.4428,7818,0.38905,7380,0.36726,6721,0.33446,0.45872,,,
/mnt/scratch/ljcohen/mmetsp/Oxyrrhis_marina/SRR1300211/trinity/Oxyrrhis_marina_SRR1300211.Trinity.fixed.fasta,583,201,621,156856,269.04974,0,0,0,15,93.45259,208,228,256,311,440,0.54023,-0.02785,-0.00225,1.90633,0,0.0,0.06102,202,202,0.34648,0.61027,183,0.55287,50,0.15106,45,0.13595,35,0.10574,27,0.08157,17,0.05136,0.13259,,,
/mnt/scratch/ljcohen/mmetsp/Rhodella_maculata/SRR1296984/trinity/Rhodella_maculata_SRR1296984.Trinity.fixed.fasta,22031,201,9104,15814239,717.81758,0,4525,0,9154,80.48552,313,610,1018,1629,2916,0.60005,0.03392,2e-05,2.1445,0,0.0,0.13314,14191,14191,0.64414,1.03448,11926,0.86937,6236,0.45459,5865,0.42754,5293,0.38584,5065,0.36922,4691,0.34196,0.45888,,,
/mnt/scratch/ljcohen/mmetsp/Thalassiosira_rotula/SRR1296990/trinity/Thalassiosira_rotula_SRR1296990.Trinity.fixed.fasta,27207,201,4635,18173835,667.98379,0,5690,0,11494,78.45004,301,623,928,1266,1845,0.48684,0.02352,0.01252,1.9322,0,0.0,0.13587,17322,17322,0.63667,1.06036,14931,0.91399,8773,0.53703,8403,0.51439,7738,0.47368,7440,0.45544,7095,0.43432,0.52774,,,
/mnt/scratch/ljcohen/mmetsp/Hemiselmis_andersenii/SRR1296870/trinity/Hemiselmis_andersenii_SRR1296870.Trinity.fixed.fasta,59803,201,13097,37821594,632.4364,0,9725,7,24719,90.22191,279,511,868,1377,2611,0.61102,0.02909,0.01687,1.86677,0,0.0,0.12005,32963,32963,0.55119,0.9494,28331,0.81599,17318,0.49879,16477,0.47457,15161,0.43666,14436,0.41578,13339,0.38419,0.44229,,,
/mnt/scratch/ljcohen/mmetsp/Gloeochaete_wittrockiana/SRR1296981/trinity/Gloeochaete_wittrockiana_SRR1296981.Trinity.fixed.fasta,44169,201,12552,37495326,848.90593,0,12588,3,17716,72.68069,338,814,1385,2038,3350,0.49058,0.02317,0.00302,1.77293,0,0.0,0.15954,20064,20064,0.45426,1.19343,15551,0.92499,8182,0.48668,7683,0.457,6966,0.41435,6687,0.39775,6253,0.37194,0.47544,,,
/mnt/scratch/ljcohen/mmetsp/Pseudo-nitzschia_australis/SRR1296849/trinity/Pseudo-nitzschia_australis_SRR1296849.Trinity.fixed.fasta,27112,201,8742,26413015,974.21861,0,9756,0,13286,73.93047,385,1054,1640,2259,3346,0.47016,0.00392,0.00442,2.07087,0,0.0,0.17788,16857,16857,0.62175,0.85852,12945,0.65928,6819,0.34729,6010,0.30609,5218,0.26575,4830,0.24599,4347,0.22139,0.31303,,,
/mnt/scratch/ljcohen/mmetsp/Karenia_brevis/SRR1296854/trinity/Karenia_brevis_SRR1296854.Trinity.fixed.fasta,155912,201,13517,97453263,625.053,0,27393,2,62814,91.96363,266,514,916,1439,2371,0.53422,0.00754,0.00282,1.96054,0,0.0,0.12427,68767,68767,0.44106,0.94493,54993,0.75566,29094,0.39978,26241,0.36058,22862,0.31415,21172,0.29092,19251,0.26453,0.35984,,,
/mnt/scratch/ljcohen/mmetsp/Lotharella_globosa/SRR1296868/trinity/Lotharella_globosa_SRR1296868.Trinity.fixed.fasta,35901,201,16838,29155042,812.09554,0,10177,15,17890,85.30526,336,794,1227,1746,2894,0.52862,0.00689,0.00741,2.02291,0,0.0,0.15601,20557,20557,0.5726,0.81218,17412,0.68792,9125,0.36052,8444,0.33361,7577,0.29936,7105,0.28071,6468,0.25554,0.3131,,,
/mnt/scratch/ljcohen/mmetsp/Emiliania_huxleyi/SRR1300233/trinity/Emiliania_huxleyi_SRR1300233.Trinity.fixed.fasta,28007,201,9212,17894918,638.94448,0,4953,0,12128,88.78956,279,538,898,1372,2310,0.6838,0.00965,0.00406,2.3472,0,0.0,0.11322,15533,15533,0.55461,1.09364,12067,0.84961,6508,0.45821,5933,0.41773,5183,0.36492,4920,0.34641,4422,0.31134,0.45278,,,
/mnt/scratch/ljcohen/mmetsp/Chaetoceros_neogracile/SRR1296834/trinity/Chaetoceros_neogracile_SRR1296834.Trinity.fixed.fasta,26183,201,11387,28931997,1104.99167,0,10751,1,14078,75.10657,478,1171,1741,2500,4102,0.37724,0.00993,0.00745,1.72128,0,0.0,0.18894,15841,15841,0.60501,0.67274,12890,0.54742,6829,0.29002,6225,0.26436,5525,0.23464,5233,0.22224,4842,0.20563,0.25436,,,
/mnt/scratch/ljcohen/mmetsp/Chattonella_subsalsa/SRR1300237/trinity/Chattonella_subsalsa_SRR1300237.Trinity.fixed.fasta,36061,201,15794,31403561,870.84554,0,11160,8,17321,81.53388,342,888,1405,2014,3379,0.42561,0.01553,0.0114,1.56717,0,0.0,0.15949,17658,17658,0.48967,0.81883,14871,0.68959,8609,0.39921,8080,0.37468,7368,0.34166,7038,0.32636,6588,0.3055,0.35771,,,
/mnt/scratch/ljcohen/mmetsp/Kryptoperidinium_foliaceum/SRR1296840/trinity/Kryptoperidinium_foliaceum_SRR1296840.Trinity.fixed.fasta,115457,201,12626,63486016,549.86719,0,14312,2,45837,88.93287,260,454,732,1024,1538,0.65143,0.00744,0.00354,2.28982,0,0.0,0.10587,72527,72527,0.62817,0.86434,62031,0.73926,32348,0.38551,29815,0.35532,26398,0.3146,24249,0.28899,21487,0.25607,0.35295,,,
/mnt/scratch/ljcohen/mmetsp/Heterosigma_akashiwo/SRR1296858/trinity/Heterosigma_akashiwo_SRR1296858.Trinity.fixed.fasta,21051,201,8681,12081597,573.92034,0,2900,0,6653,78.86342,270,465,740,1130,1864,0.54225,0.01403,0.00635,1.95902,0,0.0,0.11417,9380,9380,0.44558,0.84398,8294,0.74627,4594,0.41335,4335,0.39005,3946,0.35505,3707,0.33354,3446,0.31006,0.37331,,,
/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1300214/trinity/Alexandrium_fundyense_SRR1300214.Trinity.fixed.fasta,23730,201,3208,12721154,536.07897,0,3208,0,9101,91.22644,243,449,760,1054,1502,0.60903,0.00888,0.00315,2.00866,0,0.0,0.10929,3323,3323,0.14003,0.7701,3192,0.73975,1681,0.38957,1662,0.38517,1625,0.37659,1608,0.37265,1569,0.36362,0.39128,,,
/mnt/scratch/ljcohen/mmetsp/Heterosigma_akashiwo/SRR1296857/trinity/Heterosigma_akashiwo_SRR1296857.Trinity.fixed.fasta,24980,201,7763,14265304,571.06902,0,3098,0,7611,76.42744,278,473,708,1047,1759,0.53394,0.01361,0.00574,1.96698,0,0.0,0.11426,11659,11659,0.46673,0.85552,10421,0.76468,5793,0.42508,5507,0.40409,5030,0.36909,4766,0.34972,4425,0.3247,0.38062,,,
