('Erythrolobus_australicus', 'SRR1300443')
('Pelagodinium_beii', 'SRR1300503')
('uncultured_eukaryote', 'SRR1300504')
('Bathycoccus_prasinos', 'SRR1300505')
('uncultured_eukaryote', 'SRR1300506')
('Pavlova_lutheri', 'SRR1300507')
('Exanthemachrysis_gayraliae', 'SRR1300508')
('Pycnococcus_provasolii', 'SRR1300509')
('Chaetoceros_brevis', 'SRR1300510')
('Alexandrium_andersonii', 'SRR1300512')
('Eucampia_antarctica', 'SRR1300514')
('Pterosperma', 'SRR1300516')
('Gonyaulax_spinifera', 'SRR1300518')
('Polarella_glacialis', 'SRR1300519')
('Heterocapsa_arctica', 'SRR1300520')
('Craspedostauros_australis', 'SRR1300521')
('Entomoneis_sp.', 'SRR1300522')
('Phaeocystis_antarctica', 'SRR1300523')
('Pyramimonas_sp.', 'SRR1300524')
('uncultured_eukaryote', 'SRR1300525')
('Chaetoceros_dichaeta', 'SRR1300526')
('Attheya_septentrionalis', 'SRR1300527')
('Madagascaria_erythrocladioides', 'SRR1300528')
('uncultured_eukaryote', 'SRR1300529')
('Vitrella_brassicaformis', 'SRR1300530')
('Synchroma_pusillum', 'SRR1300531')
('Pavlova_gyrans', 'SRR1300532')
('uncultured_eukaryote', 'SRR1300533')
('Mantoniella', 'SRR1300534')
('Minutocellus_polymorphus', 'SRR1300535')
('Brandtodinium_nutricula', 'SRR1300537')
('uncultured_eukaryote', 'SRR1300538')
('uncultured_eukaryote', 'SRR1300539')
('Phaeocystis_cordata', 'SRR1300540')
('Pycnococcus_provasolii', 'SRR1300541')
('Pycnococcus_provasolii', 'SRR1300542')
('Stichococcus', 'SRR1300543')
('Imantonia', 'SRR1300544')
('uncultured_eukaryote', 'SRR1300545')
('Thalassionema_nitzschioides', 'SRR1328074')
('Thalassionema_nitzschioides', 'SRR1328075')
('Anophryoides_haemophila', 'SRR1328076')
('Anophryoides_haemophila', 'SRR1328077')
('Ostreococcus_mediterraneus', 'SRR1300342')
('Symbiodinium_sp.', 'SRR1300343')
('Symbiodinium_sp.', 'SRR1300344')
('Symbiodinium_sp.', 'SRR1300345')
('Isochrysis_sp.', 'SRR1300346')
('Pleurochrysis_carterae', 'SRR1300347')
('Pleurochrysis_carterae', 'SRR1300348')
('Pleurochrysis_carterae', 'SRR1300349')
('Hemiselmis_andersenii', 'SRR1300350')
('Hemiselmis_andersenii', 'SRR1300351')
('Hemiselmis_andersenii', 'SRR1300352')
('Rhodomonas_salina', 'SRR1300353')
('Hanusia_phi', 'SRR1300354')
('Proteomonas_sulcata', 'SRR1300355')
('Cryptomonas_curvata', 'SRR1300356')
('Bigelowiella_natans', 'SRR1300357')
('Bigelowiella_natans', 'SRR1300358')
('Bigelowiella_natans', 'SRR1300359')
('uncultured_eukaryote', 'SRR1300360')
('Prasinoderma_singularis', 'SRR1300361')
('Pycnococcus_provasolii', 'SRR1300362')
('Bolidomonas_pacifica', 'SRR1300363')
('Bolidomonas', 'SRR1300364')
('Florenciella_parvula', 'SRR1300365')
('Florenciella', 'SRR1300366')
('Micromonas_pusilla', 'SRR1300367')
('Pelagomonas_calceolata', 'SRR1300368')
('uncultured_eukaryote', 'SRR1300369')
('Scyphosphaera_apsteinii', 'SRR1300370')
('Calcidiscus_leptoporus', 'SRR1300371')
('Chrysoculter_rhomboideus', 'SRR1300372')
('Chaetoceros_cf._neogracile', 'SRR1300373')
('uncultured_eukaryote', 'SRR1300374')
('Isochrysis_sp.', 'SRR1300375')
('Isochrysis_sp.', 'SRR1300376')
('Fibrocapsa_japonica', 'SRR1300377')
('Pyramimonas_obovata', 'SRR1300378')
('Chlamydomonas', 'SRR1300379')
('Phaeocystis', 'SRR1300380')
('Rhizochromulina_marina', 'SRR1300381')
('Synedropsis_cf._recta', 'SRR1300382')
('Ochromonas', 'SRR1300383')
('uncultured_eukaryote', 'SRR1300384')
('Chrysocystis_fragilis', 'SRR1300385')
('Timspurckia_oligopyrenoides', 'SRR1300387')
('Chrysoreinhardia', 'SRR1300388')
('Picochlorum', 'SRR1300389')
('Cyclotella_meneghiniana', 'SRR1300390')
('Detonula_confervacea', 'SRR1300391')
('Thalassiosira', 'SRR1300392')
('Pseudo-nitzschia_pungens', 'SRR1300393')
('Pseudo-nitzschia_pungens', 'SRR1300394')
('Aulacoseira_subarctica', 'SRR1300395')
('Amphiprora_paludosa', 'SRR1300396')
('Coscinodiscus_wailesii', 'SRR1300397')
('Thalassiosira_punctigera', 'SRR1300398')
('Pseudopedinella_elastica', 'SRR1300399')
('Schizochytrium_aggregatum', 'SRR1300400')
('Aplanochytrium_stocchinoi', 'SRR1300401')
('Hemiselmis_tepida', 'SRR1300402')
('Hemiselmis_virescens', 'SRR1300403')
('Hemiselmis_rufescens', 'SRR1300404')
('Bigelowiella_natans', 'SRR1300405')
('Bigelowiella_longifila', 'SRR1300406')
('Skeletonema_marinoi', 'SRR1300407')
('Stauroneis_constricta', 'SRR1300408')
('Skeletonema_marinoi', 'SRR1300409')
('Schizochytrium_aggregatum', 'SRR1300410')
('Schizochytrium_aggregatum', 'SRR1300411')
('Schizochytrium_aggregatum', 'SRR1300412')
('Aplanochytrium_stocchinoi', 'SRR1300413')
('Aplanochytrium_stocchinoi', 'SRR1300414')
('Haptolina_brevifila', 'SRR1300415')
('Spumella_elongata', 'SRR1300416')
('Cafeteria', 'SRR1300417')
('Paraphysomonas_vestita', 'SRR1300418')
('Neobodo_designis', 'SRR1300419')
('Micromonas', 'SRR1300420')
('Micromonas', 'SRR1300421')
('Pycnococcus', 'SRR1300422')
('Isochrysis', 'SRR1300423')
('Gephyrocapsa_oceanica', 'SRR1300424')
('Gephyrocapsa_oceanica', 'SRR1300425')
('Gephyrocapsa_oceanica', 'SRR1300426')
('Gephyrocapsa_oceanica', 'SRR1300427')
('Polyblepharides_amylifera', 'SRR1300428')
('Rhodopseudomonas', 'SRR1300429')
('Symbiodinium_sp.', 'SRR1300430')
('Symbiodinium_sp.', 'SRR1300431')
('Symbiodinium_sp.', 'SRR1300432')
('Symbiodinium_sp.', 'SRR1300433')
('Ammonia_sp.', 'SRR1300434')
('Ditylum_brightwellii', 'SRR1300435')
('Thalassiosira_rotula', 'SRR1300436')
('Micromonas', 'SRR1300437')
('Micromonas', 'SRR1300438')
('Isochrysis', 'SRR1300439')
('Rhodopseudomonas', 'SRR1300440')
('Micromonas', 'SRR1300441')
('Micromonas', 'SRR1300442')
('Chattonella_subsalsa', 'SRR1300239')
('Chattonella_subsalsa', 'SRR1300240')
('uncultured_eukaryote', 'SRR1300241')
('uncultured_eukaryote', 'SRR1300242')
('uncultured_eukaryote', 'SRR1300243')
('uncultured_eukaryote', 'SRR1300244')
('uncultured_eukaryote', 'SRR1300245')
('uncultured_eukaryote', 'SRR1300246')
('uncultured_eukaryote', 'SRR1300247')
('Ostreococcus_mediterraneus', 'SRR1300248')
('Ostreococcus_mediterraneus', 'SRR1300249')
('Bathycoccus_prasinos', 'SRR1300250')
('Ostreococcus_mediterraneus', 'SRR1300251')
('Ostreococcus_mediterraneus', 'SRR1300252')
('Ostreococcus_mediterraneus', 'SRR1300253')
("Ostreococcus_'lucimarinus'", 'SRR1300254')
('Lingulodinium_polyedrum', 'SRR1300255')
('Lingulodinium_polyedrum', 'SRR1300256')
('Lingulodinium_polyedrum', 'SRR1300257')
('Lingulodinium_polyedrum', 'SRR1300258')
('Skeletonema_marinoi', 'SRR1300259')
('Skeletonema_marinoi', 'SRR1300260')
('uncultured_eukaryote', 'SRR1300261')
('uncultured_eukaryote', 'SRR1300262')
('Symbiodinium_sp.', 'SRR1300263')
('Symbiodinium_sp.', 'SRR1300264')
('Symbiodinium_sp.', 'SRR1300265')
('Symbiodinium_sp.', 'SRR1300266')
('Symbiodinium_sp.', 'SRR1300267')
('Isochrysis_sp.', 'SRR1300268')
('Pavlova', 'SRR1300269')
('Pavlova', 'SRR1300270')
('Minutocellus_polymorphus', 'SRR1300271')
('Ditylum_brightwellii', 'SRR1300272')
('Ditylum_brightwellii', 'SRR1300273')
('Thalassiosira', 'SRR1300274')
('uncultured_eukaryote', 'SRR1300275')
('uncultured_eukaryote', 'SRR1300276')
('uncultured_eukaryote', 'SRR1300277')
('Aureococcus_anophagefferens', 'SRR1300278')
('Aureococcus_anophagefferens', 'SRR1300279')
('Aureococcus_anophagefferens', 'SRR1300280')
('Aureococcus_anophagefferens', 'SRR1300281')
('Emiliania_huxleyi', 'SRR1300282')
('Emiliania_huxleyi', 'SRR1300283')
('Emiliania_huxleyi', 'SRR1300284')
('Emiliania_huxleyi', 'SRR1300285')
('Emiliania_huxleyi', 'SRR1300286')
('Emiliania_huxleyi', 'SRR1300287')
('Emiliania_huxleyi', 'SRR1300288')
('Emiliania_huxleyi', 'SRR1300289')
('Aurantiochytrium_limacinum', 'SRR1300290')
('Ditylum_brightwellii', 'SRR1300291')
('Ditylum_brightwellii', 'SRR1300292')
('Ditylum_brightwellii', 'SRR1300293')
('Ditylum_brightwellii', 'SRR1300294')
('Micromonas', 'SRR1300295')
('Gloeochaete_wittrockiana', 'SRR1300296')
('Dunaliella_tertiolecta', 'SRR1300297')
('Dunaliella_tertiolecta', 'SRR1300298')
('Pavlova', 'SRR1300299')
('Neoceratium_fusus', 'SRR1300300')
('Neoceratium_fusus', 'SRR1300301')
('Symbiodinium_kawagutii', 'SRR1300302')
('Symbiodinium_kawagutii', 'SRR1300303')
('Symbiodinium_kawagutii', 'SRR1300304')
('Symbiodinium_kawagutii', 'SRR1300305')
('Azadinium_spinosum', 'SRR1300306')
('Azadinium_spinosum', 'SRR1300307')
('Azadinium_spinosum', 'SRR1300308')
('Ditylum_brightwellii', 'SRR1300309')
('Chromulina_nebulosa', 'SRR1300310')
('Haptolina_ericina', 'SRR1300311')
('Pseudopedinella_elastica', 'SRR1300312')
('Phaeocystis_antarctica', 'SRR1300313')
('Rhodomonas_abbreviata', 'SRR1300314')
('Geminigera', 'SRR1300315')
('Paraphysomonas_bandaiensis', 'SRR1300316')
('Ochromonas', 'SRR1300317')
('Mantoniella_antarctica', 'SRR1300318')
('Picocystis_salinarum', 'SRR1300322')
('Picochlorum_oklahomense', 'SRR1300323')
('Mallomonas', 'SRR1300324')
('Karlodinium_veneficum', 'SRR1300325')
('Karlodinium_veneficum', 'SRR1300326')
('Karlodinium_veneficum', 'SRR1300327')
('uncultured_eukaryote', 'SRR1300328')
('uncultured_eukaryote', 'SRR1300329')
('uncultured_eukaryote', 'SRR1300330')
('Isochrysis_galbana', 'SRR1300331')
('Isochrysis_galbana', 'SRR1300332')
('Aplanochytrium', 'SRR1300333')
('Aplanochytrium', 'SRR1300334')
('Aurantiochytrium_limacinum', 'SRR1300335')
('Aurantiochytrium_limacinum', 'SRR1300336')
('Aurantiochytrium_limacinum', 'SRR1300337')
('uncultured_eukaryote', 'SRR1300338')
('uncultured_eukaryote', 'SRR1300339')
('uncultured_eukaryote', 'SRR1300340')
('uncultured_eukaryote', 'SRR1300341')
('Euplotes_focardii', 'SRR1296928')
('Noctiluca_scintillans', 'SRR1296929')
('Mayorella', 'SRR1296930')
('Thalassiosira_weissflogii', 'SRR1296931')
('Thalassiosira_weissflogii', 'SRR1296932')
('Thalassiosira_weissflogii', 'SRR1296933')
('Thalassiosira_weissflogii', 'SRR1296934')
('Litonotus_pictus', 'SRR1296935')
('Schmidingerella_taraikaensis', 'SRR1296936')
('Asterionellopsis_glacialis', 'SRR1296937')
('Chaetoceros_curvisetus', 'SRR1296938')
('Chaetoceros_curvisetus', 'SRR1296939')
('Stereomyxa_ramosa', 'SRR1296940')
('Durinskia_baltica', 'SRR1296941')
('Kryptoperidinium_foliaceum', 'SRR1296942')
('Alexandrium_margalefii', 'SRR1296943')
('Pelagococcus_subviridis', 'SRR1296944')
('Pelagococcus_subviridis', 'SRR1296945')
('Pelagococcus_subviridis', 'SRR1296946')
('Gymnochlora', 'SRR1296947')
('Lotharella_globosa', 'SRR1296948')
('Lotharella_globosa', 'SRR1296949')
('Norrisiella_sphaerica', 'SRR1296950')
('Strombidium_inclinatum', 'SRR1296951')
('Karenia_brevis', 'SRR1296952')
('Thalassiosira_minuscula', 'SRR1296953')
('Thalassiosira_minuscula', 'SRR1296954')
('Thalassiosira_minuscula', 'SRR1296955')
('Thalassiosira_minuscula', 'SRR1296956')
('Grammatophora_oceanica', 'SRR1296957')
('Thraustochytrium_sp.', 'SRR1296958')
('Thalassiosira_antarctica', 'SRR1296959')
('Crypthecodinium_cohnii', 'SRR1296960')
('Crypthecodinium_cohnii', 'SRR1296961')
('Thalassiosira_antarctica', 'SRR1296962')
('Asterionellopsis_glacialis', 'SRR1296963')
('Dactyliosolen_fragilissimus', 'SRR1296964')
('Thalassiosira_antarctica', 'SRR1296965')
('Fragilariopsis_kerguelensis', 'SRR1296966')
('Fragilariopsis_kerguelensis', 'SRR1296967')
('Debaryomyces_hansenii', 'SRR1296968')
('Debaryomyces_hansenii', 'SRR1296969')
('Debaryomyces_hansenii', 'SRR1296970')
('Debaryomyces_hansenii', 'SRR1296971')
('Scrippsiella_hangoei', 'SRR1296972')
('Prymnesium_parvum', 'SRR1296973')
('Chaetoceros_affinis', 'SRR1296974')
('Chaetoceros_affinis', 'SRR1296975')
('Uronema', 'SRR1296976')
('Asterionellopsis_glacialis', 'SRR1296977')
('Heterocapsa_triquetra', 'SRR1296978')
('Alveolata', 'SRR1296979')
('Chromera_velia', 'SRR1296980')
('Gloeochaete_wittrockiana', 'SRR1296981')
('Compsopogon_caeruleus', 'SRR1296982')
('Porphyridium_aerugineum', 'SRR1296983')
('Rhodella_maculata', 'SRR1296984')
('Rhodosorus_marinus', 'SRR1296985')
('Thalassiosira_gravida', 'SRR1296986')
('Thalassiosira_gravida', 'SRR1296987')
('Thalassiosira_rotula', 'SRR1296988')
('Thalassiosira_rotula', 'SRR1296989')
('Thalassiosira_rotula', 'SRR1296990')
('Chlamydomonas_euryale', 'SRR1296991')
('Thalassiosira_gravida', 'SRR1296992')
('Chaetoceros_curvisetus', 'SRR1296993')
('Skeletonema_grethae', 'SRR1296994')
('Skeletonema_japonicum', 'SRR1296995')
('uncultured_eukaryote', 'SRR1296996')
('Oxyrrhis_marina', 'SRR1300211')
('Lankesteria_abbotti', 'SRR1300212')
('Alexandrium_minutum', 'SRR1300213')
('Alexandrium_fundyense', 'SRR1300214')
('Minchinia_chitonis', 'SRR1300215')
('Cafeteria_roenbergensis', 'SRR1300216')
('Vaucheria_litorea', 'SRR1300217')
('Vaucheria_litorea', 'SRR1300218')
('Perkinsus_chesapeaki', 'SRR1300219')
('Perkinsus_chesapeaki', 'SRR1300220')
('Alexandrium_tamarense', 'SRR1300221')
('Alexandrium_tamarense', 'SRR1300222')
('Prymnesium_parvum', 'SRR1300223')
('Prasinococcus_capsulatus', 'SRR1300224')
('Thalassiosira_oceanica', 'SRR1300225')
('Thalassiosira_oceanica', 'SRR1300226')
('Thalassiosira_oceanica', 'SRR1300227')
('Thoracosphaera_heimii', 'SRR1300228')
('Emiliania_huxleyi', 'SRR1300229')
('Emiliania_huxleyi', 'SRR1300230')
('Emiliania_huxleyi', 'SRR1300231')
('Emiliania_huxleyi', 'SRR1300232')
('Emiliania_huxleyi', 'SRR1300233')
('Emiliania_huxleyi', 'SRR1300234')
('Emiliania_huxleyi', 'SRR1300235')
('Emiliania_huxleyi', 'SRR1300236')
('Chattonella_subsalsa', 'SRR1300237')
('Chattonella_subsalsa', 'SRR1300238')
('Oxyrrhis_marina', 'SRR1300319')
('Oxyrrhis_marina', 'SRR1300320')
('Cyanoptyche_gloeocystis', 'SRR1300321')
('Amphiprora', 'SRR1296828')
('Tryblionella_compressa', 'SRR1296829')
('Tryblionella_compressa', 'SRR1296830')
('Tryblionella_compressa', 'SRR1296831')
('Tryblionella_compressa', 'SRR1296832')
('Chaetoceros_neogracile', 'SRR1296833')
('Chaetoceros_neogracile', 'SRR1296834')
('Chaetoceros_neogracile', 'SRR1296835')
('Chaetoceros_neogracile', 'SRR1296836')
('uncultured_eukaryote', 'SRR1296837')
('uncultured_eukaryote', 'SRR1296838')
('Durinskia_baltica', 'SRR1296839')
('Kryptoperidinium_foliaceum', 'SRR1296840')
('Kryptoperidinium_foliaceum', 'SRR1296841')
('Kryptoperidinium_foliaceum', 'SRR1296842')
('uncultured_eukaryote', 'SRR1296843')
('Acanthoeca', 'SRR1296844')
('Goniomonas_pacifica', 'SRR1296845')
('Thraustochytrium_sp.', 'SRR1296846')
('Pseudo-nitzschia_australis', 'SRR1296847')
('Pseudo-nitzschia_australis', 'SRR1296848')
('Pseudo-nitzschia_australis', 'SRR1296849')
('Pseudo-nitzschia_australis', 'SRR1296850')
('Karenia_brevis', 'SRR1296851')
('Karenia_brevis', 'SRR1296852')
('Karenia_brevis', 'SRR1296853')
('Karenia_brevis', 'SRR1296854')
('Skeletonema_dohrnii', 'SRR1296855')
('Heterosigma_akashiwo', 'SRR1296856')
('Heterosigma_akashiwo', 'SRR1296857')
('Heterosigma_akashiwo', 'SRR1296858')
('Heterosigma_akashiwo', 'SRR1296859')
('Dolichomastix_tenuilepis', 'SRR1296860')
('Crustomastix_stigmatica', 'SRR1296861')
('Prasinoderma_coloniale', 'SRR1296862')
('Ochromonas', 'SRR1296863')
('Dinobryon', 'SRR1296864')
('Dinobryon', 'SRR1296865')
('Eutreptiella_gymnastica', 'SRR1296866')
('Stephanopyxis_turris', 'SRR1296867')
('Lotharella_globosa', 'SRR1296868')
('Amorphochlora_amoebiformis', 'SRR1296869')
('Hemiselmis_andersenii', 'SRR1296870')
('Bigelowiella_natans', 'SRR1296871')
('Chroomonas_cf._mesostigmatica', 'SRR1296872')
('Strombidium_rassoulzadegani', 'SRR1296873')
('Rhodomonas_lens', 'SRR1296874')
('Tetraselmis_chuii', 'SRR1296875')
('Polytomella_parva', 'SRR1296876')
('Thalassiosira_rotula', 'SRR1296877')
('Thalassiosira_weissflogii', 'SRR1296878')
('Thalassiosira_weissflogii', 'SRR1296879')
('Thalassiosira_weissflogii', 'SRR1296880')
('Thalassiosira_weissflogii', 'SRR1296881')
('Odontella_sinensis', 'SRR1296882')
('Coccolithus_braarudii', 'SRR1296883')
('Paramoeba_atlantica', 'SRR1296884')
('Paramoeba_aestuarina', 'SRR1296885')
('Vexillifera', 'SRR1296886')
('Rosalina', 'SRR1296887')
('Amphora_coffeiformis', 'SRR1296888')
('Crypthecodinium_cohnii', 'SRR1296889')
('Crypthecodinium_cohnii', 'SRR1296890')
('Chaetoceros_sp.', 'SRR1296891')
('Amphidinium_massartii', 'SRR1296892')
('Gambierdiscus_australes', 'SRR1296893')
('Stygamoeba_regulata', 'SRR1296894')
('Alexandrium_monilatum', 'SRR1296895')
('Alexandrium_monilatum', 'SRR1296896')
('Alexandrium_monilatum', 'SRR1296897')
('Alexandrium_monilatum', 'SRR1296898')
('Schmidingerella_taraikaensis', 'SRR1296899')
('Oxyrrhis_marina', 'SRR1296900')
('Oxyrrhis_marina', 'SRR1296901')
('Condylostoma_magnum', 'SRR1296902')
('Oxyrrhis_marina', 'SRR1296903')
('Isochrysis_galbana', 'SRR1296904')
('Platyophrya_macrostoma', 'SRR1296905')
('Euplotes_harpa', 'SRR1296906')
('Oxyrrhis_marina', 'SRR1296907')
('Pseudokeronopsis', 'SRR1296908')
('Fragilariopsis_kerguelensis', 'SRR1296909')
('Fragilariopsis_kerguelensis', 'SRR1296910')
('Fragilariopsis_kerguelensis', 'SRR1296911')
('Fragilariopsis_kerguelensis', 'SRR1296912')
('Heterosigma_akashiwo', 'SRR1296913')
('Heterosigma_akashiwo', 'SRR1296914')
('Heterosigma_akashiwo', 'SRR1296915')
('Heterosigma_akashiwo', 'SRR1296916')
('Prymnesium_parvum', 'SRR1296917')
('Chaetoceros_debilis', 'SRR1296918')
('Chaetoceros_debilis', 'SRR1296919')
('Thalassiothrix_antarctica', 'SRR1296920')
('Thalassiothrix_antarctica', 'SRR1296921')
('Thalassionema_nitzschioides', 'SRR1296922')
('Thalassionema_nitzschioides', 'SRR1296923')
('Corethron_pennatum', 'SRR1296924')
('Corethron_pennatum', 'SRR1296925')
('Proboscia_alata', 'SRR1296926')
('Proboscia_alata', 'SRR1296927')
('Paraphysomonas_imperforata', 'SRR1296728')
('Paraphysomonas_imperforata', 'SRR1296729')
('Tetraselmis_striata', 'SRR1296730')
('Tetraselmis_striata', 'SRR1296731')
('Tetraselmis_striata', 'SRR1296732')
('Tetraselmis_striata', 'SRR1296733')
('Sorites_sp.', 'SRR1296734')
('Chlorarachnion_reptans', 'SRR1296735')
('Pyramimonas_parkeae', 'SRR1296736')
('Pyramimonas_parkeae', 'SRR1296737')
('Protoceratium_reticulatum', 'SRR1296738')
('Prymnesium_polylepis', 'SRR1296739')
('Chrysochromulina_rotalis', 'SRR1296740')
('Togula_jolla', 'SRR1296741')
('Percolomonas_cosmopolitus', 'SRR1296742')
('Karenia_brevis', 'SRR1296743')
('Karenia_brevis', 'SRR1296744')
('Pseudo-nitzschia_fraudulenta', 'SRR1296745')
('Pseudo-nitzschia_fraudulenta', 'SRR1296746')
('Pseudo-nitzschia_fraudulenta', 'SRR1296747')
('Karenia_brevis', 'SRR1296748')
('Karenia_brevis', 'SRR1296749')
('Karenia_brevis', 'SRR1296750')
('Polarella_glacialis', 'SRR1296751')
('Prorocentrum_minimum', 'SRR1296752')
('Prorocentrum_minimum', 'SRR1296753')
('Prorocentrum_minimum', 'SRR1296754')
('Thalassiosira_rotula', 'SRR1296755')
('Percolomonas_cosmopolitus', 'SRR1296756')
('Amphidinium_carterae', 'SRR1296757')
('Amphidinium_carterae', 'SRR1296758')
('Scrippsiella_trochoidea', 'SRR1296759')
('Scrippsiella_trochoidea', 'SRR1296760')
('Scrippsiella_trochoidea', 'SRR1296761')
('Vannella_sp._CB-2014', 'SRR1296762')
('Vannella', 'SRR1296763')
('Mesodinium_pulex', 'SRR1296764')
('Alexandrium_tamarense', 'SRR1296765')
('Alexandrium_tamarense', 'SRR1296766')
('Ochromonas', 'SRR1296767')
('Eutreptiella_gymnastica', 'SRR1296768')
('Prymnesium_parvum', 'SRR1296769')
('Strombidinopsis', 'SRR1296770')
('Tiarina_fusa', 'SRR1296771')
('Trichosphaerium', 'SRR1296772')
('Filamoeba_nolandi', 'SRR1296773')
('Pessonella', 'SRR1296774')
('Heterosigma_akashiwo', 'SRR1296775')
('Heterosigma_akashiwo', 'SRR1296776')
('Heterosigma_akashiwo', 'SRR1296777')
('Pelagomonas_calceolata', 'SRR1296778')
('Pelagomonas_calceolata', 'SRR1296779')
('Pelagomonas_calceolata', 'SRR1296780')
('Pelagomonas_calceolata', 'SRR1296781')
('Sexangularia_sp._CB-2014', 'SRR1296782')
('Euplotes_focardii', 'SRR1296783')
('Prorocentrum_minimum', 'SRR1296784')
('Prorocentrum_minimum', 'SRR1296785')
('Scrippsiella_hangoei', 'SRR1296786')
('Prorocentrum_minimum', 'SRR1296787')
('Prorocentrum_minimum', 'SRR1296788')
('Prymnesium_polylepis', 'SRR1296789')
('Prymnesium_polylepis', 'SRR1296790')
('Prymnesium_polylepis', 'SRR1296791')
('Prymnesium_polylepis', 'SRR1296792')
('Scrippsiella_hangoei', 'SRR1296793')
('Scrippsiella_hangoei', 'SRR1296794')
('Skeletonema_dohrnii', 'SRR1296795')
('Scrippsiella_hangoei', 'SRR1296796')
('Heterosigma_akashiwo', 'SRR1296797')
('Heterosigma_akashiwo', 'SRR1296798')
('Heterosigma_akashiwo', 'SRR1296799')
('Skeletonema_menzellii', 'SRR1296800')
('Skeletonema_menzellii', 'SRR1296801')
('Eutreptiella_gymnastica', 'SRR1296802')
('Pelagococcus_subviridis', 'SRR1296803')
('Extubocellulus_spinifer', 'SRR1296804')
('Extubocellulus_spinifer', 'SRR1296805')
('Extubocellulus_spinifer', 'SRR1296806')
('Extubocellulus_spinifer', 'SRR1296807')
('Asterionellopsis_glacialis', 'SRR1296808')
('Asterionellopsis_glacialis', 'SRR1296809')
('Heterocapsa_rotundata', 'SRR1296810')
('Aristerostoma', 'SRR1296811')
('Favella_ehrenbergii', 'SRR1296812')
('Strombidinopsis_acuminata', 'SRR1296813')
('Lotharella_sp._CCMP622', 'SRR1296814')
('Aureoumbra_lagunensis', 'SRR1296815')
('Aureoumbra_lagunensis', 'SRR1296816')
('Aureoumbra_lagunensis', 'SRR1296817')
('Aureoumbra_lagunensis', 'SRR1296818')
('Fragilariopsis_kerguelensis', 'SRR1296819')
('Fragilariopsis_kerguelensis', 'SRR1296820')
('Thalassiosira_antarctica', 'SRR1296821')
('Rhodella_maculata', 'SRR1296822')
('Protocruzia_adherens', 'SRR1296823')
('Proboscia_inermis', 'SRR1296824')
('Amphiprora', 'SRR1296825')
('Amphiprora', 'SRR1296826')
('Amphiprora', 'SRR1296827')
('Perkinsus_marinus', 'SRR1294398')
('Perkinsus_marinus', 'SRR1294399')
('Scrippsiella_hangoei', 'SRR1294400')
('Corethron_hystrix', 'SRR1294401')
('Rhodosorus_marinus', 'SRR1294402')
('Skeletonema_costatum', 'SRR1294403')
