,SampleName,Run.x,Phylum,Input.Reads,Surviving.Reads,Percent.Surviving,n_seqs.x,smallest.x,largest.x,n_bases.x,mean_len.x,n_under_200.x,n_over_1k.x,n_over_10k.x,n_with_orf.x,mean_orf_percent.x,n90.x,n70.x,n50.x,n30.x,n10.x,gc.x,gc_skew.x,at_skew.x,cpg_ratio.x,linguistic_complexity.x,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score.x,optimal_score.x,cutoff.x,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,Complete_eukaryotic,Fragmented_eukaryotic,Missing_eukaryotic,Total_eukaryotic,Complete_eukaryotic_BUSCO_perc,Complete_protist,Fragmented_protist,Missing_protist,Total_protist,Complete_protist_BUSCO_perc,Unique_kmers_assembly,num_reads_kept_diginorm,total_reads_before_diginorm,perc_kept_diginorm,proportion_kept_diginorm,num_kmers_reads_diginorm,fp_rate_diginorm
11,MMETSP0014,SRR1294404,Bacillariophyta,16775964,16536904,98.57,63046,201,18219,86687899,1374.99443,0,30842,17,38948,74.16254,631,1489,2224,3155,4800,0.46635,0.00294,0.00766,1.87973,0.229,16536904,15445243,0.93399,14162822,0.85644,1282421,27154,12232498,0.14111,42954,0.68131,8951,0.14198,43720,0.69346,4684,0.07429,0.24811,0.48831,0.32932,45136,45136,0.71592,0.96896,23642,0.50754,11532,0.24756,9835,0.21113,7827,0.16803,6872,0.14752,5784,0.12417,0.21762,251,20,32,303,0.828382838,202,17,15,234,0.863247863,42853543,13248325,33312866,39.80%,0.398,164619725,0.001
12,MMETSP0015,SRR1294405,Bacillariophyta,21042328,20741552,98.57,63642,201,14591,67644392,1062.88916,0,24655,22,34138,74.9293,452,1090,1653,2360,3992,0.55538,0.00874,0.00573,2.02256,0.18656,20741552,19484144,0.93938,17808557,0.85859,1675587,22781,7310215,0.10807,37204,0.58458,9886,0.15534,44977,0.70672,3988,0.06266,0.23404,0.50204,0.32267,38430,38430,0.60385,0.8938,24874,0.57852,12504,0.29082,11622,0.2703,10602,0.24658,10115,0.23525,9489,0.22069,0.29661,241,34,28,303,0.795379538,186,37,11,234,0.794871795,48027372,12493704,41783874,29.90%,0.299,184675881,0.001
13,MMETSP0017,SRR1294406,Bacillariophyta,17063228,16818502,98.57,46484,201,19106,57248974,1231.5845,0,20430,41,27948,74.23284,555,1255,1912,2825,4716,0.46317,0.00382,0.00434,1.77833,0.21115,16818502,15809457,0.94,14646206,0.87084,1163251,17452,6578245,0.11491,28263,0.60802,7111,0.15298,30524,0.65666,3601,0.07747,0.23686,0.48887,0.32058,31966,31966,0.68768,0.95552,18668,0.55802,9324,0.27871,8499,0.25405,7606,0.22736,7204,0.21534,6681,0.19971,0.28194,263,11,29,303,0.867986799,217,9,8,234,0.927350427,34291803,10354156,33881711,30.60%,0.306,136915013,0
14,MMETSP0018,SRR1296976,Ciliophora,14982052,14970624,99.92,19640,201,3893,11198017,570.1638,0,2569,0,58,24.48273,281,478,722,1025,1557,0.24459,0.0755,0.03999,1.42241,0.09615,14970624,14101601,0.94195,13069129,0.87298,1032472,6904,218556,0.01952,2697,0.13732,404,0.02057,11680,0.5947,1781,0.09068,0.40603,0.45556,0.11938,14104,14104,0.71813,1.04964,12713,0.94612,6556,0.48791,6366,0.47377,6083,0.45271,5982,0.44519,5799,0.43157,0.47856,118,63,122,303,0.389438944,107,32,95,234,0.457264957,9666691,7632570,29950473,25.50%,0.255,41625112,0
15,MMETSP0019,SRR1296864,Ochrophyta,34591440,34446130,99.58,34469,201,9084,31291659,907.82033,0,11055,0,16708,73.11617,395,875,1353,1986,3195,0.43856,0.00995,0.00425,1.91299,0.16992,34446130,32280498,0.93713,29111117,0.84512,3169381,23260,1458036,0.0466,14391,0.41751,1562,0.04532,15432,0.44771,3179,0.09223,0.32358,0.48364,0.42056,26558,26558,0.77049,0.90395,17825,0.60671,8871,0.30194,7510,0.25562,6051,0.20596,5403,0.1839,4405,0.14993,0.26786,219,39,45,303,0.722772277,166,35,33,234,0.709401709,27041974,20118389,69037536,29.10%,0.291,79799748,0
16,MMETSP0020,SRR1296865,Ochrophyta,21340198,21282952,99.73,34369,201,18264,27843709,810.14021,0,8033,41,15004,82.79729,328,706,1244,2086,4391,0.44621,0.01243,0.00434,1.89273,0.1491,21282952,19644236,0.923,17304186,0.81305,2340050,23055,1053474,0.03784,12187,0.35459,1131,0.03291,21132,0.61486,1849,0.0538,0.31406,0.4728,0.48467,1451,1451,0.60484,0.06088,1011,0.04242,520,0.02182,440,0.01846,368,0.01544,326,0.01368,263,0.01103,0.01803,167,65,71,303,0.551155116,132,38,64,234,0.564102564,1664623,15526318,42623096,36.40%,0.364,59680535,0
17,MMETSP0027,SRR1296748,Dinophyta,26748951,26748227,100,162399,201,13989,105496741,649.61447,0,29615,12,69119,93.44345,277,536,945,1498,2549,0.53516,0.00766,0.00312,1.95807,0.12778,26748227,22827617,0.85343,19142622,0.71566,3684995,83722,1417025,0.01343,36324,0.22367,1883,0.01159,128188,0.78934,3044,0.01874,0.35153,0.49544,0.58492,89005,89005,0.54806,1.01909,70470,0.80687,36637,0.41949,33570,0.38437,29839,0.34165,28751,0.32919,27579,0.31577,0.44008,201,44,58,303,0.663366337,176,23,35,234,0.752136752,101160655,44432383,53497112,83.10%,0.831,208504986,0.001
18,MMETSP0029,SRR1296749,Dinophyta,26789927,26788563,99.99,160017,201,13887,105281382,657.93873,0,29781,7,68875,93.46031,279,547,964,1528,2586,0.53562,0.00816,0.0031,1.95994,0.12913,26788563,22961407,0.85713,19404449,0.72436,3556958,79800,1448131,0.01375,35695,0.22307,1895,0.01184,125947,0.78709,2995,0.01872,0.36834,0.50339,0.57771,89419,89419,0.55881,1.01604,71150,0.80846,36888,0.41915,33806,0.38413,30099,0.34201,28941,0.32885,27768,0.31552,0.43832,207,44,52,303,0.683168317,179,18,37,234,0.764957265,95463019,44445579,53578378,83.00%,0.83,207192270,0.001
19,MMETSP0030,SRR1296750,Dinophyta,26865219,26864293,100,163695,201,10981,106241670,649.02208,0,29988,2,69664,93.3733,276,537,948,1498,2516,0.53536,0.00856,0.003,1.96012,0.12781,26864293,22990660,0.85581,19465991,0.7246,3524669,80736,1414078,0.01331,36103,0.22055,1920,0.01173,129059,0.78841,3262,0.01993,0.37065,0.49907,0.58144,55620,55620,0.56267,0.6139,44247,0.48837,22642,0.24991,20737,0.22888,18428,0.2034,17748,0.19589,17010,0.18775,0.26019,200,47,56,303,0.660066007,172,31,31,234,0.735042735,68025968,44750833,53729418,83.30%,0.833,209474112,0.001
20,MMETSP0031,SRR1296952,Dinophyta,24322690,24321657,100,151377,201,9452,96191565,635.44373,0,26556,0,63270,93.35009,273,520,915,1464,2448,0.53587,0.00677,0.00207,1.95396,0.1256,24321657,20288334,0.83417,16625732,0.68358,3662602,83005,1374232,0.01429,34774,0.22972,1974,0.01304,119752,0.79108,2674,0.01766,0.30525,0.46667,0.57796,80520,80520,0.53192,1.01628,63504,0.80151,32568,0.41106,29921,0.37765,26584,0.33553,25574,0.32278,24449,0.30858,0.433,193,48,62,303,0.636963696,168,25,41,234,0.717948718,80659288,41203691,48644227,84.70%,0.847,203885199,0.001
21,MMETSP0033,SRR1296860,Chlorophyta,27673763,27667660,99.98,31615,201,24273,27258139,862.19007,0,8843,9,17247,87.01243,356,800,1328,2058,3557,0.63398,0.00943,0.00631,2.3865,0.14643,27667660,25913206,0.93659,23868713,0.86269,2044493,18947,956684,0.0351,9020,0.28531,1141,0.03609,19270,0.60952,1926,0.06092,0.39386,0.53045,0.48534,22124,22124,0.69979,1.21687,15905,0.87481,8491,0.46703,7752,0.42638,6885,0.37869,6550,0.36027,6070,0.33387,0.46026,250,31,22,303,0.825082508,181,31,22,234,0.773504274,24138987,16969515,55340789,30.70%,0.307,81812580,0
22,MMETSP0034,SRR1294419,Chlorophyta,23305112,23239681,99.72,73008,201,28609,64242814,879.94212,0,21754,43,38820,79.09444,372,830,1310,1949,3420,0.64145,0.01006,0.00786,1.95146,0.14984,23239681,21468964,0.92381,19605981,0.84364,1862983,19746,11195203,0.17426,42130,0.57706,11782,0.16138,48813,0.6686,6735,0.09225,0.26179,0.49493,0.32415,54675,54675,0.74889,1.58589,27637,0.80163,14001,0.40611,13121,0.38058,12028,0.34888,11439,0.3318,10556,0.30618,0.43089,265,33,5,303,0.874587459,178,43,13,234,0.760683761,36962364,8941064,46544513,19.20%,0.192,102696818,0
23,MMETSP0038,SRR1294407,Cryptophyta,22301235,21945081,98.4,90051,201,24687,73488097,816.07197,0,20722,81,42383,77.03761,352,701,1149,1942,4135,0.57098,0.01041,0.00284,2.1159,0.14688,21945081,19479395,0.88764,16945895,0.7722,2533500,28842,14737463,0.20054,54779,0.60831,16589,0.18422,69468,0.77143,8849,0.09827,0.14585,0.38731,0.27967,51791,51791,0.57513,1.19756,28566,0.66053,13947,0.3225,12924,0.29884,11851,0.27403,11330,0.26198,10531,0.24351,0.3137,223,56,24,303,0.735973597,162,37,35,234,0.692307692,39126290,10946590,44246310,24.70%,0.247,195716393,0.001
24,MMETSP0039,SRR1294408,Euglenozoa,13809739,13610458,98.56,154322,201,36657,102829393,666.3301,0,25988,47,40816,69.9921,289,526,934,1645,3153,0.55603,0.01371,0.00159,1.60322,0.12606,13610458,12029870,0.88387,10245185,0.75274,1784685,61295,9195177,0.08942,82971,0.53765,17320,0.11223,136548,0.88483,6574,0.0426,0.16884,0.45184,0.50373,51111,51111,0.3312,1.36336,28130,0.75035,13819,0.36861,11804,0.31487,10103,0.26949,9367,0.24986,8477,0.22612,0.34773,230,43,30,303,0.759075908,173,24,37,234,0.739316239,90240760,13100160,27420192,47.80%,0.478,236173566,0.002
25,MMETSP0040,SRR1296814,Cercozoa,26940165,26938724,99.99,37737,201,7874,28414067,752.94981,0,9945,0,17156,72.92906,335,725,1058,1414,2147,0.51088,0.00779,0.00853,2.16663,0.14763,26938724,25531387,0.94776,23873346,0.88621,1658041,19609,1708300,0.06012,9978,0.26441,1217,0.03225,21675,0.57437,3645,0.09659,0.38971,0.45268,0.14864,26078,26078,0.69105,1.10374,20590,0.87146,10628,0.44982,10187,0.43116,9412,0.39836,9092,0.38481,8447,0.35751,0.46459,199,54,50,303,0.656765677,149,21,64,234,0.636752137,23878073,16036635,53878749,29.80%,0.298,78773557,0
26,MMETSP0041,SRR1296868,Cercozoa,37163034,37158309,99.99,41011,201,16838,31476670,767.51774,0,10607,8,20151,85.52011,329,725,1115,1591,2559,0.52767,0.00705,0.00848,2.02052,0.14955,37158309,34909144,0.93947,31954554,0.85996,2954590,24478,1058093,0.03362,12081,0.29458,1537,0.03748,22444,0.54727,1986,0.04843,0.37919,0.52205,0.48686,27822,27822,0.6784,0.93974,20835,0.70374,10523,0.35543,9643,0.32571,8430,0.28474,7759,0.26208,6753,0.2281,0.30949,233,32,38,303,0.768976898,177,32,25,234,0.756410256,22194734,21456783,74321284,28.90%,0.289,108507562,0
27,MMETSP0042,SRR1296869,Cercozoa,39667261,39662301,99.99,35570,201,19515,33760198,949.11999,0,12195,22,20101,85.2833,418,923,1388,1993,3555,0.48287,0.00904,0.00765,1.87484,0.17808,39662301,37387163,0.94264,34294089,0.86465,3093074,23768,1590928,0.04712,12610,0.35451,2113,0.0594,14632,0.41136,1863,0.05238,0.3895,0.59841,0.49616,28904,28904,0.81259,0.97606,20342,0.68693,10130,0.34208,9181,0.31003,8086,0.27306,7464,0.25205,6371,0.21514,0.29465,242,24,37,303,0.798679868,186,20,28,234,0.794871795,37786394,23971034,79329512,30.20%,0.302,102602081,0
28,MMETSP0043,SRR1296870,Cryptophyta,39222946,39218029,99.99,63330,201,17707,40777347,643.88674,0,10631,9,26667,89.85468,283,525,887,1406,2654,0.60894,0.02862,0.01737,1.86594,0.12151,39218029,36521010,0.93123,33039101,0.84245,3481909,30154,1586797,0.03891,15730,0.24838,2455,0.03877,40173,0.63434,3211,0.0507,0.38396,0.5019,0.42507,39242,39242,0.61964,1.01105,31544,0.81272,16069,0.41401,15073,0.38835,13771,0.3548,12998,0.33489,11750,0.30273,0.36076,216,51,36,303,0.712871287,148,30,56,234,0.632478632,37553635,24433502,78440936,31.10%,0.311,123441510,0
29,MMETSP0044,SRR1300211,Dinophyta,18367767,18366400,99.99,266,202,697,79003,297.00376,0,0,0,12,91.28388,220,250,294,343,539,0.53497,0.01334,0.00269,1.89119,0.06706,18366400,8660516,0.47154,3295123,0.17941,5365393,257,1398,0.0177,70,0.26316,4,0.01504,57,0.21429,154,0.57895,0.00623,0.10245,0.57224,106,106,0.3985,0.23928,97,0.21896,40,0.09029,38,0.08578,27,0.06095,22,0.04966,16,0.03612,0.08758,3,4,296,303,0.00990099,2,3,229,234,0.008547009,60693,6933898,36734144,18.90%,0.189,31344358,0
30,MMETSP0045,SRR1296871,Chlorarachniophyta,30786521,30781349,99.98,17857,201,6283,9686443,542.44515,0,2095,0,5780,81.6872,255,433,700,1059,1742,0.46753,0.01067,0.00793,1.96743,0.11189,30781349,25334321,0.82304,22356122,0.72629,2978199,11419,133459,0.01378,1255,0.07028,111,0.00622,288,0.01613,705,0.03948,0.30579,0.41923,0.48153,15466,15466,0.8661,0.53973,10886,0.3799,4626,0.16144,2856,0.09967,1860,0.06491,1415,0.04938,778,0.02715,0.13272,107,53,143,303,0.353135314,84,26,124,234,0.358974359,8599174,19043767,61567566,30.90%,0.309,94543365,0
31,MMETSP0046,SRR1294409,Cryptophyta,21079444,20775376,98.56,52725,201,16180,71082262,1348.16998,0,27655,8,35473,69.53857,671,1377,1979,2719,4157,0.52596,0.01002,0.01057,1.77882,0.2281,20775376,19134849,0.92104,17454086,0.84013,1680763,16179,17925105,0.25217,33878,0.64254,13058,0.24766,37064,0.70297,4874,0.09244,0.1876,0.45337,0.3332,37954,37954,0.71985,1.57361,17753,0.73606,8950,0.37108,8514,0.353,7914,0.32812,7592,0.31477,7034,0.29164,0.38227,265,19,19,303,0.874587459,188,25,21,234,0.803418803,38094806,10023901,41854780,23.90%,0.239,153551762,0
32,MMETSP0047,SRR1296872,Cryptophyta,33703242,33698837,99.99,68249,201,15663,43540240,637.96158,0,11418,9,28134,88.09522,284,517,875,1397,2532,0.62168,0.02335,0.01121,2.01517,0.11839,33698837,31067844,0.92193,27817410,0.82547,3250434,35033,1247981,0.02866,16779,0.24585,2104,0.03083,44876,0.65753,3476,0.05093,0.36979,0.50212,0.4404,40912,40912,0.59945,0.99282,32966,0.79999,16642,0.40385,15484,0.37575,13938,0.33824,12982,0.31504,11576,0.28092,0.3533,243,42,18,303,0.801980198,178,29,27,234,0.760683761,35832341,24647304,67402010,36.60%,0.366,124326421,0
33,MMETSP0052,SRR1296876,Chlorophyta,26450648,26449937,100,35064,201,12350,28737934,819.58516,0,9468,5,17184,78.62903,365,740,1179,1742,2882,0.46663,0.02447,0.02145,1.98274,0.15065,26449937,25239160,0.95422,23615712,0.89285,1623448,25462,707015,0.0246,10401,0.29663,783,0.02233,17134,0.48865,1924,0.05487,0.48315,0.53252,0.03009,27424,27424,0.78211,0.91031,21205,0.70388,10804,0.35863,9173,0.30449,7533,0.25005,6893,0.22881,5934,0.19697,0.26965,239,44,20,303,0.788778878,155,43,36,234,0.662393162,26346674,649,649,100.00%,1,18176,0
34,MMETSP0053,SRR1296784,Dinophyta,22828464,22827191,99.99,119667,201,5999,69200631,578.27664,0,17561,0,45797,91.34502,267,460,770,1220,1965,0.65126,0.00943,0.00256,2.10507,0.11063,22827191,18936813,0.82957,14643957,0.64151,4292856,71320,1478565,0.02137,32466,0.2713,2420,0.02022,77932,0.65124,5074,0.0424,0.25495,0.3715,0.43935,73775,73775,0.6165,0.92139,57278,0.71536,28869,0.36055,25501,0.31849,21735,0.27145,19692,0.24594,16962,0.21184,0.3105,198,43,62,303,0.653465347,156,38,40,234,0.666666667,61369051,33500871,45655450,73.40%,0.734,163750394,0.001
35,MMETSP0055,SRR1296785,Dinophyta,17870620,17865996,99.97,109610,201,5323,60652113,553.3447,0,14432,0,40158,91.4434,261,435,717,1136,1835,0.6534,0.00992,0.00391,2.11105,0.10672,17865996,14541968,0.81395,11199718,0.62687,3342250,60380,1298552,0.02141,28553,0.2605,2267,0.02068,77904,0.71074,4049,0.03694,0.24829,0.3639,0.44402,65227,65227,0.59508,1.02386,51746,0.81225,26240,0.41189,24145,0.379,21356,0.33522,20197,0.31703,18652,0.29278,0.41736,186,47,70,303,0.613861386,150,33,51,234,0.641025641,52179420,27482220,35736506,76.90%,0.769,144021526,0
36,MMETSP0056,SRR1296787,Dinophyta,31424460,31388801,99.89,129657,201,7948,77155809,595.07631,0,20270,0,51535,90.38033,275,482,796,1228,1956,0.64906,0.00911,0.00299,2.10633,0.11378,31388801,26567544,0.8464,20989622,0.6687,5577922,77638,2461173,0.0319,37912,0.2924,4520,0.03486,73011,0.56311,8018,0.06184,0.24806,0.37344,0.40063,91927,91927,0.709,1.05741,70859,0.81507,36291,0.41745,33449,0.38475,29610,0.3406,27971,0.32174,25669,0.29526,0.42327,202,47,54,303,0.666666667,165,34,35,234,0.705128205,69925155,40799067,62812843,65.00%,0.65,184970139,0.001
37,MMETSP0057,SRR1296788,Dinophyta,23462614,23358333,99.56,132248,201,9280,75941639,574.23658,0,18934,0,50529,91.1939,266,457,758,1195,1926,0.65864,0.00873,0.00428,2.12304,0.10908,23358333,19510657,0.83528,15353456,0.6573,4157201,73248,1814870,0.0239,36489,0.27591,2923,0.0221,86665,0.65532,6162,0.04659,0.27527,0.37932,0.4209,82466,82466,0.62357,0.93167,64390,0.72746,32499,0.36716,28851,0.32595,24674,0.27876,22317,0.25213,19334,0.21843,0.31611,199,48,56,303,0.656765677,150,38,46,234,0.641025641,69993611,35481345,46820679,75.80%,0.758,172827655,0.001
38,MMETSP0058,SRR1296736,Chlorophyta,33957979,33909759,99.86,50667,201,12222,41130107,811.77309,0,14060,3,20633,74.8602,321,782,1323,1922,3112,0.54025,0.00881,0.00374,2.02499,0.1554,33909759,31898882,0.9407,29566522,0.87192,2332360,27571,1107904,0.02694,15302,0.30201,1278,0.02522,33733,0.66578,2877,0.05678,0.41854,0.46819,0.05174,29734,29734,0.58685,0.97068,22437,0.73247,11303,0.36899,9927,0.32407,8557,0.27935,7936,0.25908,6987,0.22809,0.3183,236,42,25,303,0.778877888,170,24,40,234,0.726495726,41916799,47942,48024,99.80%,0.998,1116088,0
39,MMETSP0059,SRR1296737,Chlorophyta,31827728,31783913,99.86,51327,201,10711,41033244,799.44754,0,13941,1,20560,74.50672,316,772,1299,1898,3080,0.53817,0.00865,0.00418,2.02132,0.15351,31783913,29892326,0.94049,27806778,0.87487,2085548,28706,1091663,0.0266,15505,0.30208,1152,0.02244,35151,0.68484,2460,0.04793,0.42722,0.47176,0.0384,29628,29628,0.57724,0.97166,22248,0.72963,11169,0.36629,9746,0.31962,8410,0.27581,7806,0.256,6829,0.22396,0.31534,250,31,22,303,0.825082508,184,21,29,234,0.786324786,46951782,23377719,63611593,36.80%,0.368,125072556,0
40,MMETSP0063,SRR1296991,Chlorophyta,25051252,24232336,96.73,45607,201,13453,35930690,787.83279,0,10687,3,17724,71.96484,311,699,1287,2079,3625,0.62379,0.00867,0.00183,2.27137,0.13609,24232336,22286178,0.91969,19721653,0.81386,2564525,30834,1971028,0.05486,16907,0.37071,1782,0.03907,29646,0.65003,2358,0.0517,0.32024,0.46174,0.52145,29696,29696,0.65113,1.24038,19944,0.83305,10589,0.4423,9468,0.39547,8146,0.34025,7598,0.31736,6646,0.2776,0.42732,203,59,41,303,0.669966997,151,37,46,234,0.645299145,30882889,21196540,49283221,43.00%,0.43,116662693,0
