SampleName	Unique_kmers
MMETSP0030	77910515
MMETSP0190	10332232
MMETSP1453	7068816
MMETSP1321	13888465
MMETSP1042	19925214
MMETSP1367	41779017
MMETSP0405	4178878
MMETSP1396	5746029
MMETSP1416	20717268
MMETSP1057	21832441
MMETSP0045	16588847
MMETSP0312	7384629
MMETSP0814	10159779
MMETSP1114	25559758
MMETSP0945	4705438
MMETSP1050	12036981
MMETSP0908	18852436
MMETSP0251	123262
MMETSP0154	15192956
MMETSP1061	16142204
MMETSP0415	4265458
MMETSP1034	54642919
MMETSP1401	12284414
MMETSP0040	14826337
MMETSP0907	20273464
MMETSP1420	21898705
MMETSP0018	26864
MMETSP1316	9050349
MMETSP0186	125605
MMETSP0879	23116552
MMETSP0850	12495403
MMETSP0819	18630695
MMETSP0097	56705474
MMETSP0738	12591028
MMETSP0371	41486995
MMETSP1090	15910825
MMETSP0716	199045
MMETSP0976	19299342
MMETSP0528	48253537
MMETSP0937	7305196
MMETSP1428	15889768
MMETSP1421	20124058
MMETSP0982	21224667
MMETSP1433	12545334
MMETSP1013	13606370
MMETSP0398	1145223
MMETSP0883	16432265
MMETSP1006	11723247
MMETSP1381	8580053
MMETSP0713	12178457
MMETSP0746	6329053
MMETSP0046	22711010
MMETSP1170	4572679
MMETSP1086	6303587
MMETSP0101	12206242
MMETSP1438	10735028
MMETSP0725	11298407
MMETSP0941	10225831
MMETSP1150	11001045
MMETSP0041	8846735
MMETSP0957	5639076
MMETSP0116	40074305
MMETSP1380	8438466
MMETSP0970	9874529
MMETSP0950	10533870
MMETSP1066	21125180
MMETSP0314	8824994
MMETSP0708	4650897
MMETSP0361	67575891
MMETSP0903	19760998
MMETSP1470	15525119
MMETSP0232	2860061
MMETSP1465	6756660
MMETSP0112	9518284
MMETSP1019	123291
MMETSP0887	17270532
MMETSP0088	7228650
MMETSP0964	13695402
MMETSP1397	16234507
MMETSP1055	14132297
MMETSP0915	8465899
MMETSP1456	8913412
MMETSP0229	35307
MMETSP1467	16812352
MMETSP0917	8326779
MMETSP0223	21050
MMETSP0225	25280
MMETSP0894	5432247
MMETSP1450	23006283
MMETSP1048	9741951
MMETSP0208	12630460
MMETSP0059	18288589
MMETSP0790	31745543
MMETSP0905	20266150
MMETSP1091	10771787
MMETSP0989	22740068
MMETSP1172	7052525
MMETSP0326	8601454
MMETSP1370	22801548
MMETSP1017	28902911
MMETSP1005	9024283
MMETSP0019	10729756
MMETSP0735	12635736
MMETSP1010	12621439
MMETSP0106	17543096
MMETSP0271	61817894
MMETSP1437	7844400
MMETSP1130	4128033
MMETSP0013	15564602
MMETSP0086	6381850
MMETSP0914	11064259
MMETSP0322	6907393
MMETSP0323	7825666
MMETSP0292	8254399
MMETSP0806	11771679
MMETSP0329	10487339
MMETSP1007	11600814
MMETSP0115	16593047
MMETSP0009	17983358
MMETSP1115	25786878
MMETSP0420	4634221
MMETSP1326	13457016
MMETSP1033	52606991
MMETSP0471	25774201
MMETSP0404	24626529
MMETSP0949	9437982
MMETSP0414	4826020
MMETSP1386	16608553
MMETSP0707	18492046
MMETSP0213	4123487
MMETSP0126	11503162
MMETSP0052	13588033
MMETSP0174	22606882
MMETSP0924	838273
MMETSP0004	9187479
MMETSP0286	10626458
MMETSP0956	3088179
MMETSP0140	11902897
MMETSP1344	30951561
MMETSP0146	23011710
MMETSP1323	8459343
MMETSP1070	14570196
MMETSP0958	10191377
MMETSP1474	11674433
MMETSP0294	11564012
MMETSP1107	3475430
MMETSP0818	20618685
MMETSP0804	16553319
MMETSP0963	8144658
MMETSP0347	844205
MMETSP0470	23223039
MMETSP0920	10257039
MMETSP0853	11610148
MMETSP0947	10414187
MMETSP1425	21896571
MMETSP1325	9117606
MMETSP1032	52201933
MMETSP0397	4570407
MMETSP1084	13339579
MMETSP1100	14454111
MMETSP1082	17201404
MMETSP0918	14786752
MMETSP1426	33292336
MMETSP0758	6774936
MMETSP0416	5903379
MMETSP1016	38524944
MMETSP0411	4925020
MMETSP0891	13987767
MMETSP0176	23388099
MMETSP0971	11275546
MMETSP0809	8997028
MMETSP1132	11876653
MMETSP0603	14864939
MMETSP0897	3224575
MMETSP1018	69591
MMETSP0724	14017685
MMETSP1153	13619448
MMETSP0954	4670563
MMETSP1309	6794193
MMETSP0418	7363609
MMETSP1451	14887803
MMETSP1440	16766831
MMETSP0737	28185046
MMETSP0902	19650397
MMETSP0820	18930260
MMETSP0975	18802855
MMETSP0810	10852950
