,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP0958,106,4,105,215,0.4930232558139535
MMETSP0946,107,4,104,215,0.49767441860465117
MMETSP1401,114,1,100,215,0.5302325581395348
MMETSP0290,119,1,95,215,0.5534883720930233
MMETSP1040,69,2,144,215,0.3209302325581395
MMETSP0795,13,0,202,215,0.06046511627906977
MMETSP0905,106,2,107,215,0.4930232558139535
MMETSP0562,97,1,117,215,0.4511627906976744
MMETSP0269,112,5,98,215,0.5209302325581395
MMETSP0123,54,1,160,215,0.25116279069767444
MMETSP1104,125,4,86,215,0.5813953488372093
MMETSP1357,92,5,118,215,0.42790697674418604
MMETSP1349,63,1,151,215,0.2930232558139535
MMETSP0370,123,4,88,215,0.5720930232558139
MMETSP0199,107,1,107,215,0.49767441860465117
MMETSP0802,118,1,96,215,0.5488372093023256
MMETSP1442,58,1,156,215,0.26976744186046514
MMETSP0503,111,4,100,215,0.5162790697674419
MMETSP0649,109,1,105,215,0.5069767441860465
MMETSP0964,102,3,110,215,0.4744186046511628
MMETSP0142,110,0,105,215,0.5116279069767442
MMETSP1165,84,4,127,215,0.39069767441860465
MMETSP0216,112,1,102,215,0.5209302325581395
MMETSP1392,129,1,85,215,0.6
MMETSP0208,49,0,166,215,0.22790697674418606
MMETSP1062,123,1,91,215,0.5720930232558139
MMETSP0045,100,1,114,215,0.46511627906976744
MMETSP1336,107,2,106,215,0.49767441860465117
MMETSP1328,82,3,130,215,0.3813953488372093
MMETSP0404,114,3,98,215,0.5302325581395348
MMETSP1423,115,3,97,215,0.5348837209302325
MMETSP1138,113,2,100,215,0.5255813953488372
MMETSP1085,116,5,94,215,0.5395348837209303
MMETSP0101,113,0,102,215,0.5255813953488372
MMETSP1126,122,1,92,215,0.5674418604651162
MMETSP0884,89,2,124,215,0.413953488372093
MMETSP0939,103,3,109,215,0.4790697674418605
MMETSP0447,150,2,63,215,0.6976744186046512
MMETSP1460,80,2,133,215,0.37209302325581395
MMETSP0713,94,0,121,215,0.4372093023255814
MMETSP0820,135,6,74,215,0.627906976744186
MMETSP0983,123,5,87,215,0.5720930232558139
MMETSP0018,31,0,184,215,0.14418604651162792
MMETSP0006,92,4,119,215,0.42790697674418604
MMETSP1434,29,1,185,215,0.13488372093023257
MMETSP0413,150,6,59,215,0.6976744186046512
MMETSP0759,66,0,149,215,0.30697674418604654
MMETSP0747,81,4,130,215,0.3767441860465116
MMETSP0052,90,3,122,215,0.4186046511627907
MMETSP1075,96,2,117,215,0.44651162790697674
MMETSP0318,52,2,161,215,0.24186046511627907
MMETSP1321,75,3,137,215,0.3488372093023256
MMETSP1172,85,1,129,215,0.3953488372093023
MMETSP1385,60,0,155,215,0.27906976744186046
MMETSP0201,110,2,103,215,0.5116279069767442
MMETSP0973,100,2,113,215,0.46511627906976744
MMETSP0011,115,1,99,215,0.5348837209302325
MMETSP1036,117,4,94,215,0.5441860465116279
MMETSP1362,109,3,103,215,0.5069767441860465
MMETSP1469,106,3,106,215,0.4930232558139535
MMETSP0994,70,6,139,215,0.32558139534883723
MMETSP0930,101,1,113,215,0.4697674418604651
MMETSP0603,91,1,123,215,0.4232558139534884
MMETSP0893,66,3,146,215,0.30697674418604654
MMETSP0108,104,4,107,215,0.48372093023255813
MMETSP1131,23,1,191,215,0.10697674418604651
MMETSP0116,121,4,90,215,0.5627906976744186
MMETSP0324,124,0,91,215,0.5767441860465117
MMETSP0287,89,3,123,215,0.413953488372093
MMETSP1049,43,3,169,215,0.2
MMETSP1057,106,2,107,215,0.4930232558139535
MMETSP1416,112,6,97,215,0.5209302325581395
MMETSP1408,106,4,105,215,0.4930232558139535
MMETSP0528,110,3,102,215,0.5116279069767442
MMETSP0380,35,0,180,215,0.16279069767441862
MMETSP0223,0,0,215,215,0.0
MMETSP0169,85,3,127,215,0.3953488372093023
MMETSP1150,107,2,106,215,0.49767441860465117
MMETSP0738,27,1,187,215,0.12558139534883722
MMETSP0815,118,1,96,215,0.5488372093023256
MMETSP0726,69,0,146,215,0.3209302325581395
MMETSP0472,152,2,61,215,0.7069767441860465
MMETSP0367,130,4,81,215,0.6046511627906976
MMETSP0033,114,2,99,215,0.5302325581395348
MMETSP0190,41,0,174,215,0.19069767441860466
MMETSP0097,121,4,90,215,0.5627906976744186
MMETSP0134,0,0,215,215,0.0
MMETSP0912,42,4,169,215,0.19534883720930232
MMETSP0929,112,1,102,215,0.5209302325581395
MMETSP0894,64,8,143,215,0.29767441860465116
MMETSP0604,114,1,100,215,0.5302325581395348
MMETSP0937,100,2,113,215,0.46511627906976744
MMETSP0111,100,4,111,215,0.46511627906976744
MMETSP1095,85,1,129,215,0.3953488372093023
MMETSP1128,132,1,82,215,0.6139534883720931
MMETSP1136,98,1,116,215,0.4558139534883721
MMETSP1365,93,4,118,215,0.4325581395348837
MMETSP0008,115,1,99,215,0.5348837209302325
MMETSP0993,110,2,103,215,0.5116279069767442
MMETSP0449,53,1,161,215,0.24651162790697675
MMETSP1470,120,1,94,215,0.5581395348837209
MMETSP0206,55,0,160,215,0.2558139534883721
MMETSP0152,111,2,102,215,0.5162790697674419
MMETSP1175,63,0,152,215,0.2930232558139535
MMETSP0974,111,3,101,215,0.5162790697674419
MMETSP0740,20,2,193,215,0.09302325581395349
MMETSP0414,64,4,147,215,0.29767441860465116
MMETSP1433,140,2,73,215,0.6511627906976745
MMETSP1326,97,5,113,215,0.4511627906976744
MMETSP1338,118,1,96,215,0.5488372093023256
MMETSP0055,96,4,115,215,0.44651162790697674
MMETSP0133,0,0,215,215,0.0
MMETSP1114,50,0,165,215,0.23255813953488372
MMETSP0090,117,1,97,215,0.5441860465116279
MMETSP0267,108,4,103,215,0.5023255813953489
MMETSP0785,88,5,122,215,0.40930232558139534
MMETSP0915,90,3,122,215,0.4186046511627907
MMETSP1452,79,5,131,215,0.3674418604651163
MMETSP0812,73,7,135,215,0.3395348837209302
MMETSP0197,0,0,215,215,0.0
MMETSP1013,106,0,109,215,0.4930232558139535
MMETSP0034,137,6,72,215,0.6372093023255814
MMETSP1347,55,3,157,215,0.2558139534883721
MMETSP0360,122,4,89,215,0.5674418604651162
MMETSP1359,61,1,153,215,0.2837209302325581
MMETSP0492,47,2,166,215,0.2186046511627907
MMETSP0948,131,3,81,215,0.6093023255813953
MMETSP0956,92,3,120,215,0.42790697674418604
MMETSP1157,106,3,106,215,0.4930232558139535
MMETSP0224,125,2,88,215,0.5813953488372093
MMETSP0399,0,0,215,215,0.0
MMETSP1050,83,1,131,215,0.386046511627907
MMETSP0323,42,4,169,215,0.19534883720930232
MMETSP0436,49,1,165,215,0.22790697674418606
MMETSP0595,106,2,107,215,0.4930232558139535
MMETSP1411,91,3,121,215,0.4232558139534884
MMETSP0851,120,3,92,215,0.5581395348837209
MMETSP1435,24,1,190,215,0.11162790697674418
MMETSP0758,43,1,171,215,0.2
MMETSP0746,93,5,117,215,0.4325581395348837
MMETSP0053,110,5,100,215,0.5116279069767442
MMETSP1074,86,4,125,215,0.4
MMETSP1320,71,2,142,215,0.3302325581395349
MMETSP0319,117,2,96,215,0.5441860465116279
MMETSP1173,115,2,98,215,0.5348837209302325
MMETSP0154,108,1,106,215,0.5023255813953489
MMETSP0200,124,2,89,215,0.5767441860465117
MMETSP1384,61,2,152,215,0.2837209302325581
MMETSP0972,100,3,112,215,0.46511627906976744
MMETSP0010,64,5,146,215,0.29767441860465116
MMETSP1037,108,4,103,215,0.5023255813953489
MMETSP1363,99,4,112,215,0.4604651162790698
MMETSP1468,92,5,118,215,0.42790697674418604
MMETSP0451,3,0,212,215,0.013953488372093023
MMETSP0995,69,3,143,215,0.3209302325581395
MMETSP0705,0,0,215,215,0.0
MMETSP0892,80,0,135,215,0.37209302325581395
MMETSP1130,24,3,188,215,0.11162790697674418
MMETSP0109,124,1,90,215,0.5767441860465117
MMETSP0117,145,1,69,215,0.6744186046511628
MMETSP0325,126,0,89,215,0.586046511627907
MMETSP0286,44,4,167,215,0.20465116279069767
MMETSP1048,81,1,133,215,0.3767441860465116
MMETSP1417,107,5,103,215,0.49767441860465117
MMETSP0593,92,3,120,215,0.42790697674418604
MMETSP1409,108,4,103,215,0.5023255813953489
MMETSP0950,138,1,76,215,0.641860465116279
MMETSP0494,81,0,134,215,0.3767441860465116
MMETSP1151,108,3,104,215,0.5023255813953489
MMETSP0168,139,5,71,215,0.6465116279069767
MMETSP0176,97,3,115,215,0.4511627906976744
MMETSP0739,98,0,117,215,0.4558139534883721
MMETSP0727,89,2,124,215,0.413953488372093
MMETSP0814,96,4,115,215,0.44651162790697674
MMETSP0378,35,0,180,215,0.16279069767441862
MMETSP1015,94,3,118,215,0.4372093023255814
MMETSP0191,80,1,134,215,0.37209302325581395
MMETSP0096,119,3,93,215,0.5534883720930233
MMETSP0088,58,3,154,215,0.26976744186046514
MMETSP0135,0,0,215,215,0.0
MMETSP0913,48,2,165,215,0.22325581395348837
MMETSP0574,120,2,93,215,0.5581395348837209
MMETSP0895,57,5,153,215,0.2651162790697674
MMETSP0936,103,1,111,215,0.4790697674418605
MMETSP1129,69,4,142,215,0.3209302325581395
MMETSP1094,88,7,120,215,0.40930232558139534
MMETSP0110,111,1,103,215,0.5162790697674419
MMETSP1137,68,1,146,215,0.31627906976744186
MMETSP1364,101,2,112,215,0.4697674418604651
MMETSP0009,64,0,151,215,0.29767441860465116
MMETSP0017,128,1,86,215,0.5953488372093023
MMETSP0992,96,2,117,215,0.44651162790697674
MMETSP1471,41,4,170,215,0.19069767441860466
MMETSP0448,113,3,99,215,0.5255813953488372
MMETSP1174,121,2,92,215,0.5627906976744186
MMETSP0975,112,3,100,215,0.5209302325581395
MMETSP0415,66,2,147,215,0.30697674418604654
MMETSP1432,77,3,135,215,0.3581395348837209
MMETSP1327,93,1,121,215,0.4325581395348837
MMETSP1339,92,3,120,215,0.42790697674418604
MMETSP0132,1,0,214,215,0.004651162790697674
MMETSP0091,72,1,142,215,0.33488372093023255
MMETSP1115,106,3,106,215,0.4930232558139535
MMETSP0573,116,2,97,215,0.5395348837209303
MMETSP0784,134,1,80,215,0.6232558139534884
MMETSP0914,93,4,118,215,0.4325581395348837
MMETSP1453,82,4,129,215,0.3813953488372093
MMETSP1012,106,1,108,215,0.4930232558139535
MMETSP0196,6,0,209,215,0.027906976744186046
MMETSP1346,89,1,125,215,0.413953488372093
MMETSP1358,117,2,96,215,0.5441860465116279
MMETSP0361,137,3,75,215,0.6372093023255814
MMETSP0493,66,5,144,215,0.30697674418604654
MMETSP0949,129,7,79,215,0.6
MMETSP0957,69,1,145,215,0.3209302325581395
MMETSP1148,0,0,215,215,0.0
MMETSP0171,82,1,132,215,0.3813953488372093
MMETSP1156,104,3,108,215,0.48372093023255813
MMETSP0398,1,2,212,215,0.004651162790697674
MMETSP0225,0,0,215,215,0.0
MMETSP0322,103,1,111,215,0.4790697674418605
MMETSP0437,31,2,182,215,0.14418604651162792
MMETSP1410,102,5,108,215,0.4744186046511628
MMETSP0850,72,0,143,215,0.33488372093023255
MMETSP1005,60,1,154,215,0.27906976744186046
MMETSP0368,126,4,85,215,0.586046511627907
MMETSP1444,91,4,120,215,0.4232558139534884
MMETSP0463,73,1,141,215,0.3395348837209302
MMETSP0804,143,4,68,215,0.6651162790697674
MMETSP0737,115,3,97,215,0.5348837209302325
MMETSP0903,115,2,98,215,0.5348837209302325
MMETSP1102,107,2,106,215,0.49767441860465117
MMETSP0086,59,1,155,215,0.2744186046511628
MMETSP0125,43,2,170,215,0.2
MMETSP0098,139,2,74,215,0.6465116279069767
MMETSP0271,123,3,89,215,0.5720930232558139
MMETSP1407,103,5,107,215,0.4790697674418605
MMETSP0420,96,0,119,215,0.44651162790697674
MMETSP1419,111,2,102,215,0.5162790697674419
MMETSP1058,112,3,100,215,0.5209302325581395
MMETSP0288,174,6,35,215,0.8093023255813954
MMETSP1312,107,4,104,215,0.49767441860465117
MMETSP0296,98,6,111,215,0.4558139534883721
MMETSP1141,117,3,95,215,0.5441860465116279
MMETSP0166,114,3,98,215,0.5302325581395348
MMETSP0232,46,1,168,215,0.21395348837209302
MMETSP0527,104,3,108,215,0.48372093023255813
MMETSP0484,128,1,86,215,0.5953488372093023
MMETSP0985,123,4,88,215,0.5720930232558139
MMETSP1466,72,1,142,215,0.33488372093023255
MMETSP1039,73,2,140,215,0.3395348837209302
MMETSP0253,125,1,89,215,0.5813953488372093
MMETSP0119,95,3,117,215,0.4418604651162791
MMETSP0107,88,3,124,215,0.40930232558139534
MMETSP1083,86,5,124,215,0.4
MMETSP0882,87,3,125,215,0.4046511627906977
MMETSP0317,49,1,165,215,0.22790697674418606
MMETSP1330,80,2,133,215,0.37209302325581395
MMETSP0043,91,5,119,215,0.4232558139534884
MMETSP1064,112,2,101,215,0.5209302325581395
MMETSP1425,94,1,120,215,0.4372093023255814
MMETSP0962,47,1,167,215,0.2186046511627907
MMETSP1394,122,1,92,215,0.5674418604651162
MMETSP0210,37,0,178,215,0.17209302325581396
MMETSP1163,93,5,117,215,0.4325581395348837
MMETSP0235,29,1,185,215,0.13488372093023257
MMETSP0161,106,3,106,215,0.4930232558139535
MMETSP0959,107,5,103,215,0.49767441860465117
MMETSP0947,136,2,77,215,0.6325581395348837
MMETSP0439,147,0,68,215,0.6837209302325581
MMETSP1400,113,1,101,215,0.5255813953488372
MMETSP1315,79,3,133,215,0.3674418604651163
MMETSP1041,79,5,131,215,0.3674418604651163
MMETSP0794,98,0,117,215,0.4558139534883721
MMETSP0904,92,1,122,215,0.42790697674418604
MMETSP0563,105,2,108,215,0.4883720930232558
MMETSP0268,118,3,94,215,0.5488372093023256
MMETSP1105,102,1,112,215,0.4744186046511628
MMETSP1356,79,6,130,215,0.3674418604651163
MMETSP0371,118,6,91,215,0.5488372093023256
MMETSP1348,80,2,133,215,0.37209302325581395
MMETSP0186,4,2,209,215,0.018604651162790697
MMETSP1002,47,3,165,215,0.2186046511627907
MMETSP0198,108,2,105,215,0.5023255813953489
MMETSP0803,89,8,118,215,0.413953488372093
MMETSP0693,22,2,191,215,0.10232558139534884
MMETSP1443,68,2,145,215,0.31627906976744186
MMETSP0648,107,1,107,215,0.49767441860465117
MMETSP0965,93,3,119,215,0.4325581395348837
MMETSP0143,103,1,111,215,0.4790697674418605
MMETSP1164,80,2,133,215,0.37209302325581395
MMETSP1393,67,1,147,215,0.3116279069767442
MMETSP0209,28,0,187,215,0.13023255813953488
MMETSP1063,127,1,87,215,0.5906976744186047
MMETSP0044,1,0,214,215,0.004651162790697674
MMETSP1329,80,6,129,215,0.37209302325581395
MMETSP0405,66,2,147,215,0.30697674418604654
MMETSP1422,112,3,100,215,0.5209302325581395
MMETSP0751,126,2,87,215,0.586046511627907
MMETSP0100,92,3,120,215,0.42790697674418604
MMETSP1084,120,1,94,215,0.5581395348837209
MMETSP1139,63,1,151,215,0.2930232558139535
MMETSP1127,125,1,89,215,0.5813953488372093
MMETSP0938,103,3,109,215,0.4790697674418605
MMETSP0885,86,2,127,215,0.4
MMETSP0982,124,5,86,215,0.5767441860465117
MMETSP0019,103,2,110,215,0.4790697674418605
MMETSP0007,50,2,163,215,0.23255813953488372
MMETSP1374,83,2,130,215,0.386046511627907
MMETSP1366,104,3,108,215,0.48372093023255813
MMETSP0015,105,1,109,215,0.4883720930232558
MMETSP1032,121,2,92,215,0.5627906976744186
MMETSP0990,75,2,138,215,0.3488372093023256
MMETSP1473,100,3,112,215,0.46511627906976744
MMETSP0889,74,6,135,215,0.34418604651162793
MMETSP0897,43,6,166,215,0.2
MMETSP0258,116,3,96,215,0.5395348837209303
MMETSP1096,82,4,129,215,0.3813953488372093
MMETSP0112,51,2,162,215,0.2372093023255814
MMETSP0409,54,2,159,215,0.25116279069767444
MMETSP0417,114,1,100,215,0.5302325581395348
MMETSP1325,45,3,167,215,0.20930232558139536
MMETSP0056,105,4,106,215,0.4883720930232558
MMETSP1071,107,4,104,215,0.49767441860465117
MMETSP1381,60,1,154,215,0.27906976744186046
MMETSP1176,90,1,124,215,0.4186046511627907
MMETSP0151,110,1,104,215,0.5116279069767442
MMETSP0977,114,3,98,215,0.5302325581395348
MMETSP0468,100,2,113,215,0.46511627906976744
MMETSP1451,162,4,49,215,0.7534883720930232
MMETSP0811,72,3,140,215,0.33488372093023255
MMETSP0029,111,2,102,215,0.5162790697674419
MMETSP1010,79,0,136,215,0.3674418604651163
MMETSP1344,100,2,113,215,0.46511627906976744
MMETSP0093,107,1,107,215,0.49767441860465117
MMETSP1117,93,4,118,215,0.4325581395348837
MMETSP0798,45,1,169,215,0.20930232558139536
MMETSP0916,89,5,121,215,0.413953488372093
MMETSP0908,110,2,103,215,0.5116279069767442
MMETSP0786,128,1,86,215,0.5953488372093023
MMETSP0320,97,3,115,215,0.4511627906976744
MMETSP1412,102,3,110,215,0.4744186046511628
MMETSP0852,70,3,142,215,0.32558139534883723
MMETSP0491,99,9,107,215,0.4604651162790698
MMETSP0955,77,2,136,215,0.3581395348837209
MMETSP1154,107,4,104,215,0.49767441860465117
MMETSP0173,100,1,114,215,0.46511627906976744
MMETSP0384,144,2,69,215,0.6697674418604651
MMETSP0227,116,1,98,215,0.5395348837209303
MMETSP0156,132,3,80,215,0.6139534883720931
MMETSP1171,56,0,159,215,0.26046511627906976
MMETSP0202,90,3,122,215,0.4186046511627907
MMETSP1386,113,2,100,215,0.5255813953488372
MMETSP0970,94,5,116,215,0.4372093023255814
MMETSP0410,59,7,149,215,0.2744186046511628
MMETSP1429,53,1,161,215,0.24651162790697675
MMETSP1437,96,1,118,215,0.44651162790697674
