,EvaluationMetric,SoftwareSource,Description,Reference
27,Submission,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
28,Consent,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
29,RunHash,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
30,ReadHash,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
31,Investigator,iMicrobe,,ftp://ftp.imicrobe.us/projects/104/Callum_FINAL_biosample_ids.xls
32,HighLevelClassification,iMicrobe,,ftp://ftp.imicrobe.us/projects/104/Callum_FINAL_biosample_ids.xls
33,Phylum,iMicrobe,,ftp://ftp.imicrobe.us/projects/104/Callum_FINAL_biosample_ids.xls
34,Class,iMicrobe,,ftp://ftp.imicrobe.us/projects/104/Callum_FINAL_biosample_ids.xls
35,Order,iMicrobe,,ftp://ftp.imicrobe.us/projects/104/Callum_FINAL_biosample_ids.xls
36,Family,iMicrobe,,ftp://ftp.imicrobe.us/projects/104/Callum_FINAL_biosample_ids.xls
37,Genus,iMicrobe,,ftp://ftp.imicrobe.us/projects/104/Callum_FINAL_biosample_ids.xls
38,Species,iMicrobe,,ftp://ftp.imicrobe.us/projects/104/Callum_FINAL_biosample_ids.xls
39,Strain,iMicrobe,,ftp://ftp.imicrobe.us/projects/104/Callum_FINAL_biosample_ids.xls
40,Input.Reads,Trimmomatic,,http://www.usadellab.org/cms/uploads/supplementary/Trimmomatic/TrimmomaticManual_V0.32.pdf
41,Surviving.Reads,Trimmomatic,,http://www.usadellab.org/cms/uploads/supplementary/Trimmomatic/TrimmomaticManual_V0.32.pdf
42,Percent.Surviving,Trimmomatic,,http://www.usadellab.org/cms/uploads/supplementary/Trimmomatic/TrimmomaticManual_V0.32.pdf
43,assembly.x,Transrate: score,DIB assembly path,http://hibberdlab.com/transrate/metrics.html
44,n_seqs.x,Transrate: score,number of contigs,http://hibberdlab.com/transrate/metrics.html
45,smallest.x,Transrate: score,smallest contig,http://hibberdlab.com/transrate/metrics.html
46,largest.x,Transrate: score,largest contig,http://hibberdlab.com/transrate/metrics.html
47,n_bases.x,Transrate: score,number of bases in the assembly,http://hibberdlab.com/transrate/metrics.html
48,mean_len.x,Transrate: score,mean length of contigs,http://hibberdlab.com/transrate/metrics.html
49,n_under_200.x,Transrate: score,number of contigs under length 200 bases,http://hibberdlab.com/transrate/metrics.html
50,n_over_1k.x,Transrate: score,"number of contigs  over length 1,000 bases",http://hibberdlab.com/transrate/metrics.html
51,n_over_10k.x,Transrate: score,"number of contigs over length 10,000 bases",http://hibberdlab.com/transrate/metrics.html
52,n_with_orf.x,Transrate: score,number of contigs with an open reading frame,http://hibberdlab.com/transrate/metrics.html
53,mean_orf_percent.x,Transrate: score,mean open reading frame percentage in the assembly,http://hibberdlab.com/transrate/metrics.html
54,n90.x,Transrate: score,90% of contigs are this length or higher,http://hibberdlab.com/transrate/metrics.html
55,n70.x,Transrate: score,70% of contigs are this length or higher,http://hibberdlab.com/transrate/metrics.html
56,n50.x,Transrate: score,50% of contigs are this length or higher,http://hibberdlab.com/transrate/metrics.html
57,n30.x,Transrate: score,30% of contigs are this length or higher,http://hibberdlab.com/transrate/metrics.html
58,n10.x,Transrate: score,10% of contigs are this length or higher,http://hibberdlab.com/transrate/metrics.html
59,gc.x,Transrate: score,percentage of bases either G or C,http://hibberdlab.com/transrate/metrics.html
60,gc_skew.x,Transrate: score,(G - C)/(G + C),http://hibberdlab.com/transrate/metrics.html
61,at_skew.x,Transrate: score,(A - T)/(A + T),http://hibberdlab.com/transrate/metrics.html
62,cpg_ratio.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
63,bases_n.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
64,proportion_n.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
65,linguistic_complexity.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
66,fragments.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
67,fragments_mapped.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
68,p_fragments_mapped.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
69,good_mappings.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
70,p_good_mapping.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
71,bad_mappings.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
72,potential_bridges.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
73,bases_uncovered.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
74,p_bases_uncovered.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
75,contigs_uncovbase.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
76,p_contigs_uncovbase.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
77,contigs_uncovered.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
78,p_contigs_uncovered.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
79,contigs_lowcovered.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
80,p_contigs_lowcovered.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
81,contigs_segmented.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
82,p_contigs_segmented.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
83,score.x,Transrate: score,"transrate score, geometric mean of all contig scores multiplied by the proportion of input reads that provide positive support for the assembly ",http://hibberdlab.com/transrate/metrics.html
84,optimal_score.x,Transrate: score,maximised assembly score,http://hibberdlab.com/transrate/metrics.html
85,cutoff.x,Transrate: score,contig score cutoff that maximises the assembly score,http://hibberdlab.com/transrate/metrics.html
86,assembly.y,Transrate: score,"NCGR assembly, ""cds"" version",http://hibberdlab.com/transrate/metrics.html
87,n_seqs.y,Transrate: score,number of contigs,http://hibberdlab.com/transrate/metrics.html
88,smallest.y,Transrate: score,smallest contig,http://hibberdlab.com/transrate/metrics.html
89,largest.y,Transrate: score,largest contig,http://hibberdlab.com/transrate/metrics.html
90,n_bases.y,Transrate: score,number of bases in the assembly,http://hibberdlab.com/transrate/metrics.html
91,mean_len.y,Transrate: score,mean length of contigs,http://hibberdlab.com/transrate/metrics.html
92,n_under_200.y,Transrate: score,number of contigs under length 200 bases,http://hibberdlab.com/transrate/metrics.html
93,n_over_1k.y,Transrate: score,"number of contigs  over length 1,000 bases",http://hibberdlab.com/transrate/metrics.html
94,n_over_10k.y,Transrate: score,"number of contigs over length 10,000 bases",http://hibberdlab.com/transrate/metrics.html
95,n_with_orf.y,Transrate: score,number of contigs with an open reading frame,http://hibberdlab.com/transrate/metrics.html
96,mean_orf_percent.y,Transrate: score,mean open reading frame percentage in the assembly,http://hibberdlab.com/transrate/metrics.html
97,n90.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
98,n70.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
99,n50.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
100,n30.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
101,n10.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
102,gc.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
103,gc_skew.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
104,at_skew.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
105,cpg_ratio.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
106,bases_n.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
107,proportion_n.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
108,linguistic_complexity.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
109,fragments.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
110,fragments_mapped.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
111,p_fragments_mapped.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
112,good_mappings.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
113,p_good_mapping.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
114,bad_mappings.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
115,potential_bridges.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
116,bases_uncovered.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
117,p_bases_uncovered.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
118,contigs_uncovbase.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
119,p_contigs_uncovbase.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
120,contigs_uncovered.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
121,p_contigs_uncovered.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
122,contigs_lowcovered.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
123,p_contigs_lowcovered.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
124,contigs_segmented.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
125,p_contigs_segmented.y,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
126,score.y,Transrate: score,"transrate score, geometric mean of all contig scores multiplied by the proportion of input reads that provide positive support for the assembly ",http://hibberdlab.com/transrate/metrics.html
127,optimal_score.y,Transrate: score,maximised assembly score,http://hibberdlab.com/transrate/metrics.html
128,cutoff.y,Transrate: score,contig score cutoff that maximises the assembly score,http://hibberdlab.com/transrate/metrics.html
129,assembly.x,Transrate: score,"NCGR assembly, ""nt"" version",http://hibberdlab.com/transrate/metrics.html
130,n_seqs.x,Transrate: score,number of contigs,http://hibberdlab.com/transrate/metrics.html
131,smallest.x,Transrate: score,smallest contig,http://hibberdlab.com/transrate/metrics.html
132,largest.x,Transrate: score,largest contig,http://hibberdlab.com/transrate/metrics.html
133,n_bases.x,Transrate: score,number of bases in the assembly,http://hibberdlab.com/transrate/metrics.html
134,mean_len.x,Transrate: score,mean length of contigs,http://hibberdlab.com/transrate/metrics.html
135,n_under_200.x,Transrate: score,number of contigs under length 200 bases,http://hibberdlab.com/transrate/metrics.html
136,n_over_1k.x,Transrate: score,"number of contigs  over length 1,000 bases",http://hibberdlab.com/transrate/metrics.html
137,n_over_10k.x,Transrate: score,"number of contigs over length 10,000 bases",http://hibberdlab.com/transrate/metrics.html
138,n_with_orf.x,Transrate: score,number of contigs with an open reading frame,http://hibberdlab.com/transrate/metrics.html
139,mean_orf_percent.x,Transrate: score,mean open reading frame percentage in the assembly,http://hibberdlab.com/transrate/metrics.html
140,n90.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
141,n70.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
142,n50.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
143,n30.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
144,n10.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
145,gc.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
146,gc_skew.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
147,at_skew.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
148,cpg_ratio.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
149,bases_n.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
150,proportion_n.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
151,linguistic_complexity.x,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
152,fragments,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
153,fragments_mapped,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
154,p_fragments_mapped,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
155,good_mappings,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
156,p_good_mapping,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
157,bad_mappings,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
158,potential_bridges,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
159,bases_uncovered,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
160,p_bases_uncovered,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
161,contigs_uncovbase,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
162,p_contigs_uncovbase,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
163,contigs_uncovered,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
164,p_contigs_uncovered,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
165,contigs_lowcovered,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
166,p_contigs_lowcovered,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
167,contigs_segmented,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
168,p_contigs_segmented,Transrate: score,,http://hibberdlab.com/transrate/metrics.html
169,score.x,Transrate: score,"transrate score, geometric mean of all contig scores multiplied by the proportion of input reads that provide positive support for the assembly ",http://hibberdlab.com/transrate/metrics.html
170,optimal_score.x,Transrate: score,maximised assembly score,http://hibberdlab.com/transrate/metrics.html
171,cutoff.x,Transrate: score,contig score cutoff that maximises the assembly score,http://hibberdlab.com/transrate/metrics.html
172,assembly.y,Transrate: reference,"DIB assembly path, zenodo version (used to compare with NCGR ""nt"" version assemblies)",http://hibberdlab.com/transrate/metrics.html
173,n_seqs.y,Transrate: reference,number of contigs,http://hibberdlab.com/transrate/metrics.html
174,smallest.y,Transrate: reference,smallest contig,http://hibberdlab.com/transrate/metrics.html
175,largest.y,Transrate: reference,largest contig,http://hibberdlab.com/transrate/metrics.html
176,n_bases.y,Transrate: reference,number of bases in the assembly,http://hibberdlab.com/transrate/metrics.html
177,mean_len.y,Transrate: reference,mean length of contigs,http://hibberdlab.com/transrate/metrics.html
178,n_under_200.y,Transrate: reference,number of contigs under length 200 bases,http://hibberdlab.com/transrate/metrics.html
179,n_over_1k.y,Transrate: reference,"number of contigs  over length 1,000 bases",http://hibberdlab.com/transrate/metrics.html
180,n_over_10k.y,Transrate: reference,"number of contigs over length 10,000 bases",http://hibberdlab.com/transrate/metrics.html
181,n_with_orf.y,Transrate: reference,number of contigs with an open reading frame,http://hibberdlab.com/transrate/metrics.html
182,mean_orf_percent.y,Transrate: reference,mean open reading frame percentage in the assembly,http://hibberdlab.com/transrate/metrics.html
183,n90.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
184,n70.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
185,n50.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
186,n30.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
187,n10.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
188,gc.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
189,gc_skew.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
190,at_skew.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
191,cpg_ratio.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
192,bases_n.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
193,proportion_n.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
194,linguistic_complexity.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
195,CRBB_hits.x,Transrate: reference,"number of Conditional Reciprocal Best BLAST hits compared with NCGR ""nt"" assembly reference",http://hibberdlab.com/transrate/metrics.html
196,n_contigs_with_CRBB.x,Transrate: reference,number of contigs with CRBB,http://hibberdlab.com/transrate/metrics.html
197,p_contigs_with_CRBB.x,Transrate: reference,percentage of contigs with CRBB,http://hibberdlab.com/transrate/metrics.html
198,rbh_per_reference.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
199,n_refs_with_CRBB.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
200,p_refs_with_CRBB.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
201,cov25.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
202,p_cov25.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
203,cov50.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
204,p_cov50.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
205,cov75.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
206,p_cov75.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
207,cov85.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
208,p_cov85.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
209,cov95.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
210,p_cov95.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
211,reference_coverage.x,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
212,score.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
213,optimal_score.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
214,cutoff.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
215,Run.y,Transrate: reference,,
216,assembly,Transrate: reference,"NCGR ""nt"" assembly (used to compare with DIB assembly)",http://hibberdlab.com/transrate/metrics.html
217,n_seqs,Transrate: reference,number of contigs,http://hibberdlab.com/transrate/metrics.html
218,smallest,Transrate: reference,smallest contig,http://hibberdlab.com/transrate/metrics.html
219,largest,Transrate: reference,largest contig,http://hibberdlab.com/transrate/metrics.html
220,n_bases,Transrate: reference,number of bases in the assembly,http://hibberdlab.com/transrate/metrics.html
221,mean_len,Transrate: reference,mean length of contigs,http://hibberdlab.com/transrate/metrics.html
222,n_under_200,Transrate: reference,number of contigs under length 200 bases,http://hibberdlab.com/transrate/metrics.html
223,n_over_1k,Transrate: reference,"number of contigs  over length 1,000 bases",http://hibberdlab.com/transrate/metrics.html
224,n_over_10k,Transrate: reference,"number of contigs over length 10,000 bases",http://hibberdlab.com/transrate/metrics.html
225,n_with_orf,Transrate: reference,number of contigs with an open reading frame,http://hibberdlab.com/transrate/metrics.html
226,mean_orf_percent,Transrate: reference,mean open reading frame percentage in the assembly,http://hibberdlab.com/transrate/metrics.html
227,n90,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
228,n70,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
229,n50,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
230,n30,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
231,n10,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
232,gc,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
233,gc_skew,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
234,at_skew,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
235,cpg_ratio,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
236,bases_n,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
237,proportion_n,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
238,linguistic_complexity,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
239,CRBB_hits.y,Transrate: reference,number of Conditional Reciprocal Best BLAST hits compared with DIB assembly reference,http://hibberdlab.com/transrate/metrics.html
240,n_contigs_with_CRBB.y,Transrate: reference,number of contigs with CRBB,http://hibberdlab.com/transrate/metrics.html
241,p_contigs_with_CRBB.y,Transrate: reference,percentage of contigs with CRBB,http://hibberdlab.com/transrate/metrics.html
242,rbh_per_reference.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
243,n_refs_with_CRBB.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
244,p_refs_with_CRBB.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
245,cov25.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
246,p_cov25.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
247,cov50.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
248,p_cov50.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
249,cov75.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
250,p_cov75.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
251,cov85.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
252,p_cov85.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
253,cov95.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
254,p_cov95.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
255,reference_coverage.y,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
256,score,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
257,optimal_score,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
258,cutoff,Transrate: reference,,http://hibberdlab.com/transrate/metrics.html
259,Run,MMETSP ID,,
260,Complete_eukaryotic.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
261,Fragmented_eukaryotic.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
262,Missing_eukaryotic.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
263,Total_eukaryotic.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
264,Complete_eukaryotic_BUSCO_prop.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
265,Complete_eukaryotic_BUSCO_perc.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
266,Complete_protist.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
267,Fragmented_protist.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
268,Missing_protist.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
269,Total_protist.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
270,Complete_protist_BUSCO_prop.x,BUSCO,DIB assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
271,Complete_eukaryotic.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
272,Fragmented_eukaryotic.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
273,Missing_eukaryotic.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
274,Total_eukaryotic.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
275,Complete_eukaryotic_BUSCO_prop.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
276,Complete_eukaryotic_BUSCO_perc.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
277,Complete_protist.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
278,Fragmented_protist.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
279,Missing_protist.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
280,Total_protist.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
281,Complete_protist_BUSCO_prop.y,BUSCO,NCGR assembly,https://gitlab.com/ezlab/busco/blob/2.0.1/BUSCO_v2.0_userguide.pdf
282,dib_assembly_unique_kmers,khmer/HLL,output from estimate_cardinality(),http://khmer.readthedocs.io/en/latest/
283,ncgr_assembly_unique_kmers,khmer/HLL,output from estimate_cardinality(),http://khmer.readthedocs.io/en/latest/
284,num_reads_kept_diginorm,khmer,"parsed from normalize-by-median.py output: ""kept"",""total"",""perc_kept"",""num_kmers"",""fp_rate"" ",http://khmer.readthedocs.io/en/latest/
285,total_reads_before_diginorm,khmer,"parsed from normalize-by-median.py output: ""kept"",""total"",""perc_kept"",""num_kmers"",""fp_rate"" ",http://khmer.readthedocs.io/en/latest/
286,perc_kept_diginorm,khmer,"parsed from normalize-by-median.py output: ""kept"",""total"",""perc_kept"",""num_kmers"",""fp_rate"" ",http://khmer.readthedocs.io/en/latest/
287,num_kmers_reads_diginorm,khmer,"parsed from normalize-by-median.py output: ""kept"",""total"",""perc_kept"",""num_kmers"",""fp_rate"" ",http://khmer.readthedocs.io/en/latest/
288,fp_rate_diginorm,khmer,"parsed from normalize-by-median.py output: ""kept"",""total"",""perc_kept"",""num_kmers"",""fp_rate"" ",http://khmer.readthedocs.io/en/latest/
