,Run,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
Thalassiosira_rotula_SRR1296989,SRR1296989,83,99,247,429,0.193473193
Bigelowiella_natans_SRR1296871,SRR1296871,100,47,282,429,0.233100233
Amphiprora_SRR1296828,SRR1296828,220,48,161,429,0.512820513
Tryblionella_compressa_SRR1296831,SRR1296831,188,73,168,429,0.438228438
Cyanoptyche_gloeocystis_SRR1300321,SRR1300321,156,78,195,429,0.363636364
Strombidium_rassoulzadegani_SRR1296873,SRR1296873,215,50,164,429,0.501165501
Pseudo-nitzschia_australis_SRR1296850,SRR1296850,275,37,117,429,0.641025641
Dolichomastix_tenuilepis_SRR1296860,SRR1296860,259,67,103,429,0.603729604
Karenia_brevis_SRR1296853,SRR1296853,219,64,146,429,0.51048951
Skeletonema_dohrnii_SRR1296855,SRR1296855,253,44,132,429,0.58974359
Emiliania_huxleyi_SRR1300236,SRR1300236,105,82,242,429,0.244755245
Prymnesium_parvum_SRR1300223,SRR1300223,186,63,180,429,0.433566434
Alexandrium_tamarense_SRR1300221,SRR1300221,57,66,306,429,0.132867133
Alexandrium_minutum_SRR1300213,SRR1300213,87,46,296,429,0.202797203
Eutreptiella_gymnastica_SRR1296866,SRR1296866,182,80,167,429,0.424242424
Dinobryon_SRR1296864,SRR1296864,271,45,113,429,0.631701632
Thalassiosira_oceanica_SRR1300227,SRR1300227,235,58,136,429,0.547785548
Thoracosphaera_heimii_SRR1300228,SRR1300228,0,0,429,429,0
Ochromonas_SRR1296863,SRR1296863,219,83,127,429,0.51048951
Thalassiosira_gravida_SRR1296987,SRR1296987,165,73,191,429,0.384615385
Thalassiosira_gravida_SRR1296992,SRR1296992,107,71,251,429,0.249417249
Skeletonema_grethae_SRR1296994,SRR1296994,161,58,210,429,0.375291375
Cafeteria_roenbergensis_SRR1300216,SRR1300216,173,61,195,429,0.403263403
Amorphochlora_amoebiformis_SRR1296869,SRR1296869,313,23,93,429,0.72960373
Chromera_velia_SRR1296980,SRR1296980,204,78,147,429,0.475524476
Emiliania_huxleyi_SRR1300231,SRR1300231,144,104,181,429,0.335664336
Prasinoderma_coloniale_SRR1296862,SRR1296862,248,54,127,429,0.578088578
Chaetoceros_neogracile_SRR1296836,SRR1296836,291,29,109,429,0.678321678
Kryptoperidinium_foliaceum_SRR1296842,SRR1296842,98,83,248,429,0.228438228
Pseudo-nitzschia_australis_SRR1296848,SRR1296848,266,46,117,429,0.62004662
Chaetoceros_curvisetus_SRR1296993,SRR1296993,71,61,297,429,0.165501166
Minchinia_chitonis_SRR1300215,SRR1300215,5,7,417,429,0.011655012
Emiliania_huxleyi_SRR1300235,SRR1300235,157,102,170,429,0.365967366
Thalassiosira_rotula_SRR1296988,SRR1296988,181,83,165,429,0.421911422
Acanthoeca_SRR1296844,SRR1296844,276,70,83,429,0.643356643
Thalassiosira_oceanica_SRR1300226,SRR1300226,262,46,121,429,0.610722611
Uronema_SRR1296976,SRR1296976,123,73,233,429,0.286713287
uncultured_eukaryote_SRR1296837,SRR1296837,199,60,170,429,0.463869464
Tryblionella_compressa_SRR1296830,SRR1296830,187,82,160,429,0.435897436
Heterosigma_akashiwo_SRR1296856,SRR1296856,120,93,216,429,0.27972028
uncultured_eukaryote_SRR1296843,SRR1296843,123,65,241,429,0.286713287
Durinskia_baltica_SRR1296839,SRR1296839,224,73,132,429,0.522144522
Tryblionella_compressa_SRR1296829,SRR1296829,219,68,142,429,0.51048951
Thraustochytrium_sp._SRR1296846,SRR1296846,292,39,98,429,0.680652681
Stephanopyxis_turris_SRR1296867,SRR1296867,188,95,146,429,0.438228438
Chroomonas_cf._mesostigmatica_SRR1296872,SRR1296872,254,83,92,429,0.592074592
Karenia_brevis_SRR1296852,SRR1296852,222,52,155,429,0.517482517
Crustomastix_stigmatica_SRR1296861,SRR1296861,214,98,117,429,0.498834499
Tryblionella_compressa_SRR1296832,SRR1296832,185,73,171,429,0.431235431
Oxyrrhis_marina_SRR1296901,SRR1296901,272,43,114,429,0.634032634
Fragilariopsis_kerguelensis_SRR1296910,SRR1296910,272,42,115,429,0.634032634
Trichosphaerium_SRR1296772,SRR1296772,200,72,157,429,0.466200466
Pseudo-nitzschia_fraudulenta_SRR1296747,SRR1296747,180,76,173,429,0.41958042
Condylostoma_magnum_SRR1296902,SRR1296902,248,35,146,429,0.578088578
Thalassiothrix_antarctica_SRR1296921,SRR1296921,279,31,119,429,0.65034965
Pessonella_SRR1296774,SRR1296774,223,68,138,429,0.51981352
Crypthecodinium_cohnii_SRR1296890,SRR1296890,242,30,157,429,0.564102564
Heterosigma_akashiwo_SRR1296913,SRR1296913,157,118,154,429,0.365967366
Eutreptiella_gymnastica_SRR1296768,SRR1296768,157,71,201,429,0.365967366
Amphora_coffeiformis_SRR1296888,SRR1296888,123,53,253,429,0.286713287
Chaetoceros_sp._SRR1296891,SRR1296891,297,23,109,429,0.692307692
Thalassionema_nitzschioides_SRR1296922,SRR1296922,292,30,107,429,0.680652681
Prymnesium_polylepis_SRR1296739,SRR1296739,81,68,280,429,0.188811189
Oxyrrhis_marina_SRR1296907,SRR1296907,221,38,170,429,0.515151515
Prymnesium_parvum_SRR1296917,SRR1296917,200,72,157,429,0.466200466
Heterosigma_akashiwo_SRR1296916,SRR1296916,176,112,141,429,0.41025641
Thalassiosira_weissflogii_SRR1296879,SRR1296879,241,59,129,429,0.561771562
Tetraselmis_striata_SRR1296733,SRR1296733,256,83,90,429,0.596736597
Isochrysis_galbana_SRR1296904,SRR1296904,254,48,127,429,0.592074592
Togula_jolla_SRR1296741,SRR1296741,247,49,133,429,0.575757576
Thalassiosira_weissflogii_SRR1296880,SRR1296880,256,51,122,429,0.596736597
Corethron_pennatum_SRR1296925,SRR1296925,209,80,140,429,0.487179487
Prorocentrum_minimum_SRR1296753,SRR1296753,124,80,225,429,0.289044289
Percolomonas_cosmopolitus_SRR1296742,SRR1296742,308,12,109,429,0.717948718
Amphidinium_massartii_SRR1296892,SRR1296892,256,34,139,429,0.596736597
Vannella_sp._CB-2014_SRR1296762,SRR1296762,273,43,113,429,0.636363636
Pyramimonas_parkeae_SRR1296737,SRR1296737,262,72,95,429,0.610722611
Karenia_brevis_SRR1296749,SRR1296749,224,68,137,429,0.522144522
Stygamoeba_regulata_SRR1296894,SRR1296894,322,48,59,429,0.750582751
Vannella_SRR1296763,SRR1296763,309,33,87,429,0.72027972
Prorocentrum_minimum_SRR1296754,SRR1296754,226,54,149,429,0.526806527
Proboscia_alata_SRR1296927,SRR1296927,240,65,124,429,0.559440559
Thalassiothrix_antarctica_SRR1296920,SRR1296920,246,47,136,429,0.573426573
Alexandrium_tamarense_SRR1296765,SRR1296765,256,47,126,429,0.596736597
Karenia_brevis_SRR1296743,SRR1296743,231,57,141,429,0.538461538
Schmidingerella_taraikaensis_SRR1296899,SRR1296899,200,61,168,429,0.466200466
Oxyrrhis_marina_SRR1296903,SRR1296903,224,38,167,429,0.522144522
Chlorarachnion_reptans_SRR1296735,SRR1296735,318,30,81,429,0.741258741
Chaetoceros_debilis_SRR1296919,SRR1296919,287,26,116,429,0.668997669
Platyophrya_macrostoma_SRR1296905,SRR1296905,270,49,110,429,0.629370629
Alexandrium_monilatum_SRR1296898,SRR1296898,242,52,135,429,0.564102564
Alexandrium_tamarense_SRR1296766,SRR1296766,252,88,89,429,0.587412587
Scrippsiella_trochoidea_SRR1296759,SRR1296759,242,42,145,429,0.564102564
Heterosigma_akashiwo_SRR1296915,SRR1296915,147,118,164,429,0.342657343
Protoceratium_reticulatum_SRR1296738,SRR1296738,210,77,142,429,0.48951049
Amphidinium_carterae_SRR1296758,SRR1296758,259,37,133,429,0.603729604
Alexandrium_monilatum_SRR1296895,SRR1296895,223,67,139,429,0.51981352
Amphidinium_carterae_SRR1296757,SRR1296757,243,45,141,429,0.566433566
Tetraselmis_striata_SRR1296730,SRR1296730,271,64,94,429,0.631701632
Chrysochromulina_rotalis_SRR1296740,SRR1296740,202,75,152,429,0.470862471
Karenia_brevis_SRR1296750,SRR1296750,219,64,146,429,0.51048951
Fragilariopsis_kerguelensis_SRR1296909,SRR1296909,274,38,117,429,0.638694639
Paraphysomonas_imperforata_SRR1296728,SRR1296728,232,59,138,429,0.540792541
Corethron_pennatum_SRR1296924,SRR1296924,15,51,363,429,0.034965035
Coccolithus_braarudii_SRR1296883,SRR1296883,222,81,126,429,0.517482517
Crypthecodinium_cohnii_SRR1296889,SRR1296889,244,36,149,429,0.568764569
Alexandrium_monilatum_SRR1296896,SRR1296896,242,55,132,429,0.564102564
Thalassiosira_rotula_SRR1296877,SRR1296877,259,45,125,429,0.603729604
Fragilariopsis_kerguelensis_SRR1296912,SRR1296912,268,38,123,429,0.624708625
Karenia_brevis_SRR1296748,SRR1296748,216,70,143,429,0.503496503
Vexillifera_SRR1296886,SRR1296886,245,82,102,429,0.571095571
Ochromonas_SRR1296767,SRR1296767,221,75,133,429,0.515151515
Pseudo-nitzschia_fraudulenta_SRR1296745,SRR1296745,180,73,176,429,0.41958042
Filamoeba_nolandi_SRR1296773,SRR1296773,310,37,82,429,0.722610723
Proboscia_alata_SRR1296926,SRR1296926,269,44,116,429,0.627039627
Odontella_sinensis_SRR1296882,SRR1296882,176,99,154,429,0.41025641
Oxyrrhis_marina_SRR1296900,SRR1296900,206,58,165,429,0.48018648
Fragilariopsis_kerguelensis_SRR1296911,SRR1296911,269,38,122,429,0.627039627
Chaetoceros_debilis_SRR1296918,SRR1296918,273,32,124,429,0.636363636
Pseudo-nitzschia_fraudulenta_SRR1296746,SRR1296746,242,65,122,429,0.564102564
Pseudokeronopsis_SRR1296908,SRR1296908,207,62,160,429,0.482517483
Tiarina_fusa_SRR1296771,SRR1296771,276,79,74,429,0.643356643
Prymnesium_parvum_SRR1296769,SRR1296769,105,54,270,429,0.244755245
Percolomonas_cosmopolitus_SRR1296756,SRR1296756,257,35,137,429,0.599067599
Heterosigma_akashiwo_SRR1296914,SRR1296914,195,110,124,429,0.454545455
Mesodinium_pulex_SRR1296764,SRR1296764,232,67,130,429,0.540792541
Thalassionema_nitzschioides_SRR1296923,SRR1296923,301,22,106,429,0.701631702
Tetraselmis_striata_SRR1296731,SRR1296731,262,75,92,429,0.610722611
Heterosigma_akashiwo_SRR1296775,SRR1296775,99,102,228,429,0.230769231
Karenia_brevis_SRR1296744,SRR1296744,195,75,159,429,0.454545455
Paraphysomonas_imperforata_SRR1296729,SRR1296729,224,59,146,429,0.522144522
Paramoeba_aestuarina_SRR1296885,SRR1296885,251,81,97,429,0.585081585
Fragilariopsis_kerguelensis_SRR1296820,SRR1296820,186,87,156,429,0.433566434
Sexangularia_sp._CB-2014_SRR1296782,SRR1296782,221,47,161,429,0.515151515
Chrysoreinhardia_SRR1294438,SRR1294438,189,92,148,429,0.440559441
Peridinium_aciculiferum_SRR1294439,SRR1294439,229,56,144,429,0.533799534
Anophryoides_haemophila_SRR1294435,SRR1294435,24,25,380,429,0.055944056
Skeletonema_costatum_SRR1294403,SRR1294403,302,20,107,429,0.703962704
Heterosigma_akashiwo_SRR1296799,SRR1296799,157,127,145,429,0.365967366
Aplanochytrium_stocchinoi_SRR1294443,SRR1294443,72,63,294,429,0.167832168
Rhodella_maculata_SRR1296822,SRR1296822,154,116,159,429,0.358974359
Pelagomonas_calceolata_SRR1296778,SRR1296778,187,73,169,429,0.435897436
Extubocellulus_spinifer_SRR1296805,SRR1296805,302,20,107,429,0.703962704
Aplanochytrium_SRR1294425,SRR1294425,197,72,160,429,0.459207459
Prorocentrum_minimum_SRR1296787,SRR1296787,217,67,145,429,0.505827506
Ditylum_brightwellii_SRR1294414,SRR1294414,84,104,241,429,0.195804196
Corethron_hystrix_SRR1294401,SRR1294401,231,76,122,429,0.538461538
Nephroselmis_pyriformis_SRR1294419,SRR1294419,249,102,78,429,0.58041958
Aureoumbra_lagunensis_SRR1296816,SRR1296816,257,40,132,429,0.599067599
Cryptomonas_paramecium_SRR1294407,SRR1294407,217,106,106,429,0.505827506
Skeletonema_dohrnii_SRR1296795,SRR1296795,225,62,142,429,0.524475524
Prymnesium_polylepis_SRR1296792,SRR1296792,175,102,152,429,0.407925408
Ditylum_brightwellii_SRR1294417,SRR1294417,32,28,369,429,0.074592075
Florenciella_SRR1294431,SRR1294431,23,31,375,429,0.053613054
Nitzschia_SRR1294404,SRR1294404,284,34,111,429,0.662004662
Prymnesium_parvum_SRR1294412,SRR1294412,220,59,150,429,0.512820513
Chaetoceros_affinis_SRR1294445,SRR1294445,112,104,213,429,0.261072261
Guillardia_theta_SRR1294409,SRR1294409,304,46,79,429,0.708624709
Proboscia_inermis_SRR1296824,SRR1296824,166,98,165,429,0.386946387
Pelagomonas_calceolata_SRR1296781,SRR1296781,189,54,186,429,0.440559441
Florenciella_SRR1294432,SRR1294432,27,32,370,429,0.062937063
Florenciella_SRR1294428,SRR1294428,72,61,296,429,0.167832168
Skeletonema_menzellii_SRR1296801,SRR1296801,262,42,125,429,0.610722611
Asterionellopsis_glacialis_SRR1296809,SRR1296809,94,103,232,429,0.219114219
Anophryoides_haemophila_SRR1294434,SRR1294434,22,28,379,429,0.051282051
Heterosigma_akashiwo_SRR1296798,SRR1296798,107,117,205,429,0.249417249
Heterosigma_akashiwo_SRR1296777,SRR1296777,119,118,192,429,0.277389277
Aristerostoma_SRR1296811,SRR1296811,165,59,205,429,0.384615385
Thalassiosira_antarctica_SRR1296821,SRR1296821,229,68,132,429,0.533799534
Extubocellulus_spinifer_SRR1296804,SRR1296804,303,20,106,429,0.706293706
Scrippsiella_hangoei_SRR1296793,SRR1296793,254,40,135,429,0.592074592
Strombidinopsis_acuminata_SRR1296813,SRR1296813,281,52,96,429,0.655011655
Fragilariopsis_kerguelensis_SRR1296819,SRR1296819,263,35,131,429,0.613053613
Heterocapsa_rotundata_SRR1296810,SRR1296810,203,73,153,429,0.473193473
Phaeomonas_parva_SRR1294421,SRR1294421,216,78,135,429,0.503496503
Prorocentrum_minimum_SRR1296788,SRR1296788,208,71,150,429,0.484848485
Aureoumbra_lagunensis_SRR1296817,SRR1296817,176,84,169,429,0.41025641
Extubocellulus_spinifer_SRR1296807,SRR1296807,228,67,134,429,0.531468531
Prorocentrum_minimum_SRR1296785,SRR1296785,199,64,166,429,0.463869464
Scrippsiella_hangoei_SRR1296794,SRR1296794,252,48,129,429,0.587412587
Peridinium_aciculiferum_SRR1294440,SRR1294440,223,59,147,429,0.51981352
Euplotes_focardii_SRR1296783,SRR1296783,135,65,229,429,0.314685315
Odontella_aurita_SRR1294405,SRR1294405,262,55,112,429,0.610722611
Ditylum_brightwellii_SRR1294416,SRR1294416,31,28,370,429,0.072261072
uncultured_eukaryote_SRR1294423,SRR1294423,242,61,126,429,0.564102564
Helicotheca_tamesis_SRR1294422,SRR1294422,107,52,270,429,0.249417249
Perkinsus_marinus_SRR1294398,SRR1294398,46,104,279,429,0.107226107
Dunaliella_tertiolecta_SRR1294427,SRR1294427,274,61,94,429,0.638694639
Amphiprora_SRR1296825,SRR1296825,268,34,127,429,0.624708625
Prymnesium_polylepis_SRR1296790,SRR1296790,136,109,184,429,0.317016317
Aplanochytrium_stocchinoi_SRR1294444,SRR1294444,79,50,300,429,0.184149184
Cylindrotheca_closterium_SRR1294406,SRR1294406,308,19,102,429,0.717948718
Asterionellopsis_glacialis_SRR1296808,SRR1296808,107,105,217,429,0.249417249
Amphiprora_SRR1296826,SRR1296826,221,65,143,429,0.515151515
Aplanochytrium_stocchinoi_SRR1294441,SRR1294441,206,98,125,429,0.48018648
Heterosigma_akashiwo_SRR1296776,SRR1296776,112,118,199,429,0.261072261
Acanthoeca_SRR1294413,SRR1294413,279,64,86,429,0.65034965
Favella_ehrenbergii_SRR1296812,SRR1296812,233,47,149,429,0.543123543
Anophryoides_haemophila_SRR1294436,SRR1294436,25,20,384,429,0.058275058
Lotharella_sp._CCMP622_SRR1296814,SRR1296814,189,78,162,429,0.440559441
Aplanochytrium_stocchinoi_SRR1294442,SRR1294442,73,56,300,429,0.17016317
Eutreptiella_gymnastica_SRR1294408,SRR1294408,244,69,116,429,0.568764569
Pelagomonas_calceolata_SRR1296779,SRR1296779,230,49,150,429,0.536130536
Anophryoides_haemophila_SRR1294433,SRR1294433,87,71,271,429,0.202797203
Aureoumbra_lagunensis_SRR1296818,SRR1296818,174,95,160,429,0.405594406
Extubocellulus_spinifer_SRR1296806,SRR1296806,300,21,108,429,0.699300699
Prorocentrum_minimum_SRR1296784,SRR1296784,218,61,150,429,0.508158508
Ditylum_brightwellii_SRR1294418,SRR1294418,31,37,361,429,0.072261072
Ditylum_brightwellii_SRR1294415,SRR1294415,30,40,359,429,0.06993007
Protocruzia_adherens_SRR1296823,SRR1296823,274,40,115,429,0.638694639
Perkinsus_marinus_SRR1294399,SRR1294399,40,81,308,429,0.093240093
Eutreptiella_gymnastica_SRR1296802,SRR1296802,139,74,216,429,0.324009324
Aureoumbra_lagunensis_SRR1296815,SRR1296815,212,76,141,429,0.494172494
Florenciella_parvula_SRR1294437,SRR1294437,185,107,137,429,0.431235431
Scrippsiella_hangoei_SRR1296796,SRR1296796,254,39,136,429,0.592074592
Pelagococcus_subviridis_SRR1296803,SRR1296803,182,95,152,429,0.424242424
Prymnesium_polylepis_SRR1296791,SRR1296791,160,91,178,429,0.372960373
Heterosigma_akashiwo_SRR1296797,SRR1296797,109,115,205,429,0.254079254
Thalassiosira_oceanica_SRR1294424,SRR1294424,239,56,134,429,0.557109557
Rhodosorus_marinus_SRR1294402,SRR1294402,319,31,79,429,0.743589744
Florenciella_SRR1294430,SRR1294430,25,28,376,429,0.058275058
Palpitomonas_bilix_SRR1294410,SRR1294410,275,51,103,429,0.641025641
Picocystis_salinarum_SRR1294420,SRR1294420,329,15,85,429,0.766899767
Prymnesium_parvum_SRR1294411,SRR1294411,278,45,106,429,0.648018648
Prymnesium_polylepis_SRR1296789,SRR1296789,196,103,130,429,0.456876457
Amphiprora_SRR1296827,SRR1296827,158,49,222,429,0.368298368
Pelagomonas_calceolata_SRR1296780,SRR1296780,236,52,141,429,0.55011655
Aplanochytrium_SRR1294426,SRR1294426,171,75,183,429,0.398601399
Florenciella_SRR1294429,SRR1294429,24,29,376,429,0.055944056
Skeletonema_menzellii_SRR1296800,SRR1296800,219,35,175,429,0.51048951
Prymnesium_parvum_SRR1296710,SRR1296710,243,64,122,429,0.566433566
Tetraselmis_astigmatica_SRR1296698,SRR1296698,292,50,87,429,0.680652681
Pteridomonas_danica_SRR1296725,SRR1296725,129,55,245,429,0.300699301
Bolidomonas_pacifica_SRR1296709,SRR1296709,226,65,138,429,0.526806527
Pseudo-nitzschia_delicatissima_SRR1296721,SRR1296721,295,22,112,429,0.687645688
Amphora_coffeiformis_SRR1296715,SRR1296715,99,37,293,429,0.230769231
Pteridomonas_danica_SRR1296726,SRR1296726,234,65,130,429,0.545454545
Chaetoceros_curvisetus_SRR1294457,SRR1294457,55,101,273,429,0.128205128
Striatella_unipunctata_SRR1296706,SRR1296706,150,94,185,429,0.34965035
Skeletonema_marinoi_SRR1296717,SRR1296717,239,52,138,429,0.557109557
Chaetoceros_affinis_SRR1294450,SRR1294450,38,47,344,429,0.088578089
Alexandrium_fundyense_SRR1294390,SRR1294390,47,29,353,429,0.10955711
Bicosoecida_sp._CB-2014_SRR1294382,SRR1294382,121,81,227,429,0.282051282
Pseudo-nitzschia_arenysensis_SRR1296720,SRR1296720,256,42,131,429,0.596736597
Perkinsus_marinus_SRR1294396,SRR1294396,56,94,279,429,0.130536131
Micromonas_SRR1296697,SRR1296697,281,42,106,429,0.655011655
Myrionecta_rubra_SRR1296700,SRR1296700,198,53,178,429,0.461538462
Chlamydomonas_leiostraca_SRR1294458,SRR1294458,226,85,118,429,0.526806527
Alexandrium_fundyense_SRR1294389,SRR1294389,9,6,414,429,0.020979021
Chaetoceros_affinis_SRR1294449,SRR1294449,112,96,221,429,0.261072261
Chaetoceros_curvisetus_SRR1294456,SRR1294456,46,110,273,429,0.107226107
Thalassionema_frauenfeldii_SRR1296708,SRR1296708,285,37,107,429,0.664335664
Astrosyne_radiata_SRR1296718,SRR1296718,142,97,190,429,0.331002331
Alexandrium_fundyense_SRR1294385,SRR1294385,7,11,411,429,0.016317016
Chaetoceros_affinis_SRR1294451,SRR1294451,47,42,340,429,0.10955711
Cyclophora_tenuis_SRR1296719,SRR1296719,129,94,206,429,0.300699301
Akashiwo_sanguinea_SRR1294463,SRR1294463,0,0,429,429,0
Chaetoceros_curvisetus_SRR1294454,SRR1294454,172,107,150,429,0.400932401
Thalassiosira_weissflogii_SRR1294466,SRR1294466,258,45,126,429,0.601398601
Leptocylindrus_danicus_SRR1296723,SRR1296723,263,53,113,429,0.613053613
Skeletonema_marinoi_SRR1296716,SRR1296716,292,23,114,429,0.680652681
