,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP0713,159,32,43,234,0.6794871794871795
MMETSP1450,150,35,49,234,0.6410256410256411
MMETSP0469,192,12,30,234,0.8205128205128205
MMETSP0810,131,11,92,234,0.5598290598290598
MMETSP1040,129,17,88,234,0.5512820512820513
MMETSP1345,182,34,18,234,0.7777777777777778
MMETSP1116,153,15,66,234,0.6538461538461539
MMETSP0092,110,36,88,234,0.4700854700854701
MMETSP0917,143,44,47,234,0.6111111111111112
MMETSP0799,173,25,36,234,0.7393162393162394
MMETSP0909,123,45,66,234,0.5256410256410257
MMETSP1052,177,23,34,234,0.7564102564102564
MMETSP1318,167,18,49,234,0.7136752136752137
MMETSP0321,206,11,17,234,0.8803418803418803
MMETSP0197,0,0,234,234,0.0
MMETSP1413,175,22,37,234,0.7478632478632479
MMETSP0434,155,26,53,234,0.6623931623931624
MMETSP0853,133,32,69,234,0.5683760683760684
MMETSP0954,189,16,29,234,0.8076923076923077
MMETSP1155,179,33,22,234,0.7649572649572649
MMETSP0903,209,15,10,234,0.8931623931623932
MMETSP1170,64,25,145,234,0.27350427350427353
MMETSP0149,199,15,20,234,0.8504273504273504
MMETSP1159,151,24,59,234,0.6452991452991453
MMETSP1387,203,14,17,234,0.8675213675213675
MMETSP1399,186,15,33,234,0.7948717948717948
MMETSP0971,196,19,19,234,0.8376068376068376
MMETSP1428,185,25,24,234,0.7905982905982906
MMETSP0411,94,40,100,234,0.4017094017094017
MMETSP1035,190,23,21,234,0.811965811965812
MMETSP1436,89,36,109,234,0.3803418803418803
MMETSP0745,143,39,52,234,0.6111111111111112
MMETSP0705,0,0,234,234,0.0
MMETSP0206,107,23,104,234,0.45726495726495725
MMETSP1323,90,37,107,234,0.38461538461538464
MMETSP0891,197,15,22,234,0.8418803418803419
MMETSP0399,0,0,234,234,0.0
MMETSP0932,205,14,15,234,0.8760683760683761
MMETSP0114,121,28,85,234,0.5170940170940171
MMETSP1090,149,39,46,234,0.6367521367521367
MMETSP1034,174,28,32,234,0.7435897435897436
MMETSP0013,215,8,11,234,0.9188034188034188
MMETSP0227,183,15,36,234,0.782051282051282
MMETSP1360,131,48,55,234,0.5598290598290598
MMETSP0359,208,10,16,234,0.8888888888888888
MMETSP0347,1,11,222,234,0.004273504273504274
MMETSP0191,147,26,61,234,0.6282051282051282
MMETSP0452,0,0,234,234,0.0
MMETSP1475,196,17,21,234,0.8376068376068376
MMETSP0706,94,32,108,234,0.4017094017094017
MMETSP0988,183,23,28,234,0.782051282051282
MMETSP0996,128,33,73,234,0.5470085470085471
MMETSP0718,60,30,144,234,0.2564102564102564
MMETSP0382,197,20,17,234,0.8418803418803419
MMETSP0463,183,14,37,234,0.782051282051282
MMETSP1152,178,31,25,234,0.7606837606837606
MMETSP0326,78,25,131,234,0.3333333333333333
MMETSP1055,161,35,38,234,0.688034188034188
MMETSP1414,201,24,9,234,0.8589743589743589
MMETSP1039,142,20,72,234,0.6068376068376068
MMETSP0095,183,28,23,234,0.782051282051282
MMETSP0766,155,24,55,234,0.6623931623931624
MMETSP0780,164,22,48,234,0.7008547008547008
MMETSP0910,165,22,47,234,0.7051282051282052
MMETSP0699,176,28,30,234,0.7521367521367521
MMETSP0817,186,25,23,234,0.7948717948717948
MMETSP0724,203,11,20,234,0.8675213675213675
MMETSP0809,117,18,99,234,0.5
MMETSP1449,152,18,64,234,0.6495726495726496
MMETSP0470,173,20,41,234,0.7393162393162394
MMETSP1155,179,33,22,234,0.7649572649572649
MMETSP0960,202,11,21,234,0.8632478632478633
MMETSP1016,179,17,38,234,0.7649572649572649
MMETSP1008,133,30,71,234,0.5683760683760684
MMETSP0031,170,19,45,234,0.7264957264957265
MMETSP0434,155,26,53,234,0.6623931623931624
MMETSP0369,180,23,31,234,0.7692307692307693
MMETSP0213,145,16,73,234,0.6196581196581197
MMETSP1445,183,23,28,234,0.782051282051282
MMETSP0736,203,14,17,234,0.8675213675213675
MMETSP0984,199,22,13,234,0.8504273504273504
MMETSP0902,198,18,18,234,0.8461538461538461
MMETSP0087,207,7,20,234,0.8846153846153846
MMETSP1103,214,10,10,234,0.9145299145299145
MMETSP0099,133,27,74,234,0.5683760683760684
MMETSP0270,178,20,36,234,0.7606837606837606
MMETSP0916,160,32,42,234,0.6837606837606838
MMETSP1406,181,26,27,234,0.7735042735042735
MMETSP1418,206,18,10,234,0.8803418803418803
MMETSP1059,210,11,13,234,0.8974358974358975
MMETSP1047,167,18,49,234,0.7136752136752137
MMETSP0232,159,18,57,234,0.6794871794871795
MMETSP1140,139,25,70,234,0.594017094017094
MMETSP0167,117,48,69,234,0.5
MMETSP0015,187,29,18,234,0.7991452991452992
MMETSP0937,178,22,34,234,0.7606837606837606
MMETSP0233,150,20,64,234,0.6410256410256411
MMETSP0958,186,16,32,234,0.7948717948717948
MMETSP1102,169,33,32,234,0.7222222222222222
MMETSP0941,203,16,15,234,0.8675213675213675
MMETSP0984,199,22,13,234,0.8504273504273504
MMETSP0019,184,27,23,234,0.7863247863247863
MMETSP1467,163,22,49,234,0.6965811965811965
MMETSP0954,189,16,29,234,0.8076923076923077
MMETSP1038,171,28,35,234,0.7307692307692307
MMETSP0252,4,3,227,234,0.017094017094017096
MMETSP0118,178,19,37,234,0.7606837606837606
MMETSP1082,203,14,17,234,0.8675213675213675
MMETSP0106,177,24,33,234,0.7564102564102564
MMETSP1062,204,7,23,234,0.8717948717948718
MMETSP0920,130,37,67,234,0.5555555555555556
MMETSP0883,147,33,54,234,0.6282051282051282
MMETSP0316,71,14,149,234,0.3034188034188034
MMETSP0308,205,18,11,234,0.8760683760683761
MMETSP0042,195,22,17,234,0.8333333333333334
MMETSP1065,189,22,23,234,0.8076923076923077
MMETSP1424,149,24,61,234,0.6367521367521367
MMETSP0403,189,16,29,234,0.8076923076923077
MMETSP0963,124,29,81,234,0.5299145299145299
MMETSP0211,155,26,53,234,0.6623931623931624
MMETSP1395,165,22,47,234,0.7051282051282052
MMETSP1162,126,24,84,234,0.5384615384615384
MMETSP0145,120,35,79,234,0.5128205128205128
MMETSP1017,167,18,49,234,0.7136752136752137
MMETSP0234,154,17,63,234,0.6581196581196581
MMETSP0397,107,47,80,234,0.45726495726495725
MMETSP1159,151,24,59,234,0.6452991452991453
MMETSP0160,140,38,56,234,0.5982905982905983
MMETSP1147,1,6,227,234,0.004273504273504274
MMETSP0958,186,16,32,234,0.7948717948717948
MMETSP0946,161,22,51,234,0.688034188034188
MMETSP0403,189,16,29,234,0.8076923076923077
MMETSP1401,191,25,18,234,0.8162393162393162
MMETSP0290,166,32,36,234,0.7094017094017094
MMETSP0091,142,29,63,234,0.6068376068376068
MMETSP1040,129,17,88,234,0.5512820512820513
MMETSP0795,30,9,195,234,0.1282051282051282
MMETSP0905,200,17,17,234,0.8547008547008547
MMETSP0562,173,24,37,234,0.7393162393162394
MMETSP1036,170,28,36,234,0.7264957264957265
MMETSP0269,172,25,37,234,0.7350427350427351
MMETSP0123,160,20,54,234,0.6837606837606838
MMETSP1104,178,27,29,234,0.7606837606837606
MMETSP1357,143,32,59,234,0.6111111111111112
MMETSP1349,109,36,89,234,0.4658119658119658
MMETSP0370,173,21,40,234,0.7393162393162394
MMETSP0199,191,19,24,234,0.8162393162393162
MMETSP0992,163,29,42,234,0.6965811965811965
MMETSP0802,200,19,15,234,0.8547008547008547
MMETSP1442,98,33,103,234,0.4188034188034188
MMETSP0503,162,22,50,234,0.6923076923076923
MMETSP1139,100,20,114,234,0.42735042735042733
MMETSP0649,178,17,39,234,0.7606837606837606
MMETSP0964,188,19,27,234,0.8034188034188035
MMETSP0142,210,14,10,234,0.8974358974358975
MMETSP1165,151,27,56,234,0.6452991452991453
MMETSP1156,176,37,21,234,0.7521367521367521
MMETSP0216,199,10,25,234,0.8504273504273504
MMETSP1392,182,22,30,234,0.7777777777777778
MMETSP0208,163,23,48,234,0.6965811965811965
MMETSP0209,135,17,82,234,0.5769230769230769
MMETSP1062,204,7,23,234,0.8717948717948718
MMETSP0045,171,16,47,234,0.7307692307692307
MMETSP1336,184,15,35,234,0.7863247863247863
MMETSP1328,145,29,60,234,0.6196581196581197
MMETSP0404,200,20,14,234,0.8547008547008547
MMETSP1423,206,15,13,234,0.8803418803418803
MMETSP1138,173,21,40,234,0.7393162393162394
MMETSP1085,192,23,19,234,0.8205128205128205
MMETSP0101,182,17,35,234,0.7777777777777778
MMETSP1126,183,15,36,234,0.782051282051282
MMETSP0884,154,30,50,234,0.6581196581196581
MMETSP0939,188,19,27,234,0.8034188034188035
MMETSP0447,211,12,11,234,0.9017094017094017
MMETSP1460,174,17,43,234,0.7435897435897436
MMETSP0713,159,32,43,234,0.6794871794871795
MMETSP0820,191,30,13,234,0.8162393162393162
MMETSP0983,193,27,14,234,0.8247863247863247
MMETSP0018,98,31,105,234,0.4188034188034188
MMETSP0006,158,33,43,234,0.6752136752136753
MMETSP1074,157,29,48,234,0.6709401709401709
MMETSP1434,52,18,164,234,0.2222222222222222
MMETSP1122,179,20,35,234,0.7649572649572649
MMETSP0413,195,21,18,234,0.8333333333333334
MMETSP0759,180,14,40,234,0.7692307692307693
MMETSP0747,144,27,63,234,0.6153846153846154
MMETSP0985,193,27,14,234,0.8247863247863247
MMETSP0052,164,34,36,234,0.7008547008547008
MMETSP1075,166,22,46,234,0.7094017094017094
MMETSP0318,102,19,113,234,0.4358974358974359
MMETSP1321,147,32,55,234,0.6282051282051282
MMETSP1172,166,21,47,234,0.7094017094017094
MMETSP0814,156,31,47,234,0.6666666666666666
MMETSP1385,162,25,47,234,0.6923076923076923
MMETSP0201,177,17,40,234,0.7564102564102564
MMETSP0973,173,27,34,234,0.7393162393162394
MMETSP0011,208,12,14,234,0.8888888888888888
MMETSP0936,186,16,32,234,0.7948717948717948
MMETSP1036,170,28,36,234,0.7264957264957265
MMETSP0014,210,12,12,234,0.8974358974358975
MMETSP1362,190,18,26,234,0.811965811965812
MMETSP0925,0,0,234,234,0.0
MMETSP1469,180,25,29,234,0.7692307692307693
MMETSP0959,192,15,27,234,0.8205128205128205
MMETSP0994,131,34,69,234,0.5598290598290598
MMETSP0930,186,17,31,234,0.7948717948717948
MMETSP0603,163,12,59,234,0.6965811965811965
MMETSP0893,132,39,63,234,0.5641025641025641
MMETSP0108,165,29,40,234,0.7051282051282052
MMETSP1131,46,24,164,234,0.19658119658119658
MMETSP0116,173,29,32,234,0.7393162393162394
MMETSP0233,150,20,64,234,0.6410256410256411
MMETSP0117,210,10,14,234,0.8974358974358975
MMETSP0324,192,11,31,234,0.8205128205128205
MMETSP0287,154,26,54,234,0.6581196581196581
MMETSP1049,83,38,113,234,0.3547008547008547
MMETSP1057,206,18,10,234,0.8803418803418803
MMETSP1416,196,25,13,234,0.8376068376068376
MMETSP1063,205,14,15,234,0.8760683760683761
MMETSP1408,192,30,12,234,0.8205128205128205
MMETSP0018,98,31,105,234,0.4188034188034188
MMETSP0528,175,17,42,234,0.7478632478632479
MMETSP0380,66,27,141,234,0.28205128205128205
MMETSP0223,0,0,234,234,0.0
MMETSP0169,174,24,36,234,0.7435897435897436
MMETSP1150,173,35,26,234,0.7393162393162394
MMETSP0738,64,32,138,234,0.27350427350427353
MMETSP0815,187,23,24,234,0.7991452991452992
MMETSP0726,126,14,94,234,0.5384615384615384
MMETSP0818,187,27,20,234,0.7991452991452992
MMETSP0439,202,11,21,234,0.8632478632478633
MMETSP0472,202,16,16,234,0.8632478632478633
MMETSP0367,188,19,27,234,0.8034188034188035
MMETSP0033,190,24,20,234,0.811965811965812
MMETSP0190,106,11,117,234,0.452991452991453
MMETSP0271,178,17,39,234,0.7606837606837606
MMETSP0097,182,28,24,234,0.7777777777777778
MMETSP0134,0,0,234,234,0.0
MMETSP0912,93,34,107,234,0.3974358974358974
MMETSP1141,187,30,17,234,0.7991452991452992
MMETSP0929,207,12,15,234,0.8846153846153846
MMETSP0894,100,40,94,234,0.42735042735042733
MMETSP0604,195,19,20,234,0.8333333333333334
MMETSP0937,178,22,34,234,0.7606837606837606
MMETSP0326,78,25,131,234,0.3333333333333333
MMETSP0090,208,12,14,234,0.8888888888888888
MMETSP0111,171,24,39,234,0.7307692307692307
MMETSP1095,158,30,46,234,0.6752136752136753
MMETSP1128,200,22,12,234,0.8547008547008547
MMETSP1136,161,24,49,234,0.688034188034188
MMETSP1115,168,18,48,234,0.717948717948718
MMETSP1365,163,35,36,234,0.6965811965811965
MMETSP0008,185,22,27,234,0.7905982905982906
MMETSP1016,179,17,38,234,0.7649572649572649
MMETSP0993,182,29,23,234,0.7777777777777778
MMETSP0449,145,25,64,234,0.6196581196581197
MMETSP1470,179,26,29,234,0.7649572649572649
MMETSP0206,107,23,104,234,0.45726495726495725
MMETSP0152,190,16,28,234,0.811965811965812
MMETSP1175,104,23,107,234,0.4444444444444444
MMETSP0974,187,22,25,234,0.7991452991452992
MMETSP0604,195,19,20,234,0.8333333333333334
MMETSP0901,188,25,21,234,0.8034188034188035
MMETSP0740,46,35,153,234,0.19658119658119658
MMETSP0120,199,15,20,234,0.8504273504273504
MMETSP0414,98,35,101,234,0.4188034188034188
MMETSP1433,214,9,11,234,0.9145299145299145
MMETSP1326,153,35,46,234,0.6538461538461539
MMETSP1338,179,18,37,234,0.7649572649572649
MMETSP0055,151,31,52,234,0.6452991452991453
MMETSP0133,0,0,234,234,0.0
MMETSP1114,138,20,76,234,0.5897435897435898
MMETSP0090,208,12,14,234,0.8888888888888888
MMETSP0267,167,29,38,234,0.7136752136752137
MMETSP0208,163,23,48,234,0.6965811965811965
MMETSP0267,167,29,38,234,0.7136752136752137
MMETSP0785,161,39,34,234,0.688034188034188
MMETSP0915,152,39,43,234,0.6495726495726496
MMETSP1452,151,34,49,234,0.6452991452991453
MMETSP0812,140,34,60,234,0.5982905982905983
MMETSP0197,0,0,234,234,0.0
MMETSP1013,170,13,51,234,0.7264957264957265
MMETSP0034,182,39,13,234,0.7777777777777778
MMETSP1157,179,32,23,234,0.7649572649572649
MMETSP1347,95,35,104,234,0.405982905982906
MMETSP0360,174,28,32,234,0.7435897435897436
MMETSP1359,123,32,79,234,0.5256410256410257
MMETSP0492,101,27,106,234,0.43162393162393164
MMETSP0948,167,22,45,234,0.7136752136752137
MMETSP0956,158,22,54,234,0.6752136752136753
MMETSP1157,179,32,23,234,0.7649572649572649
MMETSP0224,188,16,30,234,0.8034188034188035
MMETSP0399,0,0,234,234,0.0
MMETSP1050,135,23,76,234,0.5769230769230769
MMETSP0323,74,24,136,234,0.3162393162393162
MMETSP0943,170,32,32,234,0.7264957264957265
MMETSP0436,137,26,71,234,0.5854700854700855
MMETSP0595,176,29,29,234,0.7521367521367521
MMETSP1411,173,27,34,234,0.7393162393162394
MMETSP0851,185,21,28,234,0.7905982905982906
MMETSP1435,48,32,154,234,0.20512820512820512
MMETSP1361,200,18,16,234,0.8547008547008547
MMETSP0758,141,20,73,234,0.6025641025641025
MMETSP0746,154,33,47,234,0.6581196581196581
MMETSP0053,167,29,38,234,0.7136752136752137
MMETSP1074,157,29,48,234,0.6709401709401709
MMETSP1320,149,29,56,234,0.6367521367521367
MMETSP0319,215,8,11,234,0.9188034188034188
MMETSP1173,169,22,43,234,0.7222222222222222
MMETSP0154,193,17,24,234,0.8247863247863247
MMETSP0200,216,8,10,234,0.9230769230769231
MMETSP1384,163,20,51,234,0.6965811965811965
MMETSP0972,179,27,28,234,0.7649572649572649
MMETSP0010,153,35,46,234,0.6538461538461539
MMETSP1037,166,27,41,234,0.7094017094017094
MMETSP1363,164,40,30,234,0.7008547008547008
MMETSP1468,143,35,56,234,0.6111111111111112
MMETSP0451,9,11,214,234,0.038461538461538464
MMETSP0995,127,37,70,234,0.5427350427350427
MMETSP0705,0,0,234,234,0.0
MMETSP1167,179,14,41,234,0.7649572649572649
MMETSP0134,0,0,234,234,0.0
MMETSP0892,140,25,69,234,0.5982905982905983
MMETSP1130,55,23,156,234,0.23504273504273504
MMETSP0109,206,15,13,234,0.8803418803418803
MMETSP0117,210,10,14,234,0.8974358974358975
MMETSP0573,186,15,33,234,0.7948717948717948
MMETSP0013,215,8,11,234,0.9188034188034188
MMETSP0325,191,16,27,234,0.8162393162393162
MMETSP0286,84,23,127,234,0.358974358974359
MMETSP1048,130,18,86,234,0.5555555555555556
MMETSP1417,203,21,10,234,0.8675213675213675
MMETSP0593,172,22,40,234,0.7350427350427351
MMETSP1409,194,29,11,234,0.8290598290598291
MMETSP0950,167,24,43,234,0.7136752136752137
MMETSP0494,139,28,67,234,0.594017094017094
MMETSP1095,158,30,46,234,0.6752136752136753
MMETSP1068,173,31,30,234,0.7393162393162394
MMETSP0110,190,15,29,234,0.811965811965812
MMETSP1151,174,30,30,234,0.7435897435897436
MMETSP0168,198,23,13,234,0.8461538461538461
MMETSP0737,213,13,8,234,0.9102564102564102
MMETSP0234,154,17,63,234,0.6581196581196581
MMETSP0176,185,25,24,234,0.7905982905982906
MMETSP0739,177,22,35,234,0.7564102564102564
MMETSP0727,178,15,41,234,0.7606837606837606
MMETSP0814,156,31,47,234,0.6666666666666666
MMETSP0982,198,24,12,234,0.8461538461538461
MMETSP1125,160,27,47,234,0.6837606837606838
MMETSP0378,66,27,141,234,0.28205128205128205
MMETSP1015,169,14,51,234,0.7222222222222222
MMETSP0191,147,26,61,234,0.6282051282051282
MMETSP0096,177,24,33,234,0.7564102564102564
MMETSP0716,0,0,234,234,0.0
MMETSP0088,110,37,87,234,0.4700854700854701
MMETSP0135,0,0,234,234,0.0
MMETSP0913,84,31,119,234,0.358974358974359
MMETSP0881,203,22,9,234,0.8675213675213675
MMETSP0574,194,17,23,234,0.8290598290598291
MMETSP0895,87,30,117,234,0.3717948717948718
MMETSP0936,186,16,32,234,0.7948717948717948
MMETSP1129,119,21,94,234,0.5085470085470085
MMETSP1094,145,25,64,234,0.6196581196581197
MMETSP0110,190,15,29,234,0.811965811965812
MMETSP1137,123,22,89,234,0.5256410256410257
MMETSP1364,166,38,30,234,0.7094017094017094
MMETSP0009,131,28,75,234,0.5598290598290598
MMETSP0009,131,28,75,234,0.5598290598290598
MMETSP0017,212,9,13,234,0.905982905982906
MMETSP0992,163,29,42,234,0.6965811965811965
MMETSP1471,100,33,101,234,0.42735042735042733
MMETSP0448,161,24,49,234,0.688034188034188
MMETSP0944,157,34,43,234,0.6709401709401709
MMETSP1174,186,23,25,234,0.7948717948717948
MMETSP0975,189,23,22,234,0.8076923076923077
MMETSP0998,144,27,63,234,0.6153846153846154
MMETSP0415,94,36,104,234,0.4017094017094017
MMETSP1432,146,41,47,234,0.6239316239316239
MMETSP1327,165,22,47,234,0.7051282051282052
MMETSP1339,129,27,78,234,0.5512820512820513
MMETSP1150,173,35,26,234,0.7393162393162394
MMETSP0132,2,18,214,234,0.008547008547008548
MMETSP0091,142,29,63,234,0.6068376068376068
MMETSP1115,168,18,48,234,0.717948717948718
MMETSP0603,163,12,59,234,0.6965811965811965
MMETSP0573,186,15,33,234,0.7948717948717948
MMETSP0784,202,13,19,234,0.8632478632478633
MMETSP0914,171,26,37,234,0.7307692307692307
MMETSP1453,144,28,62,234,0.6153846153846154
MMETSP1012,174,27,33,234,0.7435897435897436
MMETSP0196,11,16,207,234,0.04700854700854701
MMETSP1346,146,34,54,234,0.6239316239316239
MMETSP1358,194,14,26,234,0.8290598290598291
MMETSP0361,205,13,16,234,0.8760683760683761
MMETSP0493,136,33,65,234,0.5811965811965812
MMETSP0949,168,21,45,234,0.717948717948718
MMETSP0957,125,31,78,234,0.5341880341880342
MMETSP1148,0,1,233,234,0.0
MMETSP0171,165,31,38,234,0.7051282051282052
MMETSP1156,176,37,21,234,0.7521367521367521
MMETSP0398,5,20,209,234,0.021367521367521368
MMETSP0225,0,1,233,234,0.0
MMETSP0322,186,14,34,234,0.7948717948717948
MMETSP0437,134,25,75,234,0.5726495726495726
MMETSP1410,192,24,18,234,0.8205128205128205
MMETSP0850,139,26,69,234,0.594017094017094
MMETSP1005,108,38,88,234,0.46153846153846156
MMETSP0368,185,21,28,234,0.7905982905982906
MMETSP1444,155,16,63,234,0.6623931623931624
MMETSP0463,183,14,37,234,0.782051282051282
MMETSP0804,207,15,12,234,0.8846153846153846
MMETSP0737,213,13,8,234,0.9102564102564102
MMETSP0903,209,15,10,234,0.8931623931623932
MMETSP1102,169,33,32,234,0.7222222222222222
MMETSP0086,97,25,112,234,0.41452991452991456
MMETSP0125,123,26,85,234,0.5256410256410257
MMETSP0098,215,11,8,234,0.9188034188034188
MMETSP0271,178,17,39,234,0.7606837606837606
MMETSP1407,188,26,20,234,0.8034188034188035
MMETSP0420,152,32,50,234,0.6495726495726496
MMETSP1419,209,17,8,234,0.8931623931623932
MMETSP1058,213,12,9,234,0.9102564102564102
MMETSP0288,199,20,15,234,0.8504273504273504
MMETSP1312,187,14,33,234,0.7991452991452992
MMETSP0296,142,44,48,234,0.6068376068376068
MMETSP1141,187,30,17,234,0.7991452991452992
MMETSP0166,172,24,38,234,0.7350427350427351
MMETSP0232,159,18,57,234,0.6794871794871795
MMETSP0527,165,24,45,234,0.7051282051282052
MMETSP0484,179,21,34,234,0.7649572649572649
MMETSP0985,193,27,14,234,0.8247863247863247
MMETSP1466,115,30,89,234,0.49145299145299143
MMETSP0235,106,13,115,234,0.452991452991453
MMETSP0111,171,24,39,234,0.7307692307692307
MMETSP1039,142,20,72,234,0.6068376068376068
MMETSP0930,186,17,31,234,0.7948717948717948
MMETSP0253,199,13,22,234,0.8504273504273504
MMETSP0119,137,39,58,234,0.5854700854700855
MMETSP0107,142,45,47,234,0.6068376068376068
MMETSP1083,141,29,64,234,0.6025641025641025
MMETSP0882,154,28,52,234,0.6581196581196581
MMETSP1105,190,21,23,234,0.811965811965812
