,Complete,Fragmented,Missing,Total,Complete_BUSCO_prop,Complete_BUSCO_perc
MMETSP1362,230,43,30,303,0.759075908,75.90759076
MMETSP1049,150,92,61,303,0.495049505,49.5049505
MMETSP0578,151,62,90,303,0.498349835,49.8349835
MMETSP1335,149,67,87,303,0.491749175,49.17491749
MMETSP0109,258,19,26,303,0.851485149,85.14851485
MMETSP0604,218,53,32,303,0.719471947,71.94719472
MMETSP1438,163,87,53,303,0.537953795,53.79537954
MMETSP0047,243,42,18,303,0.801980198,80.1980198
MMETSP0095,225,29,49,303,0.742574257,74.25742574
MMETSP1150,213,62,28,303,0.702970297,70.2970297
MMETSP0997,170,72,61,303,0.561056106,56.10561056
MMETSP0798,173,64,66,303,0.570957096,57.09570957
MMETSP0945,207,64,32,303,0.683168317,68.31683168
MMETSP1406,197,58,48,303,0.650165017,65.01650165
MMETSP0380,38,59,206,303,0.125412541,12.54125413
MMETSP1377,142,94,67,303,0.468646865,46.86468647
MMETSP0199,234,43,26,303,0.772277228,77.22772277
MMETSP0005,204,47,52,303,0.673267327,67.32673267
MMETSP0708,99,96,108,303,0.326732673,32.67326733
MMETSP0907,232,40,31,303,0.765676568,76.56765677
MMETSP1062,237,35,31,303,0.782178218,78.21782178
MMETSP1349,159,76,68,303,0.524752475,52.47524752
MMETSP1444,175,55,73,303,0.577557756,57.75577558
MMETSP0736,234,38,31,303,0.772277228,77.22772277
MMETSP0939,238,17,48,303,0.785478548,78.54785479
MMETSP0347,79,32,192,303,0.260726073,26.07260726
MMETSP0209,161,58,84,303,0.531353135,53.13531353
MMETSP1035,230,28,45,303,0.759075908,75.90759076
MMETSP1413,200,65,38,303,0.660066007,66.00660066
MMETSP0820,244,40,19,303,0.805280528,80.52805281
MMETSP0052,239,44,20,303,0.788778878,78.87788779
MMETSP0982,258,22,23,303,0.851485149,85.14851485
MMETSP0950,226,50,27,303,0.745874587,74.58745875
MMETSP1320,183,52,68,303,0.603960396,60.3960396
MMETSP1147,4,3,296,303,0.01320132,1.320132013
MMETSP1009,108,75,120,303,0.356435644,35.64356436
MMETSP1322,173,68,62,303,0.570957096,57.09570957
MMETSP0235,147,83,73,303,0.485148515,48.51485149
MMETSP0397,135,90,78,303,0.445544554,44.55445545
MMETSP0448,185,51,67,303,0.610561056,61.05610561
MMETSP0120,241,29,33,303,0.795379538,79.5379538
MMETSP1037,189,53,61,303,0.623762376,62.37623762
MMETSP1411,207,56,40,303,0.683168317,68.31683168
MMETSP1399,238,22,43,303,0.785478548,78.54785479
MMETSP1060,233,38,32,303,0.768976898,76.89768977
MMETSP1446,219,66,18,303,0.722772277,72.27722772
MMETSP0039,230,43,30,303,0.759075908,75.90759076
MMETSP0312,259,26,18,303,0.854785479,85.47854785
MMETSP0734,232,39,32,303,0.765676568,76.56765677
MMETSP0149,224,40,39,303,0.739273927,73.92739274
MMETSP0696,233,41,29,303,0.768976898,76.89768977
MMETSP0899,209,59,35,303,0.689768977,68.97689769
MMETSP0007,92,63,148,303,0.303630363,30.3630363
MMETSP1110,202,42,59,303,0.666666667,66.66666667
MMETSP0905,229,36,38,303,0.755775578,75.57755776
MMETSP0135,35,64,204,303,0.115511551,11.55115512
MMETSP1309,229,50,24,303,0.755775578,75.57755776
MMETSP1404,242,32,29,303,0.798679868,79.8679868
MMETSP0382,237,22,44,303,0.782178218,78.21782178
MMETSP0809,147,62,94,303,0.485148515,48.51485149
MMETSP1180,201,58,44,303,0.663366337,66.33663366
MMETSP0045,107,53,143,303,0.353135314,35.31353135
MMETSP0097,222,33,48,303,0.732673267,73.26732673
MMETSP1152,220,56,27,303,0.726072607,72.60726073
MMETSP0995,166,73,64,303,0.547854785,54.78547855
MMETSP0463,234,24,45,303,0.772277228,77.22772277
MMETSP0947,235,47,21,303,0.775577558,77.55775578
MMETSP1105,207,39,57,303,0.683168317,68.31683168
MMETSP0434,207,33,63,303,0.683168317,68.31683168
MMETSP0910,171,87,45,303,0.564356436,56.43564356
MMETSP1360,152,93,58,303,0.501650165,50.1650165
MMETSP1075,212,41,50,303,0.699669967,69.9669967
MMETSP1453,210,62,31,303,0.693069307,69.30693069
MMETSP1074,204,44,55,303,0.673267327,67.32673267
MMETSP1452,184,76,43,303,0.607260726,60.72607261
MMETSP1361,225,43,35,303,0.742574257,74.25742574
MMETSP1098,202,64,37,303,0.666666667,66.66666667
MMETSP0013,254,19,30,303,0.838283828,83.82838284
MMETSP1104,224,53,26,303,0.739273927,73.92739274
MMETSP0911,75,109,119,303,0.247524752,24.75247525
MMETSP0044,3,4,296,303,0.00990099,0.99009901
MMETSP0096,216,37,50,303,0.712871287,71.28712871
MMETSP1153,223,50,30,303,0.735973597,73.59735974
MMETSP0994,179,61,63,303,0.590759076,59.07590759
MMETSP0946,186,77,40,303,0.613861386,61.38613861
MMETSP1336,212,52,39,303,0.699669967,69.9669967
MMETSP0134,34,54,215,303,0.112211221,11.22112211
MMETSP1405,206,58,39,303,0.679867987,67.98679868
MMETSP0006,169,77,57,303,0.557755776,55.77557756
MMETSP0420,175,80,48,303,0.577557756,57.75577558
MMETSP0904,214,53,36,303,0.706270627,70.62706271
MMETSP1374,186,59,58,303,0.613861386,61.38613861
MMETSP0697,221,52,30,303,0.729372937,72.93729373
MMETSP0898,209,53,41,303,0.689768977,68.97689769
MMETSP0313,153,95,55,303,0.504950495,50.49504951
MMETSP0038,223,56,24,303,0.735973597,73.59735974
MMETSP0735,237,36,30,303,0.782178218,78.21782178
MMETSP0176,190,76,37,303,0.627062706,62.70627063
MMETSP1061,215,45,43,303,0.709570957,70.95709571
MMETSP1447,170,81,52,303,0.561056106,56.10561056
MMETSP0121,96,77,130,303,0.316831683,31.68316832
MMETSP1036,199,52,52,303,0.656765677,65.67656766
MMETSP1410,221,47,35,303,0.729372937,72.93729373
MMETSP1178,124,60,119,303,0.409240924,40.92409241
MMETSP0449,205,23,75,303,0.676567657,67.65676568
MMETSP1323,113,78,112,303,0.372937294,37.29372937
MMETSP1008,153,88,62,303,0.504950495,50.49504951
MMETSP0234,250,41,12,303,0.825082508,82.50825083
MMETSP0125,151,53,99,303,0.498349835,49.8349835
MMETSP1032,224,35,44,303,0.739273927,73.92739274
MMETSP1319,203,56,44,303,0.669966997,66.99669967
MMETSP1414,209,55,39,303,0.689768977,68.97689769
MMETSP0503,200,42,61,303,0.660066007,66.00660066
MMETSP0766,175,62,66,303,0.577557756,57.75577558
MMETSP1327,230,33,40,303,0.759075908,75.90759076
MMETSP0819,236,49,18,303,0.778877888,77.88778878
MMETSP0055,186,47,70,303,0.613861386,61.38613861
MMETSP1142,227,43,33,303,0.749174917,74.91749175
MMETSP0087,256,23,24,303,0.844884488,84.48844884
MMETSP0985,246,32,25,303,0.811881188,81.18811881
MMETSP0957,169,67,67,303,0.557755776,55.77557756
MMETSP0758,235,20,48,303,0.775577558,77.55775578
MMETSP0329,16,7,280,303,0.052805281,5.280528053
MMETSP1115,203,33,67,303,0.669966997,66.99669967
MMETSP0900,215,55,33,303,0.709570957,70.95709571
MMETSP1370,171,70,62,303,0.564356436,56.43564356
MMETSP1089,278,17,8,303,0.917491749,91.74917492
MMETSP0267,199,36,68,303,0.656765677,65.67656766
MMETSP0693,34,52,217,303,0.112211221,11.22112211
MMETSP0317,94,46,163,303,0.310231023,31.02310231
MMETSP0259,222,28,53,303,0.732673267,73.26732673
MMETSP1065,196,60,47,303,0.646864686,64.68646865
MMETSP1443,147,52,104,303,0.485148515,48.51485149
MMETSP0040,199,54,50,303,0.656765677,65.67656766
MMETSP1157,220,56,27,303,0.726072607,72.60726073
MMETSP0092,43,43,217,303,0.141914191,14.19141914
MMETSP0990,161,89,53,303,0.531353135,53.13531353
MMETSP0942,169,55,79,303,0.557755776,55.77557756
MMETSP1019,40,59,204,303,0.132013201,13.20132013
MMETSP0225,1,0,302,303,0.00330033,0.330033003
MMETSP0528,199,41,63,303,0.656765677,65.67656766
MMETSP0603,184,55,64,303,0.607260726,60.72607261
MMETSP1169,239,43,21,303,0.788778878,78.87788779
MMETSP1401,254,22,27,303,0.838283828,83.82838284
MMETSP1389,136,96,71,303,0.448844884,44.88448845
MMETSP0167,182,79,42,303,0.600660066,60.0660066
MMETSP1070,240,30,33,303,0.792079208,79.20792079
MMETSP1456,258,29,16,303,0.851485149,85.14851485
MMETSP0593,196,60,47,303,0.646864686,64.68646865
MMETSP0029,207,44,52,303,0.683168317,68.31683168
MMETSP0724,231,30,42,303,0.762376238,76.23762376
MMETSP1365,205,66,32,303,0.676567657,67.65676568
MMETSP0272,204,35,64,303,0.673267327,67.32673267
MMETSP0889,183,44,76,303,0.603960396,60.3960396
MMETSP1468,183,67,53,303,0.603960396,60.3960396
MMETSP0017,263,11,29,303,0.867986799,86.79867987
MMETSP1100,189,81,33,303,0.623762376,62.37623762
MMETSP0915,190,63,50,303,0.627062706,62.70627063
MMETSP1101,186,63,54,303,0.613861386,61.38613861
MMETSP0914,202,56,45,303,0.666666667,66.66666667
MMETSP1364,205,58,40,303,0.676567657,67.65676568
MMETSP0158,261,17,25,303,0.861386139,86.13861386
MMETSP1469,260,27,16,303,0.858085809,85.80858086
MMETSP0888,229,28,46,303,0.755775578,75.57755776
MMETSP0725,193,54,56,303,0.636963696,63.69636964
MMETSP1388,224,50,29,303,0.739273927,73.92739274
MMETSP0166,232,37,34,303,0.765676568,76.56765677
MMETSP1071,222,45,36,303,0.732673267,73.26732673
MMETSP1400,253,27,23,303,0.834983498,83.49834984
MMETSP1018,78,71,154,303,0.257425743,25.74257426
MMETSP1333,222,44,37,303,0.732673267,73.26732673
MMETSP0224,216,35,52,303,0.712871287,71.28712871
MMETSP0041,233,32,38,303,0.768976898,76.89768977
MMETSP1156,214,62,27,303,0.706270627,70.62706271
MMETSP0093,215,37,51,303,0.709570957,70.95709571
MMETSP0991,192,72,39,303,0.633663366,63.36633663
MMETSP0943,224,45,34,303,0.739273927,73.92739274
MMETSP0467,209,51,43,303,0.689768977,68.97689769
MMETSP0258,217,29,57,303,0.716171617,71.61716172
MMETSP0173,218,58,27,303,0.719471947,71.94719472
MMETSP1064,236,35,32,303,0.778877888,77.88778878
MMETSP1442,119,71,113,303,0.392739274,39.27392739
MMETSP0316,95,46,162,303,0.313531353,31.35313531
MMETSP1371,200,57,46,303,0.660066007,66.00660066
MMETSP0328,91,44,168,303,0.300330033,30.0330033
MMETSP1114,173,48,82,303,0.570957096,57.09570957
MMETSP0901,211,52,40,303,0.696369637,69.6369637
MMETSP1143,230,40,33,303,0.759075908,75.90759076
MMETSP0086,109,68,126,303,0.359735974,35.97359736
MMETSP0984,251,29,23,303,0.828382838,82.83828383
MMETSP0956,197,53,53,303,0.650165017,65.01650165
MMETSP0472,238,47,18,303,0.785478548,78.54785479
MMETSP0759,251,15,37,303,0.828382838,82.83828383
MMETSP1326,201,66,36,303,0.663366337,66.33663366
MMETSP0818,239,49,15,303,0.788778878,78.87788779
MMETSP1318,225,45,33,303,0.742574257,74.25742574
MMETSP1033,226,31,46,303,0.745874587,74.58745875
MMETSP1415,205,60,38,303,0.676567657,67.65676568
MMETSP0126,229,52,22,303,0.755775578,75.57755776
MMETSP1417,216,55,32,303,0.712871287,71.28712871
MMETSP0056,202,47,54,303,0.666666667,66.66666667
MMETSP1141,229,40,34,303,0.755775578,75.57755776
MMETSP0789,8,2,293,303,0.02640264,2.640264026
MMETSP0986,240,42,21,303,0.792079208,79.20792079
MMETSP0954,248,30,25,303,0.818481848,81.84818482
MMETSP0470,200,33,70,303,0.660066007,66.00660066
MMETSP1324,140,68,95,303,0.462046205,46.20462046
MMETSP0233,247,43,13,303,0.815181518,81.51815182
MMETSP0118,220,47,36,303,0.726072607,72.60726073
MMETSP1429,127,89,87,303,0.419141914,41.91419142
MMETSP1058,258,16,29,303,0.851485149,85.14851485
MMETSP1116,188,37,78,303,0.620462046,62.04620462
MMETSP0903,231,33,39,303,0.762376238,76.23762376
MMETSP0171,190,67,46,303,0.627062706,62.70627063
MMETSP0288,231,33,39,303,0.762376238,76.23762376
MMETSP1066,194,72,37,303,0.640264026,64.02640264
MMETSP1440,175,58,70,303,0.577557756,57.75577558
MMETSP1128,270,22,11,303,0.891089109,89.10891089
MMETSP0314,177,75,51,303,0.584158416,58.41584158
MMETSP0419,228,51,24,303,0.752475248,75.24752475
MMETSP0043,216,51,36,303,0.712871287,71.28712871
MMETSP0368,227,24,52,303,0.749174917,74.91749175
MMETSP1154,225,50,28,303,0.742574257,74.25742574
MMETSP0091,153,87,63,303,0.504950495,50.49504951
MMETSP0993,195,72,36,303,0.643564356,64.35643564
MMETSP0941,258,30,15,303,0.851485149,85.14851485
MMETSP0133,33,49,221,303,0.108910891,10.89108911
MMETSP1402,211,43,49,303,0.696369637,69.6369637
MMETSP0727,196,48,59,303,0.646864686,64.68646865
MMETSP0164,223,48,32,303,0.735973597,73.59735974
MMETSP1358,192,52,59,303,0.633663366,63.36633663
MMETSP0014,251,20,32,303,0.828382838,82.83828383
MMETSP1103,261,17,25,303,0.861386139,86.13861386
MMETSP0916,186,75,42,303,0.613861386,61.38613861
MMETSP0719,20,28,255,303,0.066006601,6.600660066
MMETSP1366,220,53,30,303,0.726072607,72.60726073
MMETSP0271,205,39,59,303,0.676567657,67.65676568
MMETSP1367,232,31,40,303,0.765676568,76.56765677
MMETSP0270,205,39,59,303,0.676567657,67.65676568
MMETSP0015,241,34,28,303,0.795379538,79.5379538
MMETSP1102,198,69,36,303,0.653465347,65.34653465
MMETSP0917,182,74,47,303,0.600660066,60.0660066
MMETSP0718,72,51,180,303,0.237623762,23.76237624
MMETSP1359,171,76,56,303,0.564356436,56.43564356
MMETSP0929,260,7,36,303,0.858085809,85.80858086
MMETSP0726,134,51,118,303,0.442244224,44.22442244
MMETSP0132,37,47,219,303,0.122112211,12.21122112
MMETSP1403,260,19,24,303,0.858085809,85.80858086
MMETSP0369,228,25,50,303,0.752475248,75.24752475
MMETSP0042,242,24,37,303,0.798679868,79.8679868
MMETSP1155,222,51,30,303,0.732673267,73.26732673
MMETSP0090,233,31,39,303,0.768976898,76.89768977
MMETSP0992,180,75,48,303,0.594059406,59.40594059
MMETSP1330,237,43,23,303,0.782178218,78.21782178
MMETSP0227,196,53,54,303,0.646864686,64.68646865
MMETSP1129,153,40,110,303,0.504950495,50.49504951
MMETSP0315,171,101,31,303,0.564356436,56.43564356
MMETSP0733,236,35,32,303,0.778877888,77.88778878
MMETSP0418,155,72,76,303,0.511551155,51.15511551
MMETSP1067,206,61,36,303,0.679867987,67.98679868
MMETSP1441,187,45,71,303,0.617161716,61.71617162
MMETSP1117,182,43,78,303,0.600660066,60.0660066
MMETSP0902,227,36,40,303,0.749174917,74.91749175
MMETSP1059,224,43,36,303,0.739273927,73.92739274
MMETSP1325,24,29,250,303,0.079207921,7.920792079
MMETSP0119,175,73,55,303,0.577557756,57.75577558
MMETSP0232,2,7,294,303,0.00660066,0.660066007
MMETSP1428,196,71,36,303,0.646864686,64.68646865
MMETSP0057,199,48,56,303,0.656765677,65.67656766
MMETSP1140,159,58,86,303,0.524752475,52.47524752
MMETSP0987,247,39,17,303,0.815181518,81.51815182
MMETSP0955,191,64,48,303,0.630363036,63.03630363
MMETSP0471,197,30,76,303,0.650165017,65.01650165
MMETSP0127,213,52,38,303,0.702970297,70.2970297
MMETSP1416,216,47,40,303,0.712871287,71.28712871
MMETSP0410,113,104,86,303,0.372937294,37.29372937
MMETSP0253,232,20,51,303,0.765676568,76.56765677
MMETSP1396,192,55,56,303,0.633663366,63.36633663
MMETSP1344,201,62,40,303,0.663366337,66.33663366
MMETSP1449,185,48,70,303,0.610561056,61.05610561
MMETSP0323,88,54,161,303,0.290429043,29.04290429
MMETSP0008,189,56,58,303,0.623762376,62.37623762
MMETSP0705,90,99,114,303,0.297029703,29.7029703
MMETSP0146,153,79,71,303,0.504950495,50.49504951
MMETSP1083,158,61,84,303,0.521452145,52.14521452
MMETSP0699,189,66,48,303,0.623762376,62.37623762
MMETSP0896,108,52,143,303,0.356435644,35.64356436
MMETSP1006,122,82,99,303,0.402640264,40.2640264
MMETSP0111,213,40,50,303,0.702970297,70.2970297
MMETSP1420,210,58,35,303,0.693069307,69.30693069
MMETSP1148,0,0,303,303,0,0
MMETSP0780,247,28,28,303,0.815181518,81.51815182
MMETSP0752,231,38,34,303,0.762376238,76.23762376
MMETSP1038,206,43,54,303,0.679867987,67.98679868
MMETSP0398,29,28,246,303,0.095709571,9.570957096
MMETSP1176,184,59,60,303,0.607260726,60.72607261
MMETSP0447,276,15,12,303,0.910891089,91.08910891
MMETSP0963,142,80,81,303,0.468646865,46.86468647
MMETSP1096,181,69,53,303,0.597359736,59.7359736
MMETSP0851,228,44,31,303,0.752475248,75.24752475
MMETSP0883,172,84,47,303,0.567656766,56.76567657
MMETSP1462,194,44,65,303,0.640264026,64.02640264
MMETSP0294,200,74,29,303,0.660066007,66.00660066
MMETSP0308,280,15,8,303,0.924092409,92.40924092
MMETSP0405,169,74,60,303,0.557755776,55.77557756
MMETSP1163,220,49,34,303,0.726072607,72.60726073
MMETSP0452,0,1,302,303,0,0
MMETSP0976,229,37,37,303,0.755775578,75.57755776
MMETSP0211,173,55,75,303,0.570957096,57.09570957
MMETSP0361,249,11,43,303,0.821782178,82.17821782
MMETSP0098,282,9,12,303,0.930693069,93.06930693
MMETSP0795,50,23,230,303,0.165016502,16.50165017
MMETSP0747,156,78,69,303,0.514851485,51.48514851
MMETSP0948,218,57,28,303,0.719471947,71.94719472
MMETSP1013,177,64,62,303,0.584158416,58.41584158
MMETSP1338,206,45,52,303,0.679867987,67.98679868
MMETSP0104,201,51,51,303,0.663366337,66.33663366
MMETSP0806,243,27,33,303,0.801980198,80.1980198
MMETSP1435,48,51,204,303,0.158415842,15.84158416
MMETSP1339,147,81,75,303,0.485148515,48.51485149
MMETSP1012,222,48,33,303,0.732673267,73.26732673
MMETSP0105,241,41,21,303,0.795379538,79.5379538
MMETSP0807,280,7,16,303,0.924092409,92.40924092
MMETSP1434,64,63,176,303,0.211221122,21.12211221
MMETSP0360,214,36,53,303,0.706270627,70.62706271
MMETSP0099,196,43,64,303,0.646864686,64.68646865
MMETSP0794,173,82,48,303,0.570957096,57.09570957
MMETSP0746,166,77,60,303,0.547854785,54.78547855
MMETSP0949,213,63,27,303,0.702970297,70.2970297
MMETSP0210,213,33,57,303,0.702970297,70.2970297
MMETSP1162,153,67,83,303,0.504950495,50.49504951
MMETSP0977,233,31,39,303,0.768976898,76.89768977
MMETSP0404,230,39,34,303,0.759075908,75.90759076
MMETSP0920,137,98,68,303,0.452145215,45.21452145
MMETSP0295,152,102,49,303,0.501650165,50.1650165
MMETSP0661,221,40,42,303,0.729372937,72.93729373
MMETSP0152,187,64,52,303,0.617161716,61.71617162
MMETSP1097,28,45,230,303,0.092409241,9.240924092
MMETSP0850,175,65,63,303,0.577557756,57.75577558
MMETSP0574,225,27,51,303,0.742574257,74.25742574
MMETSP1463,162,74,67,303,0.534653465,53.46534653
MMETSP0882,189,68,46,303,0.623762376,62.37623762
MMETSP0399,31,36,236,303,0.102310231,10.2310231
MMETSP1177,239,34,30,303,0.788778878,78.87788779
MMETSP0962,98,75,130,303,0.323432343,32.34323432
MMETSP0494,148,83,72,303,0.488448845,48.84488449
MMETSP0205,131,71,101,303,0.432343234,43.23432343
MMETSP1039,165,58,80,303,0.544554455,54.45544554
MMETSP1312,255,28,20,303,0.841584158,84.15841584
MMETSP0753,223,46,34,303,0.735973597,73.59735974
MMETSP1007,116,80,107,303,0.382838284,38.28382838
MMETSP0110,254,18,31,303,0.838283828,83.82838284
MMETSP0812,180,61,62,303,0.594059406,59.40594059
MMETSP1421,204,62,37,303,0.673267327,67.32673267
MMETSP1050,165,78,60,303,0.544554455,54.45544554
MMETSP0147,179,63,61,303,0.590759076,59.07590759
MMETSP1082,262,16,25,303,0.864686469,86.46864686
MMETSP0698,230,44,29,303,0.759075908,75.90759076
MMETSP0897,78,80,145,303,0.257425743,25.74257426
MMETSP0009,141,91,71,303,0.465346535,46.53465347
MMETSP0322,220,38,45,303,0.726072607,72.60726073
MMETSP0252,0,0,303,303,0,0
MMETSP1397,272,7,24,303,0.897689769,89.7689769
MMETSP1345,255,15,33,303,0.841584158,84.15841584
MMETSP0411,121,102,80,303,0.399339934,39.9339934
MMETSP1395,211,38,54,303,0.696369637,69.6369637
MMETSP1347,127,92,84,303,0.419141914,41.91419142
MMETSP0879,231,41,31,303,0.762376238,76.23762376
MMETSP1122,212,30,61,303,0.699669967,69.9669967
MMETSP0738,82,86,135,303,0.270627063,27.06270627
MMETSP0413,260,33,10,303,0.858085809,85.80858086
MMETSP0937,17,5,281,303,0.056105611,5.610561056
MMETSP1052,240,29,34,303,0.792079208,79.20792079
MMETSP0197,43,33,227,303,0.141914191,14.19141914
MMETSP0145,145,76,82,303,0.478547855,47.85478548
MMETSP1080,245,27,31,303,0.808580858,80.85808581
MMETSP0648,198,47,58,303,0.653465347,65.34653465
MMETSP0563,202,64,37,303,0.666666667,66.66666667
MMETSP0895,107,82,114,303,0.353135314,35.31353135
MMETSP1474,246,34,23,303,0.811881188,81.18811881
MMETSP0320,211,48,44,303,0.696369637,69.6369637
MMETSP0706,113,93,97,303,0.372937294,37.29372937
MMETSP0909,181,64,58,303,0.597359736,59.7359736
MMETSP0751,231,36,36,303,0.762376238,76.23762376
MMETSP1005,138,74,91,303,0.455445545,45.54455446
MMETSP0112,137,34,132,303,0.452145215,45.21452145
MMETSP0810,155,68,80,303,0.511551155,51.15511551
MMETSP1423,228,36,39,303,0.752475248,75.24752475
MMETSP1175,107,78,118,303,0.353135314,35.31353135
MMETSP0960,266,13,24,303,0.877887789,87.78877888
MMETSP1310,253,38,12,303,0.834983498,83.49834984
MMETSP0713,198,56,49,303,0.653465347,65.34653465
MMETSP1047,221,47,35,303,0.729372937,72.93729373
MMETSP0150,236,34,33,303,0.778877888,77.88778878
MMETSP1095,159,76,68,303,0.524752475,52.47524752
MMETSP0852,176,67,60,303,0.580858086,58.08580858
MMETSP0880,218,51,34,303,0.719471947,71.94719472
MMETSP1137,141,73,89,303,0.465346535,46.53465347
MMETSP0020,167,65,71,303,0.551155116,55.11551155
MMETSP0922,59,120,124,303,0.194719472,19.47194719
MMETSP1380,165,54,84,303,0.544554455,54.45544554
MMETSP1352,149,53,101,303,0.491749175,49.17491749
MMETSP0139,246,24,33,303,0.811881188,81.18811881
MMETSP1408,216,52,35,303,0.712871287,71.28712871
MMETSP1160,226,44,33,303,0.745874587,74.58745875
MMETSP0451,34,25,244,303,0.112211221,11.22112211
MMETSP0975,236,32,35,303,0.778877888,77.88778878
MMETSP1010,151,75,77,303,0.498349835,49.8349835
MMETSP0107,193,81,29,303,0.636963696,63.69636964
MMETSP1436,103,96,104,303,0.339933993,33.99339934
MMETSP0796,221,31,51,303,0.729372937,72.93729373
MMETSP0744,197,57,49,303,0.650165017,65.01650165
MMETSP0998,181,61,61,303,0.597359736,59.7359736
MMETSP0797,210,39,54,303,0.693069307,69.30693069
MMETSP0745,171,68,64,303,0.564356436,56.43564356
MMETSP0106,243,37,23,303,0.801980198,80.1980198
MMETSP0804,265,24,14,303,0.874587459,87.45874587
MMETSP1437,165,72,66,303,0.544554455,54.45544554
MMETSP1161,225,57,21,303,0.742574257,74.25742574
MMETSP0974,232,35,36,303,0.765676568,76.56765677
MMETSP0213,159,57,87,303,0.524752475,52.47524752
MMETSP1409,215,54,34,303,0.709570957,70.95709571
MMETSP1381,118,46,139,303,0.389438944,38.94389439
MMETSP1353,179,69,55,303,0.590759076,59.07590759
MMETSP0296,171,88,44,303,0.564356436,56.43564356
MMETSP1136,190,59,54,303,0.627062706,62.70627063
MMETSP0923,55,126,122,303,0.181518152,18.15181518
MMETSP0151,209,56,38,303,0.689768977,68.97689769
MMETSP1094,185,71,47,303,0.610561056,61.05610561
MMETSP0853,184,59,60,303,0.607260726,60.72607261
MMETSP1460,230,28,45,303,0.759075908,75.90759076
MMETSP0881,226,44,33,303,0.745874587,74.58745875
MMETSP0439,11,10,282,303,0.03630363,3.630363036
MMETSP0206,114,69,120,303,0.376237624,37.62376238
MMETSP1311,166,87,50,303,0.547854785,54.78547855
MMETSP1174,218,52,33,303,0.719471947,71.94719472
MMETSP0063,203,59,41,303,0.669966997,66.99669967
MMETSP0961,269,12,22,303,0.887788779,88.77887789
MMETSP0113,156,70,77,303,0.514851485,51.48514851
MMETSP0811,177,68,58,303,0.584158416,58.41584158
MMETSP1422,219,46,38,303,0.722772277,72.27722772
MMETSP0321,226,41,36,303,0.745874587,74.58745875
MMETSP0707,228,41,34,303,0.752475248,75.24752475
MMETSP0908,229,42,32,303,0.755775578,75.57755776
MMETSP0196,16,11,276,303,0.052805281,5.280528053
MMETSP1081,214,65,24,303,0.706270627,70.62706271
MMETSP0562,190,72,41,303,0.627062706,62.70627063
MMETSP0649,212,44,47,303,0.699669967,69.9669967
MMETSP1475,272,14,17,303,0.897689769,89.7689769
MMETSP0894,122,91,90,303,0.402640264,40.2640264
MMETSP1123,156,57,90,303,0.514851485,51.48514851
MMETSP0034,265,33,5,303,0.874587459,87.45874587
MMETSP0739,177,80,46,303,0.584158416,58.41584158
