ID,Run,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
Pteridomonas_danica_SRR1296725,SRR1296725,129,55,245,429,0.300699301
Prorocentrum_minimum_SRR1296754,SRR1296754,226,54,149,429,0.526806527
Peridinium_aciculiferum_SRR1294440,SRR1294440,223,59,147,429,0.51981352
Chaetoceros_neogracile_SRR1296835,SRR1296835,275,38,116,429,0.641025641
Chattonella_subsalsa_SRR1300238,SRR1300238,237,71,121,429,0.552447552
Odontella_aurita_SRR1294405,SRR1294405,262,55,112,429,0.610722611
Pseudo-nitzschia_australis_SRR1296847,SRR1296847,275,35,119,429,0.641025641
Lessardia_elongata_SRR1300468,SRR1300468,3,1,425,429,0.006993007
Oxyrrhis_marina_SRR1300319,SRR1300319,32,16,381,429,0.074592075
Heterosigma_akashiwo_SRR1296859,SRR1296859,78,86,265,429,0.181818182
Amphidinium_carterae_SRR1294392,SRR1294392,24,29,376,429,0.055944056
Picocystis_salinarum_SRR1300322,SRR1300322,185,84,160,429,0.431235431
Hemiselmis_andersenii_SRR1296870,SRR1296870,207,94,128,429,0.482517483
uncultured_eukaryote_SRR1300494,SRR1300494,250,66,113,429,0.582750583
Aurantiochytrium_limacinum_SRR1300335,SRR1300335,279,39,111,429,0.65034965
Pelagomonas_calceolata_SRR1296779,SRR1296779,230,49,150,429,0.536130536
Aureoumbra_lagunensis_SRR1296815,SRR1296815,212,76,141,429,0.494172494
Dunaliella_tertiolecta_SRR1294427,SRR1294427,274,61,94,429,0.638694639
Aureoumbra_lagunensis_SRR1296818,SRR1296818,174,95,160,429,0.405594406
Thalassiosira_rotula_SRR1296989,SRR1296989,83,99,247,429,0.193473193
Bicosoecida_sp._CB-2014_SRR1294382,SRR1294382,121,81,227,429,0.282051282
Bigelowiella_natans_SRR1296871,SRR1296871,100,47,282,429,0.233100233
Alexandrium_monilatum_SRR1296898,SRR1296898,242,52,135,429,0.564102564
Prymnesium_polylepis_SRR1296790,SRR1296790,136,109,184,429,0.317016317
Aplanochytrium_stocchinoi_SRR1294444,SRR1294444,79,50,300,429,0.184149184
Prasinoderma_singularis_SRR1300361,SRR1300361,208,78,143,429,0.484848485
Stereomyxa_ramosa_SRR1296940,SRR1296940,11,13,405,429,0.025641026
Alexandrium_tamarense_SRR1296766,SRR1296766,252,88,89,429,0.587412587
Hemiselmis_andersenii_SRR1300352,SRR1300352,149,102,178,429,0.347319347
Mallomonas_SRR1300324,SRR1300324,212,93,124,429,0.494172494
Hemiselmis_rufescens_SRR1300404,SRR1300404,201,116,112,429,0.468531469
Dolichomastix_tenuilepis_SRR1296860,SRR1296860,259,67,103,429,0.603729604
Bathycoccus_prasinos_SRR1300505,SRR1300505,226,61,142,429,0.526806527
Protoceratium_reticulatum_SRR1296738,SRR1296738,210,77,142,429,0.48951049
Skeletonema_grethae_SRR1296994,SRR1296994,161,58,210,429,0.375291375
Thalassiosira_weissflogii_SRR1300480,SRR1300480,257,49,123,429,0.599067599
Akashiwo_sanguinea_SRR1294464,SRR1294464,0,0,429,429,0
Isochrysis_sp._SRR1300346,SRR1300346,159,49,221,429,0.370629371
Karenia_brevis_SRR1296853,SRR1296853,219,64,146,429,0.51048951
Erythrolobus_australicus_SRR1300443,SRR1300443,161,72,196,429,0.375291375
Isochrysis_sp._SRR1300375,SRR1300375,58,39,332,429,0.135198135
Chaetoceros_neogracile_SRR1296836,SRR1296836,291,29,109,429,0.678321678
Chattonella_subsalsa_SRR1300240,SRR1300240,250,72,107,429,0.582750583
Fragilariopsis_kerguelensis_SRR1296909,SRR1296909,274,38,117,429,0.638694639
Phaeocystis_antarctica_SRR1300523,SRR1300523,194,65,170,429,0.452214452
Acanthoeca_SRR1294413,SRR1294413,279,64,86,429,0.65034965
Strombidinopsis_acuminata_SRR1296813,SRR1296813,281,52,96,429,0.655011655
Alexandrium_tamarense_SRR1300221,SRR1300221,57,66,306,429,0.132867133
Norrisiella_sphaerica_SRR1296950,SRR1296950,152,78,199,429,0.354312354
Fragilariopsis_kerguelensis_SRR1296966,SRR1296966,67,10,352,429,0.156177156
Eutreptiella_gymnastica_SRR1296866,SRR1296866,182,80,167,429,0.424242424
uncultured_eukaryote_SRR1300247,SRR1300247,226,87,116,429,0.526806527
Crypthecodinium_cohnii_SRR1296889,SRR1296889,244,36,149,429,0.568764569
Micromonas_pusilla_SRR1300458,SRR1300458,252,71,106,429,0.587412587
Lotharella_sp._CCMP622_SRR1296814,SRR1296814,189,78,162,429,0.440559441
Heterosigma_akashiwo_SRR1296856,SRR1296856,120,93,216,429,0.27972028
Asterionellopsis_glacialis_SRR1296963,SRR1296963,200,96,133,429,0.466200466
Thalassiosira_gravida_SRR1296992,SRR1296992,107,71,251,429,0.249417249
Hanusia_phi_SRR1300354,SRR1300354,184,67,178,429,0.428904429
Thalassiosira_weissflogii_SRR1300478,SRR1300478,244,60,125,429,0.568764569
Bigelowiella_natans_SRR1300358,SRR1300358,247,70,112,429,0.575757576
Heterocapsa_rotundata_SRR1296810,SRR1296810,203,73,153,429,0.473193473
Prorocentrum_minimum_SRR1296785,SRR1296785,199,64,166,429,0.463869464
Alveolata_SRR1296979,SRR1296979,242,63,124,429,0.564102564
Pelagomonas_calceolata_SRR1300368,SRR1300368,195,68,166,429,0.454545455
Thalassiosira_weissflogii_SRR1300489,SRR1300489,277,32,120,429,0.645687646
Akashiwo_sanguinea_SRR1294463,SRR1294463,0,0,429,429,0
Scrippsiella_hangoei_SRR1296794,SRR1296794,252,48,129,429,0.587412587
Debaryomyces_hansenii_SRR1296968,SRR1296968,4,4,421,429,0.009324009
Proboscia_alata_SRR1296926,SRR1296926,269,44,116,429,0.627039627
Nephroselmis_pyriformis_SRR1294419,SRR1294419,249,102,78,429,0.58041958
Kryptoperidinium_foliaceum_SRR1296942,SRR1296942,230,80,119,429,0.536130536
Perkinsus_marinus_SRR1294396,SRR1294396,56,94,279,429,0.130536131
Ditylum_brightwellii_SRR1300292,SRR1300292,189,80,160,429,0.440559441
Detonula_confervacea_SRR1300391,SRR1300391,294,28,107,429,0.685314685
Myrionecta_rubra_SRR1296700,SRR1296700,198,53,178,429,0.461538462
Tiarina_fusa_SRR1296771,SRR1296771,276,79,74,429,0.643356643
Chaetoceros_debilis_SRR1296918,SRR1296918,273,32,124,429,0.636363636
Ostreococcus_mediterraneus_SRR1300249,SRR1300249,1,3,425,429,0.002331002
Azadinium_spinosum_SRR1300307,SRR1300307,198,74,157,429,0.461538462
Paramoeba_atlantica_SRR1296884,SRR1296884,216,92,121,429,0.503496503
Cyclophora_tenuis_SRR1296719,SRR1296719,129,94,206,429,0.300699301
Ostreococcus_mediterraneus_SRR1300253,SRR1300253,267,39,123,429,0.622377622
Haptolina_brevifila_SRR1300415,SRR1300415,186,99,144,429,0.433566434
Chlamydomonas_SRR1300379,SRR1300379,199,76,154,429,0.463869464
Heterosigma_akashiwo_SRR1296797,SRR1296797,109,115,205,429,0.254079254
uncultured_eukaryote_SRR1296837,SRR1296837,199,60,170,429,0.463869464
Pycnococcus_provasolii_SRR1300509,SRR1300509,178,78,173,429,0.414918415
Pavlova_SRR1300299,SRR1300299,105,57,267,429,0.244755245
Picochlorum_oklahomense_SRR1300323,SRR1300323,229,69,131,429,0.533799534
Bigelowiella_natans_SRR1300357,SRR1300357,254,68,107,429,0.592074592
Lotharella_globosa_SRR1296948,SRR1296948,231,65,133,429,0.538461538
uncultured_eukaryote_SRR1300539,SRR1300539,262,61,106,429,0.610722611
Aureococcus_anophagefferens_SRR1300281,SRR1300281,161,117,151,429,0.375291375
Heterosigma_akashiwo_SRR1296914,SRR1296914,195,110,124,429,0.454545455
Schizochytrium_aggregatum_SRR1300412,SRR1300412,219,67,143,429,0.51048951
Pycnococcus_SRR1300422,SRR1300422,285,38,106,429,0.664335664
Synchroma_pusillum_SRR1300531,SRR1300531,188,98,143,429,0.438228438
Pleurochrysis_carterae_SRR1300347,SRR1300347,178,90,161,429,0.414918415
Gloeochaete_wittrockiana_SRR1300296,SRR1300296,322,45,62,429,0.750582751
Thalassiosira_oceanica_SRR1300227,SRR1300227,235,58,136,429,0.547785548
Emiliania_huxleyi_SRR1300286,SRR1300286,199,104,126,429,0.463869464
Amoebophrya_sp._SRR1296703,SRR1296703,48,22,359,429,0.111888112
Thraustochytrium_sp._SRR1296958,SRR1296958,293,34,102,429,0.682983683
Rhodella_maculata_SRR1296822,SRR1296822,154,116,159,429,0.358974359
Dinobryon_SRR1294384,SRR1294384,199,75,155,429,0.463869464
Paraphysomonas_imperforata_SRR1296729,SRR1296729,224,59,146,429,0.522144522
Gymnochlora_SRR1296947,SRR1296947,296,32,101,429,0.68997669
Paramoeba_aestuarina_SRR1296885,SRR1296885,251,81,97,429,0.585081585
Thalassiosira_weissflogii_SRR1296932,SRR1296932,245,60,124,429,0.571095571
Neobodo_designis_SRR1300419,SRR1300419,201,44,184,429,0.468531469
Mantoniella_SRR1300534,SRR1300534,178,90,161,429,0.414918415
uncultured_eukaryote_SRR1296838,SRR1296838,232,57,140,429,0.540792541
Thalassiosira_gravida_SRR1296986,SRR1296986,140,100,189,429,0.326340326
Rhodosorus_marinus_SRR1296985,SRR1296985,222,77,130,429,0.517482517
uncultured_eukaryote_SRR1300275,SRR1300275,238,78,113,429,0.554778555
Aplanochytrium_stocchinoi_SRR1294443,SRR1294443,72,63,294,429,0.167832168
Licmophora_paradoxa_SRR1300448,SRR1300448,163,93,173,429,0.37995338
Helicotheca_tamesis_SRR1294422,SRR1294422,107,52,270,429,0.249417249
Emiliania_huxleyi_SRR1300230,SRR1300230,160,106,163,429,0.372960373
Oxyrrhis_marina_SRR1300211,SRR1300211,0,7,422,429,0
Symbiodinium_sp._SRR1300344,SRR1300344,155,63,211,429,0.361305361
Prorocentrum_minimum_SRR1296752,SRR1296752,223,53,153,429,0.51981352
Ditylum_brightwellii_SRR1294416,SRR1294416,31,28,370,429,0.072261072
Aureococcus_anophagefferens_SRR1300279,SRR1300279,181,104,144,429,0.421911422
Pseudo-nitzschia_australis_SRR1296849,SRR1296849,246,63,120,429,0.573426573
Strombidinopsis_SRR1296770,SRR1296770,283,39,107,429,0.65967366
Pelagococcus_subviridis_SRR1296946,SRR1296946,182,93,154,429,0.424242424
Karenia_brevis_SRR1296854,SRR1296854,220,68,141,429,0.512820513
Debaryomyces_hansenii_SRR1296971,SRR1296971,170,125,134,429,0.396270396
uncultured_eukaryote_SRR1300496,SRR1300496,246,60,123,429,0.573426573
Symbiodinium_sp._SRR1300431,SRR1300431,228,66,135,429,0.531468531
Vexillifera_SRR1296886,SRR1296886,245,82,102,429,0.571095571
uncultured_eukaryote_SRR1300341,SRR1300341,248,66,115,429,0.578088578
Symbiodinium_sp._SRR1300470,SRR1300470,163,86,180,429,0.37995338
Thalassiosira_weissflogii_SRR1294466,SRR1294466,258,45,126,429,0.601398601
Rhodella_maculata_SRR1296984,SRR1296984,149,106,174,429,0.347319347
Scrippsiella_hangoei_SRR1296786,SRR1296786,280,25,124,429,0.652680653
Madagascaria_erythrocladioides_SRR1300528,SRR1300528,211,120,98,429,0.491841492
Prymnesium_polylepis_SRR1296792,SRR1296792,175,102,152,429,0.407925408
Anophryoides_haemophila_SRR1294433,SRR1294433,87,71,271,429,0.202797203
Gephyrocapsa_oceanica_SRR1300426,SRR1300426,185,112,132,429,0.431235431
Porphyridium_aerugineum_SRR1296983,SRR1296983,188,88,153,429,0.438228438
Haptolina_ericina_SRR1300311,SRR1300311,186,86,157,429,0.433566434
Gonyaulax_spinifera_SRR1300518,SRR1300518,162,70,197,429,0.377622378
Schizochytrium_aggregatum_SRR1300400,SRR1300400,254,53,122,429,0.592074592
Leptocylindrus_danicus_SRR1296723,SRR1296723,263,53,113,429,0.613053613
Nitzschia_SRR1294404,SRR1294404,284,34,111,429,0.662004662
Eutreptiella_gymnastica_SRR1296768,SRR1296768,157,71,201,429,0.365967366
Thalassiosira_weissflogii_SRR1300486,SRR1300486,258,48,123,429,0.601398601
Amphora_coffeiformis_SRR1296888,SRR1296888,123,53,253,429,0.286713287
Calcidiscus_leptoporus_SRR1300371,SRR1300371,221,79,129,429,0.515151515
Emiliania_huxleyi_SRR1300288,SRR1300288,203,108,118,429,0.473193473
Scrippsiella_hangoei_SRR1294400,SRR1294400,284,28,117,429,0.662004662
Ditylum_brightwellii_SRR1300435,SRR1300435,233,78,118,429,0.543123543
Aplanochytrium_SRR1300334,SRR1300334,2,3,424,429,0.004662005
Striatella_unipunctata_SRR1296706,SRR1296706,150,94,185,429,0.34965035
Aulacoseira_subarctica_SRR1300395,SRR1300395,253,59,117,429,0.58974359
Aplanochytrium_stocchinoi_SRR1300413,SRR1300413,124,101,204,429,0.289044289
Anophryoides_haemophila_SRR1328076,SRR1328076,37,51,341,429,0.086247086
Florenciella_SRR1294432,SRR1294432,27,32,370,429,0.062937063
Tryblionella_compressa_SRR1296830,SRR1296830,187,82,160,429,0.435897436
Symbiodinium_kawagutii_SRR1300303,SRR1300303,32,41,356,429,0.074592075
Ammonia_sp._SRR1300434,SRR1300434,251,51,127,429,0.585081585
Chlamydomonas_leiostraca_SRR1294458,SRR1294458,226,85,118,429,0.526806527
Lotharella_globosa_SRR1296868,SRR1296868,268,55,106,429,0.624708625
Symbiodinium_sp._SRR1300264,SRR1300264,218,45,166,429,0.508158508
uncultured_eukaryote_SRR1300241,SRR1300241,257,89,83,429,0.599067599
Anophryoides_haemophila_SRR1294434,SRR1294434,22,28,379,429,0.051282051
Thalassiosira_weissflogii_SRR1296879,SRR1296879,241,59,129,429,0.561771562
Heterosigma_akashiwo_SRR1296798,SRR1296798,107,117,205,429,0.249417249
Thalassiosira_SRR1300392,SRR1300392,284,29,116,429,0.662004662
Isochrysis_galbana_SRR1296904,SRR1296904,254,48,127,429,0.592074592
Thalassiosira_weissflogii_SRR1300476,SRR1300476,238,59,132,429,0.554778555
Amphiprora_SRR1296825,SRR1296825,268,34,127,429,0.624708625
uncultured_eukaryote_SRR1300338,SRR1300338,266,83,80,429,0.62004662
Oxyrrhis_marina_SRR1300320,SRR1300320,43,49,337,429,0.1002331
Polarella_glacialis_SRR1300519,SRR1300519,202,56,171,429,0.470862471
Amphidinium_massartii_SRR1296892,SRR1296892,256,34,139,429,0.596736597
Fragilariopsis_kerguelensis_SRR1296819,SRR1296819,263,35,131,429,0.613053613
Pyramimonas_parkeae_SRR1296737,SRR1296737,262,72,95,429,0.610722611
Aplanochytrium_stocchinoi_SRR1300414,SRR1300414,144,101,184,429,0.335664336
Amphiprora_SRR1296828,SRR1296828,220,48,161,429,0.512820513
Aplanochytrium_stocchinoi_SRR1300401,SRR1300401,206,89,134,429,0.48018648
Vannella_SRR1296763,SRR1296763,309,33,87,429,0.72027972
Blepharisma_japonicum_SRR1294460,SRR1294460,231,56,142,429,0.538461538
Extubocellulus_spinifer_SRR1296807,SRR1296807,228,67,134,429,0.531468531
Guillardia_theta_SRR1294409,SRR1294409,304,46,79,429,0.708624709
Symbiodinium_sp._SRR1300263,SRR1300263,219,69,141,429,0.51048951
Chaetoceros_affinis_SRR1296974,SRR1296974,263,38,128,429,0.613053613
Ostreococcus_mediterraneus_SRR1300251,SRR1300251,258,34,137,429,0.601398601
Kryptoperidinium_foliaceum_SRR1296841,SRR1296841,276,54,99,429,0.643356643
Thalassiothrix_antarctica_SRR1296920,SRR1296920,246,47,136,429,0.573426573
Bathycoccus_prasinos_SRR1300453,SRR1300453,251,45,133,429,0.585081585
uncultured_eukaryote_SRR1294423,SRR1294423,242,61,126,429,0.564102564
Tryblionella_compressa_SRR1296832,SRR1296832,185,73,171,429,0.431235431
Schmidingerella_taraikaensis_SRR1296899,SRR1296899,200,61,168,429,0.466200466
Pseudo-nitzschia_delicatissima_SRR1296721,SRR1296721,295,22,112,429,0.687645688
Heterocapsa_triquetra_SRR1296978,SRR1296978,207,61,161,429,0.482517483
Cyanoptyche_gloeocystis_SRR1300321,SRR1300321,156,78,195,429,0.363636364
Polarella_glacialis_SRR1296751,SRR1296751,239,49,141,429,0.557109557
Platyophrya_macrostoma_SRR1296905,SRR1296905,270,49,110,429,0.629370629
Prorocentrum_minimum_SRR1296788,SRR1296788,208,71,150,429,0.484848485
Chaetoceros_affinis_SRR1294452,SRR1294452,43,41,345,429,0.1002331
Asterionellopsis_glacialis_SRR1300451,SRR1300451,256,57,116,429,0.596736597
Thalassiosira_weissflogii_SRR1300490,SRR1300490,266,39,124,429,0.62004662
Emiliania_huxleyi_SRR1300284,SRR1300284,207,96,126,429,0.482517483
Strombidium_rassoulzadegani_SRR1296873,SRR1296873,215,50,164,429,0.501165501
Prymnesium_parvum_SRR1294411,SRR1294411,278,45,106,429,0.648018648
Cylindrotheca_closterium_SRR1294406,SRR1294406,308,19,102,429,0.717948718
Alexandrium_fundyense_SRR1294390,SRR1294390,47,29,353,429,0.10955711
Thalassiosira_rotula_SRR1300436,SRR1300436,94,69,266,429,0.219114219
Thalassiosira_weissflogii_SRR1300487,SRR1300487,270,36,123,429,0.629370629
Asterionellopsis_glacialis_SRR1296808,SRR1296808,107,105,217,429,0.249417249
Alexandrium_monilatum_SRR1296895,SRR1296895,223,67,139,429,0.51981352
uncultured_eukaryote_SRR1300277,SRR1300277,238,77,114,429,0.554778555
Aplanochytrium_stocchinoi_SRR1294441,SRR1294441,206,98,125,429,0.48018648
Symbiodinium_kawagutii_SRR1300304,SRR1300304,28,41,360,429,0.065268065
Prorocentrum_lima_SRR1300465,SRR1300465,8,7,414,429,0.018648019
Bathycoccus_prasinos_SRR1300250,SRR1300250,259,42,128,429,0.603729604
Attheya_septentrionalis_SRR1300527,SRR1300527,192,55,182,429,0.447552448
Emiliania_huxleyi_SRR1300236,SRR1300236,105,82,242,429,0.244755245
Ostreococcus_mediterraneus_SRR1300342,SRR1300342,293,29,107,429,0.682983683
Hemiselmis_andersenii_SRR1300351,SRR1300351,183,111,135,429,0.426573427
Amphiprora_SRR1296827,SRR1296827,158,49,222,429,0.368298368
Craspedostauros_australis_SRR1300521,SRR1300521,111,71,247,429,0.258741259
Scyphosphaera_apsteinii_SRR1300370,SRR1300370,241,54,134,429,0.561771562
Alexandrium_minutum_SRR1300213,SRR1300213,87,46,296,429,0.202797203
Oxyrrhis_marina_SRR1300473,SRR1300473,196,51,182,429,0.456876457
Tetraselmis_striata_SRR1296731,SRR1296731,262,75,92,429,0.610722611
Dactyliosolen_fragilissimus_SRR1296964,SRR1296964,260,42,127,429,0.606060606
Pleurochrysis_carterae_SRR1300348,SRR1300348,138,86,205,429,0.321678322
Ochromonas_SRR1296863,SRR1296863,219,83,127,429,0.51048951
Mantoniella_antarctica_SRR1300318,SRR1300318,234,86,109,429,0.545454545
Staurosira_SRR1300449,SRR1300449,278,42,109,429,0.648018648
Thalassiosira_antarctica_SRR1296959,SRR1296959,245,55,129,429,0.571095571
Scrippsiella_trochoidea_SRR1296760,SRR1296760,240,49,140,429,0.559440559
Rhodomonas_salina_SRR1300353,SRR1300353,231,81,117,429,0.538461538
Pelagococcus_subviridis_SRR1296944,SRR1296944,183,99,147,429,0.426573427
Amphidinium_carterae_SRR1294393,SRR1294393,31,30,368,429,0.072261072
Lingulodinium_polyedrum_SRR1300257,SRR1300257,232,63,134,429,0.540792541
Eutreptiella_gymnastica_SRR1294408,SRR1294408,244,69,116,429,0.568764569
Heterosigma_akashiwo_SRR1296775,SRR1296775,99,102,228,429,0.230769231
Imantonia_SRR1300544,SRR1300544,286,65,78,429,0.666666667
Symbiodinium_sp._SRR1300433,SRR1300433,140,102,187,429,0.326340326
Amorphochlora_amoebiformis_SRR1296869,SRR1296869,313,23,93,429,0.72960373
Alexandrium_fundyense_SRR1294386,SRR1294386,15,13,401,429,0.034965035
Ochromonas_SRR1300383,SRR1300383,270,45,114,429,0.629370629
Prorocentrum_minimum_SRR1296784,SRR1296784,218,61,150,429,0.508158508
Prymnesium_parvum_SRR1296917,SRR1296917,200,72,157,429,0.466200466
Neoceratium_fusus_SRR1300301,SRR1300301,237,51,141,429,0.552447552
Ditylum_brightwellii_SRR1294418,SRR1294418,31,37,361,429,0.072261072
Pyrodinium_bahamense_SRR1296702,SRR1296702,232,65,132,429,0.540792541
uncultured_eukaryote_SRR1300244,SRR1300244,238,66,125,429,0.554778555
Odontella_sinensis_SRR1296882,SRR1296882,176,99,154,429,0.41025641
Chaetoceros_curvisetus_SRR1296993,SRR1296993,71,61,297,429,0.165501166
Gephyrocapsa_oceanica_SRR1300424,SRR1300424,195,94,140,429,0.454545455
Protocruzia_adherens_SRR1296823,SRR1296823,274,40,115,429,0.638694639
Oxyrrhis_marina_SRR1296900,SRR1296900,206,58,165,429,0.48018648
Perkinsus_marinus_SRR1294399,SRR1294399,40,81,308,429,0.093240093
Isochrysis_SRR1300439,SRR1300439,194,94,141,429,0.452214452
Florenciella_parvula_SRR1294437,SRR1294437,185,107,137,429,0.431235431
Florenciella_SRR1300366,SRR1300366,134,90,205,429,0.312354312
Phaeocystis_antarctica_SRR1300313,SRR1300313,211,104,114,429,0.491841492
Minutocellus_polymorphus_SRR1300271,SRR1300271,286,37,106,429,0.666666667
Mayorella_SRR1296930,SRR1296930,295,47,87,429,0.687645688
Uronema_SRR1296976,SRR1296976,123,73,233,429,0.286713287
Chaetoceros_affinis_SRR1294448,SRR1294448,42,39,348,429,0.097902098
Micromonas_SRR1300421,SRR1300421,268,56,105,429,0.624708625
